; Candidate 16157
; ADRP+ADD at VM 0xfffffff009e2a5cc (fileoff 0x2e265cc): page=0x1fd9f4000 add_imm=0xe1f

0xfffffff009e2a54c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009e2a550: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009e2a554: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff009e2a558: ff830191  add	sp, sp, #0x60
0xfffffff009e2a55c: ff0f5fd6  retab	
0xfffffff009e2a560: a8cffe90  adrp	x8, #0xfffffff00781e000
0xfffffff009e2a564: 08893791  add	x8, x8, #0xde2
0xfffffff009e2a568: e9128052  mov	w9, #0x97
0xfffffff009e2a56c: e82700a9  stp	x8, x9, [sp]
0xfffffff009e2a570: a0cffe90  adrp	x0, #0xfffffff00781e000
0xfffffff009e2a574: 00e03991  add	x0, x0, #0xe78
0xfffffff009e2a578: e5a79997  bl	#0xfffffff00849450c
0xfffffff009e2a57c: a8cffe90  adrp	x8, #0xfffffff00781e000
0xfffffff009e2a580: 08893791  add	x8, x8, #0xde2
0xfffffff009e2a584: 69158052  mov	w9, #0xab
0xfffffff009e2a588: e82700a9  stp	x8, x9, [sp]
0xfffffff009e2a58c: a0cffe90  adrp	x0, #0xfffffff00781e000
0xfffffff009e2a590: 00dc3691  add	x0, x0, #0xdb7
0xfffffff009e2a594: dea79997  bl	#0xfffffff00849450c
0xfffffff009e2a598: 684240f9  ldr	x8, [x19, #0x80]
0xfffffff009e2a59c: e90e8052  mov	w9, #0x77
0xfffffff009e2a5a0: aacffe90  adrp	x10, #0xfffffff00781e000
0xfffffff009e2a5a4: 4a893791  add	x10, x10, #0xde2
0xfffffff009e2a5a8: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff009e2a5ac: e80300f9  str	x8, [sp]
0xfffffff009e2a5b0: a0cffe90  adrp	x0, #0xfffffff00781e000
0xfffffff009e2a5b4: 00543991  add	x0, x0, #0xe55
0xfffffff009e2a5b8: d5a79997  bl	#0xfffffff00849450c
0xfffffff009e2a5bc: a8cffe90  adrp	x8, #0xfffffff00781e000
0xfffffff009e2a5c0: 08893791  add	x8, x8, #0xde2
0xfffffff009e2a5c4: 490a8052  mov	w9, #0x52
0xfffffff009e2a5c8: e82700a9  stp	x8, x9, [sp]
0xfffffff009e2a5cc: a0cffe90  adrp	x0, #0xfffffff00781e000
0xfffffff009e2a5d0: 007c3891  add	x0, x0, #0xe1f
0xfffffff009e2a5d4: cea79997  bl	#0xfffffff00849450c
0xfffffff009e2a5d8: 5f2403d5  bti	c
0xfffffff009e2a5dc: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff009e2a5e0: 091140f9  ldr	x9, [x8, #0x20]
0xfffffff009e2a5e4: 011100f9  str	x1, [x8, #0x20]
0xfffffff009e2a5e8: e9000036  tbz	w9, #0, #0xfffffff009e2a604
0xfffffff009e2a5ec: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff009e2a5f0: 091140f9  ldr	x9, [x8, #0x20]
0xfffffff009e2a5f4: 3f0100f1  cmp	x9, #0
0xfffffff009e2a5f8: e903899a  csel	x9, xzr, x9, eq
0xfffffff009e2a5fc: 290140b2  orr	x9, x9, #1
0xfffffff009e2a600: 091100f9  str	x9, [x8, #0x20]
0xfffffff009e2a604: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff009e2a608: 081140f9  ldr	x8, [x8, #0x20]
0xfffffff009e2a60c: 09f97f92  and	x9, x8, #0xfffffffffffffffe
0xfffffff009e2a610: 1f0100f1  cmp	x8, #0
0xfffffff009e2a614: e003899a  csel	x0, xzr, x9, eq
0xfffffff009e2a618: c0035fd6  ret	
0xfffffff009e2a61c: 7f2303d5  pacibsp	
0xfffffff009e2a620: ff8300d1  sub	sp, sp, #0x20
0xfffffff009e2a624: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009e2a628: fd430091  add	x29, sp, #0x10
0xfffffff009e2a62c: a8cffe90  adrp	x8, #0xfffffff00781e000
0xfffffff009e2a630: 08893791  add	x8, x8, #0xde2
0xfffffff009e2a634: 89188052  mov	w9, #0xc4
0xfffffff009e2a638: e82700a9  stp	x8, x9, [sp]
0xfffffff009e2a63c: a0cffe90  adrp	x0, #0xfffffff00781e000
0xfffffff009e2a640: 00b03791  add	x0, x0, #0xdec
0xfffffff009e2a644: b2a79997  bl	#0xfffffff00849450c
0xfffffff009e2a648: 7f2303d5  pacibsp	
