; Candidate 6837
; ADRP+ADD at VM 0xfffffff008845364 (fileoff 0x1841364): page=0x1fe9a4000 add_imm=0xe80

0xfffffff0088452e4: f65f04a9  stp	x22, x23, [sp, #0x40]
0xfffffff0088452e8: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0088452ec: e84efff0  adrp	x8, #0xfffffff007224000
0xfffffff0088452f0: 08d12491  add	x8, x8, #0x934
0xfffffff0088452f4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088452f8: e84effd0  adrp	x8, #0xfffffff007223000
0xfffffff0088452fc: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008845300: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008845304: 480a8052  mov	w8, #0x52
0xfffffff008845308: e04efff0  adrp	x0, #0xfffffff007224000
0xfffffff00884530c: 00fc2391  add	x0, x0, #0x8ff
0xfffffff008845310: f82300a9  stp	x24, x8, [sp]
0xfffffff008845314: 53c8d597  bl	#0xfffffff007db7460
0xfffffff008845318: 1b000014  b	#0xfffffff008845384
0xfffffff00884531c: a4bb0194  bl	#0xfffffff0088b41ac
0xfffffff008845320: f80300aa  mov	x24, x0
0xfffffff008845324: 00018052  mov	w0, #8
0xfffffff008845328: 4ad90094  bl	#0xfffffff00887b850
0xfffffff00884532c: e80317aa  mov	x8, x23
0xfffffff008845330: e90316aa  mov	x9, x22
0xfffffff008845334: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008845338: e80315aa  mov	x8, x21
0xfffffff00884533c: e90314aa  mov	x9, x20
0xfffffff008845340: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff008845344: e84efff0  adrp	x8, #0xfffffff007224000
0xfffffff008845348: 08d12491  add	x8, x8, #0x934
0xfffffff00884534c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008845350: e84effd0  adrp	x8, #0xfffffff007223000
0xfffffff008845354: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008845358: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884535c: 480a8052  mov	w8, #0x52
0xfffffff008845360: f82300a9  stp	x24, x8, [sp]
0xfffffff008845364: 204dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008845368: 00003a91  add	x0, x0, #0xe80
0xfffffff00884536c: 018efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008845370: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008845374: 4350fff0  adrp	x3, #0xfffffff007250000
0xfffffff008845378: 630c1a91  add	x3, x3, #0x683
0xfffffff00884537c: 02008052  mov	w2, #0
0xfffffff008845380: 6cb7eb97  bl	#0xfffffff008333130
0xfffffff008845384: 887a1953  ubfx	w8, w20, #0x19, #6
0xfffffff008845388: 69be40b9  ldr	w9, [x19, #0xbc]
0xfffffff00884538c: 1f01096b  cmp	w8, w9
0xfffffff008845390: 62010054  b.hs	#0xfffffff0088453bc
0xfffffff008845394: 684e288b  add	x8, x19, w8, uxtw #3
0xfffffff008845398: 006140f9  ldr	x0, [x8, #0xc0]
0xfffffff00884539c: 800800b4  cbz	x0, #0xfffffff0088454ac
0xfffffff0088453a0: e10314aa  mov	x1, x20
0xfffffff0088453a4: e20315aa  mov	x2, x21
0xfffffff0088453a8: e30316aa  mov	x3, x22
0xfffffff0088453ac: e40317aa  mov	x4, x23
0xfffffff0088453b0: 9e9e0094  bl	#0xfffffff00886ce28
0xfffffff0088453b4: f80300aa  mov	x24, x0
0xfffffff0088453b8: 02000014  b	#0xfffffff0088453c0
0xfffffff0088453bc: d87e8012  mov	w24, #-0x3f7
0xfffffff0088453c0: 400a8052  mov	w0, #0x52
0xfffffff0088453c4: 01018052  mov	w1, #8
0xfffffff0088453c8: 02d90094  bl	#0xfffffff00887b7d0
0xfffffff0088453cc: 00060034  cbz	w0, #0xfffffff00884548c
0xfffffff0088453d0: 400a8052  mov	w0, #0x52
0xfffffff0088453d4: 11d90094  bl	#0xfffffff00887b818
0xfffffff0088453d8: fa0300aa  mov	x26, x0
0xfffffff0088453dc: 74bb0194  bl	#0xfffffff0088b41ac
0xfffffff0088453e0: f90300aa  mov	x25, x0
