; Candidate 16871
; ADRP+ADD at VM 0xfffffff009f994c4 (fileoff 0x2f954c4): page=0x1fddab000 add_imm=0xcf0

0xfffffff009f99444: 09400091  add	x9, x0, #0x10
0xfffffff009f99448: 10010090  adrp	x16, #0xfffffff009fb9000
0xfffffff009f9944c: 10321391  add	x16, x16, #0x4cc
0xfffffff009f99450: f10309aa  mov	x17, x9
0xfffffff009f99454: 9173fbf2  movk	x17, #0xdb9c, lsl #48
0xfffffff009f99458: 3002c1da  pacia	x16, x17
0xfffffff009f9945c: 02000014  b	#0xfffffff009f99464
0xfffffff009f99460: 100080d2  mov	x16, #0
0xfffffff009f99464: 100800f9  str	x16, [x0, #0x10]
0xfffffff009f99468: 080100b4  cbz	x8, #0xfffffff009f99488
0xfffffff009f9946c: 08600091  add	x8, x0, #0x18
0xfffffff009f99470: f00000f0  adrp	x16, #0xfffffff009fb8000
0xfffffff009f99474: 10822091  add	x16, x16, #0x820
0xfffffff009f99478: f10308aa  mov	x17, x8
0xfffffff009f9947c: 9172f9f2  movk	x17, #0xcb94, lsl #48
0xfffffff009f99480: 3002c1da  pacia	x16, x17
0xfffffff009f99484: 02000014  b	#0xfffffff009f9948c
0xfffffff009f99488: 100080d2  mov	x16, #0
0xfffffff009f9948c: 108401a9  stp	x16, x1, [x0, #0x18]
0xfffffff009f99490: a02700d1  sub	x0, x29, #9
0xfffffff009f99494: bcefff97  bl	#0xfffffff009f95384
0xfffffff009f99498: a8835ff8  ldur	x8, [x29, #-8]
0xfffffff009f9949c: 49edfef0  adrp	x9, #0xfffffff007d44000
0xfffffff009f994a0: 292d43f9  ldr	x9, [x9, #0x658]
0xfffffff009f994a4: 290140f9  ldr	x9, [x9]
0xfffffff009f994a8: 3f0108eb  cmp	x9, x8
0xfffffff009f994ac: 81000054  b.ne	#0xfffffff009f994bc
0xfffffff009f994b0: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009f994b4: ff430191  add	sp, sp, #0x50
0xfffffff009f994b8: ff0f5fd6  retab	
0xfffffff009f994bc: 64127797  bl	#0xfffffff007d5de4c
0xfffffff009f994c0: 5f2403d5  bti	c
0xfffffff009f994c4: 40edfef0  adrp	x0, #0xfffffff007d44000
0xfffffff009f994c8: 00c03391  add	x0, x0, #0xcf0
0xfffffff009f994cc: c0035fd6  ret	
0xfffffff009f994d0: 7f2303d5  pacibsp	
0xfffffff009f994d4: ffc300d1  sub	sp, sp, #0x30
0xfffffff009f994d8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009f994dc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009f994e0: fd830091  add	x29, sp, #0x20
0xfffffff009f994e4: 48edfef0  adrp	x8, #0xfffffff007d44000
0xfffffff009f994e8: 082d43f9  ldr	x8, [x8, #0x658]
0xfffffff009f994ec: 080140f9  ldr	x8, [x8]
0xfffffff009f994f0: e80700f9  str	x8, [sp, #8]
0xfffffff009f994f4: ff1f0039  strb	wzr, [sp, #7]
0xfffffff009f994f8: ff1f0039  strb	wzr, [sp, #7]
0xfffffff009f994fc: 000040f9  ldr	x0, [x0]
0xfffffff009f99500: 10000094  bl	#0xfffffff009f99540
0xfffffff009f99504: f30300aa  mov	x19, x0
0xfffffff009f99508: e01f0091  add	x0, sp, #7
0xfffffff009f9950c: 9eefff97  bl	#0xfffffff009f95384
0xfffffff009f99510: e80740f9  ldr	x8, [sp, #8]
0xfffffff009f99514: 49edfef0  adrp	x9, #0xfffffff007d44000
0xfffffff009f99518: 292d43f9  ldr	x9, [x9, #0x658]
0xfffffff009f9951c: 290140f9  ldr	x9, [x9]
0xfffffff009f99520: 3f0108eb  cmp	x9, x8
0xfffffff009f99524: c1000054  b.ne	#0xfffffff009f9953c
0xfffffff009f99528: e00313aa  mov	x0, x19
0xfffffff009f9952c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009f99530: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009f99534: ffc30091  add	sp, sp, #0x30
0xfffffff009f99538: ff0f5fd6  retab	
0xfffffff009f9953c: 44127797  bl	#0xfffffff007d5de4c
0xfffffff009f99540: 7f2303d5  pacibsp	
