; Candidate 4937
; ADRP+ADD at VM 0xfffffff0087ce498 (fileoff 0x17ca498): page=0x1fea1b000 add_imm=0xe80

0xfffffff0087ce418: 0052ffd0  adrp	x0, #0xfffffff007210000
0xfffffff0087ce41c: 00141191  add	x0, x0, #0x445
0xfffffff0087ce420: ab010014  b	#0xfffffff0087ceacc
0xfffffff0087ce424: 60008052  mov	w0, #3
0xfffffff0087ce428: 81008052  mov	w1, #4
0xfffffff0087ce42c: e9b40294  bl	#0xfffffff00887b7d0
0xfffffff0087ce430: 00350034  cbz	w0, #0xfffffff0087cead0
0xfffffff0087ce434: 60008052  mov	w0, #3
0xfffffff0087ce438: f8b40294  bl	#0xfffffff00887b818
0xfffffff0087ce43c: f40300aa  mov	x20, x0
0xfffffff0087ce440: 5b970394  bl	#0xfffffff0088b41ac
0xfffffff0087ce444: f30300aa  mov	x19, x0
0xfffffff0087ce448: 80008052  mov	w0, #4
0xfffffff0087ce44c: 01b50294  bl	#0xfffffff00887b850
0xfffffff0087ce450: 54420034  cbz	w20, #0xfffffff0087cec98
0xfffffff0087ce454: 0852ff90  adrp	x8, #0xfffffff00720e000
0xfffffff0087ce458: 08450891  add	x8, x8, #0x211
0xfffffff0087ce45c: 09e78052  mov	w9, #0x738
0xfffffff0087ce460: d1000014  b	#0xfffffff0087ce7a4
0xfffffff0087ce464: 52970394  bl	#0xfffffff0088b41ac
0xfffffff0087ce468: f30300aa  mov	x19, x0
0xfffffff0087ce46c: 80008052  mov	w0, #4
0xfffffff0087ce470: f8b40294  bl	#0xfffffff00887b850
0xfffffff0087ce474: 0852ff90  adrp	x8, #0xfffffff00720e000
0xfffffff0087ce478: 08450891  add	x8, x8, #0x211
0xfffffff0087ce47c: 09dc8052  mov	w9, #0x6e0
0xfffffff0087ce480: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087ce484: 0852ffb0  adrp	x8, #0xfffffff00720f000
0xfffffff0087ce488: 08b52091  add	x8, x8, #0x82d
0xfffffff0087ce48c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ce490: 68008052  mov	w8, #3
0xfffffff0087ce494: f32300a9  stp	x19, x8, [sp]
0xfffffff0087ce498: c050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ce49c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ce4a0: c191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ce4a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ce4a8: 4353fff0  adrp	x3, #0xfffffff007239000
0xfffffff0087ce4ac: 63dc3a91  add	x3, x3, #0xeb7
0xfffffff0087ce4b0: 02008052  mov	w2, #0
0xfffffff0087ce4b4: 1f93ed97  bl	#0xfffffff008333130
0xfffffff0087ce4b8: 4efeff17  b	#0xfffffff0087cddf0
0xfffffff0087ce4bc: 3c970394  bl	#0xfffffff0088b41ac
0xfffffff0087ce4c0: f30300aa  mov	x19, x0
0xfffffff0087ce4c4: 80008052  mov	w0, #4
0xfffffff0087ce4c8: e2b40294  bl	#0xfffffff00887b850
0xfffffff0087ce4cc: 0852ff90  adrp	x8, #0xfffffff00720e000
0xfffffff0087ce4d0: 08a12a91  add	x8, x8, #0xaa8
0xfffffff0087ce4d4: 29d38052  mov	w9, #0x699
0xfffffff0087ce4d8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087ce4dc: 0852ffb0  adrp	x8, #0xfffffff00720f000
0xfffffff0087ce4e0: 08b52091  add	x8, x8, #0x82d
0xfffffff0087ce4e4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ce4e8: 68008052  mov	w8, #3
0xfffffff0087ce4ec: f32300a9  stp	x19, x8, [sp]
0xfffffff0087ce4f0: c050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ce4f4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ce4f8: c191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ce4fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ce500: 4353fff0  adrp	x3, #0xfffffff007239000
0xfffffff0087ce504: 63703091  add	x3, x3, #0xc1c
0xfffffff0087ce508: 02008052  mov	w2, #0
0xfffffff0087ce50c: 0993ed97  bl	#0xfffffff008333130
0xfffffff0087ce510: 38feff17  b	#0xfffffff0087cddf0
0xfffffff0087ce514: 60008052  mov	w0, #3
