; Candidate 5177
; ADRP+ADD at VM 0xfffffff0087ddaa8 (fileoff 0x17d9aa8): page=0x1fea0c000 add_imm=0xe80

0xfffffff0087dda28: 18020034  cbz	w24, #0xfffffff0087dda68
0xfffffff0087dda2c: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dda30: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0087dda34: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087dda38: a851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087dda3c: 08213591  add	x8, x8, #0xd48
0xfffffff0087dda40: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dda44: a851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087dda48: 081d0291  add	x8, x8, #0x87
0xfffffff0087dda4c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dda50: 280a8052  mov	w8, #0x51
0xfffffff0087dda54: a051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087dda58: 00c82691  add	x0, x0, #0x9b2
0xfffffff0087dda5c: f72300a9  stp	x23, x8, [sp]
0xfffffff0087dda60: 8066d797  bl	#0xfffffff007db7460
0xfffffff0087dda64: 19000014  b	#0xfffffff0087ddac8
0xfffffff0087dda68: d1590394  bl	#0xfffffff0088b41ac
0xfffffff0087dda6c: f70300aa  mov	x23, x0
0xfffffff0087dda70: e0008052  mov	w0, #7
0xfffffff0087dda74: 77770294  bl	#0xfffffff00887b850
0xfffffff0087dda78: e80316aa  mov	x8, x22
0xfffffff0087dda7c: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087dda80: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0087dda84: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0087dda88: a851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087dda8c: 08213591  add	x8, x8, #0xd48
0xfffffff0087dda90: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dda94: a851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087dda98: 081d0291  add	x8, x8, #0x87
0xfffffff0087dda9c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ddaa0: 280a8052  mov	w8, #0x51
0xfffffff0087ddaa4: f72300a9  stp	x23, x8, [sp]
0xfffffff0087ddaa8: 6050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ddaac: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ddab0: 4191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ddab4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ddab8: 0353ff90  adrp	x3, #0xfffffff00723d000
0xfffffff0087ddabc: 63080891  add	x3, x3, #0x202
0xfffffff0087ddac0: 02008052  mov	w2, #0
0xfffffff0087ddac4: 9b55ed97  bl	#0xfffffff008333130
0xfffffff0087ddac8: e00316aa  mov	x0, x22
0xfffffff0087ddacc: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087ddad0: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087ddad4: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087ddad8: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087ddadc: ff830291  add	sp, sp, #0xa0
0xfffffff0087ddae0: ff0f5fd6  retab	
0xfffffff0087ddae4: 7f2303d5  pacibsp	
0xfffffff0087ddae8: ff4302d1  sub	sp, sp, #0x90
0xfffffff0087ddaec: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0087ddaf0: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0087ddaf4: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0087ddaf8: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0087ddafc: fd030291  add	x29, sp, #0x80
0xfffffff0087ddb00: f50302aa  mov	x21, x2
0xfffffff0087ddb04: f40301aa  mov	x20, x1
0xfffffff0087ddb08: f30300aa  mov	x19, x0
0xfffffff0087ddb0c: 200a8052  mov	w0, #0x51
0xfffffff0087ddb10: 01018052  mov	w1, #8
0xfffffff0087ddb14: 2f770294  bl	#0xfffffff00887b7d0
0xfffffff0087ddb18: 60050034  cbz	w0, #0xfffffff0087ddbc4
0xfffffff0087ddb1c: 200a8052  mov	w0, #0x51
0xfffffff0087ddb20: 3e770294  bl	#0xfffffff00887b818
0xfffffff0087ddb24: f70300aa  mov	x23, x0
