; Candidate 14116
; ADRP+ADD at VM 0xfffffff00971b978 (fileoff 0x2717978): page=0x1fe524000 add_imm=0xd20

0xfffffff00971b8f8: 10222491  add	x16, x16, #0x908
0xfffffff00971b8fc: 10420091  add	x16, x16, #0x10
0xfffffff00971b900: f10300aa  mov	x17, x0
0xfffffff00971b904: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00971b908: 300ac1da  pacda	x16, x17
0xfffffff00971b90c: 100000f9  str	x16, [x0]
0xfffffff00971b910: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00971b914: ff0f5fd6  retab	
0xfffffff00971b918: 5f2403d5  bti	c
0xfffffff00971b91c: 4c30fe17  b	#0xfffffff0096a7a4c
0xfffffff00971b920: 5f2403d5  bti	c
0xfffffff00971b924: 4a30fe17  b	#0xfffffff0096a7a4c
0xfffffff00971b928: 7f2303d5  pacibsp	
0xfffffff00971b92c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00971b930: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00971b934: fd430091  add	x29, sp, #0x10
0xfffffff00971b938: f30300aa  mov	x19, x0
0xfffffff00971b93c: 4430fe97  bl	#0xfffffff0096a7a4c
0xfffffff00971b940: 2029ff90  adrp	x0, #0xfffffff007c3f000
0xfffffff00971b944: 00803491  add	x0, x0, #0xd20
0xfffffff00971b948: e10313aa  mov	x1, x19
0xfffffff00971b94c: 02208052  mov	w2, #0x100
0xfffffff00971b950: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00971b954: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00971b958: ff2303d5  autibsp	
0xfffffff00971b95c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00971b960: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00971b968
0xfffffff00971b964: 208e38d4  brk	#0xc471
0xfffffff00971b968: 4d2faf17  b	#0xfffffff0082e769c
0xfffffff00971b96c: 5f2403d5  bti	c
0xfffffff00971b970: e20301aa  mov	x2, x1
0xfffffff00971b974: e10300aa  mov	x1, x0
0xfffffff00971b978: 2029ff90  adrp	x0, #0xfffffff007c3f000
0xfffffff00971b97c: 00803491  add	x0, x0, #0xd20
0xfffffff00971b980: 472faf17  b	#0xfffffff0082e769c
0xfffffff00971b984: 5f2403d5  bti	c
0xfffffff00971b988: 80630090  adrp	x0, #0xfffffff00a38b000
0xfffffff00971b98c: 00201f91  add	x0, x0, #0x7c8
0xfffffff00971b990: c0035fd6  ret	
0xfffffff00971b994: 7f2303d5  pacibsp	
0xfffffff00971b998: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00971b99c: fd030091  mov	x29, sp
0xfffffff00971b9a0: c1f3fe90  adrp	x1, #0xfffffff007593000
0xfffffff00971b9a4: 21a42391  add	x1, x1, #0x8e9
0xfffffff00971b9a8: 82630090  adrp	x2, #0xfffffff00a38b000
0xfffffff00971b9ac: 42400591  add	x2, x2, #0x150
0xfffffff00971b9b0: 03208052  mov	w3, #0x100
0xfffffff00971b9b4: 6120af97  bl	#0xfffffff0082e3b38
0xfffffff00971b9b8: 7028ffb0  adrp	x16, #0xfffffff007c28000
0xfffffff00971b9bc: 10623b91  add	x16, x16, #0xed8
0xfffffff00971b9c0: 10420091  add	x16, x16, #0x10
0xfffffff00971b9c4: f10300aa  mov	x17, x0
0xfffffff00971b9c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00971b9cc: 300ac1da  pacda	x16, x17
0xfffffff00971b9d0: 100000f9  str	x16, [x0]
0xfffffff00971b9d4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00971b9d8: ff0f5fd6  retab	
0xfffffff00971b9dc: 7f2303d5  pacibsp	
0xfffffff00971b9e0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00971b9e4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00971b9e8: fd430091  add	x29, sp, #0x10
0xfffffff00971b9ec: 2029ff90  adrp	x0, #0xfffffff007c3f000
0xfffffff00971b9f0: 00803491  add	x0, x0, #0xd20
0xfffffff00971b9f4: 01208052  mov	w1, #0x100
