; Candidate 16873
; ADRP+ADD at VM 0xfffffff009fa7cec (fileoff 0x2fa3cec): page=0x1fd8c9000 add_imm=0xdfe

0xfffffff009fa7c6c: e08308ad  stp	q0, q0, [sp, #0x110]
0xfffffff009fa7c70: e08307ad  stp	q0, q0, [sp, #0xf0]
0xfffffff009fa7c74: e08306ad  stp	q0, q0, [sp, #0xd0]
0xfffffff009fa7c78: e08305ad  stp	q0, q0, [sp, #0xb0]
0xfffffff009fa7c7c: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff009fa7c80: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff009fa7c84: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff009fa7c88: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff009fa7c8c: e00b803d  str	q0, [sp, #0x20]
0xfffffff009fa7c90: e0830091  add	x0, sp, #0x20
0xfffffff009fa7c94: 01008052  mov	w1, #0
0xfffffff009fa7c98: e2278052  mov	w2, #0x13f
0xfffffff009fa7c9c: c9937697  bl	#0xfffffff007d4cbc0
0xfffffff009fa7ca0: bfb80094  bl	#0xfffffff009fd5f9c
0xfffffff009fa7ca4: 42c6feb0  adrp	x2, #0xfffffff007870000
0xfffffff009fa7ca8: 42382d91  add	x2, x2, #0xb4e
0xfffffff009fa7cac: 44c6feb0  adrp	x4, #0xfffffff007870000
0xfffffff009fa7cb0: 84802d91  add	x4, x4, #0xb60
0xfffffff009fa7cb4: e7830091  add	x7, sp, #0x20
0xfffffff009fa7cb8: 21028052  mov	w1, #0x11
0xfffffff009fa7cbc: 83038052  mov	w3, #0x1c
0xfffffff009fa7cc0: 85488052  mov	w5, #0x244
0xfffffff009fa7cc4: e6278052  mov	w6, #0x13f
0xfffffff009fa7cc8: cb8f0094  bl	#0xfffffff009fcbbf4
0xfffffff009fa7ccc: 60010034  cbz	w0, #0xfffffff009fa7cf8
0xfffffff009fa7cd0: f40300aa  mov	x20, x0
0xfffffff009fa7cd4: 7fb17c97  bl	#0xfffffff007ed42d0
0xfffffff009fa7cd8: a8168052  mov	w8, #0xb5
0xfffffff009fa7cdc: 49c6feb0  adrp	x9, #0xfffffff007870000
0xfffffff009fa7ce0: 29dd2691  add	x9, x9, #0x9b7
0xfffffff009fa7ce4: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff009fa7ce8: e02700a9  stp	x0, x9, [sp]
0xfffffff009fa7cec: 40c6feb0  adrp	x0, #0xfffffff007870000
0xfffffff009fa7cf0: 00f83791  add	x0, x0, #0xdfe
0xfffffff009fa7cf4: 86ffff17  b	#0xfffffff009fa7b0c
0xfffffff009fa7cf8: 48c6feb0  adrp	x8, #0xfffffff007870000
0xfffffff009fa7cfc: 08f52d91  add	x8, x8, #0xb7d
0xfffffff009fa7d00: 49c6feb0  adrp	x9, #0xfffffff007870000
0xfffffff009fa7d04: 29f93291  add	x9, x9, #0xcbe
0xfffffff009fa7d08: 7f021b72  tst	w19, #0x20
0xfffffff009fa7d0c: 2001889a  csel	x0, x9, x8, eq
0xfffffff009fa7d10: e1830091  add	x1, sp, #0x20
0xfffffff009fa7d14: e2278052  mov	w2, #0x13f
0xfffffff009fa7d18: 57de7b97  bl	#0xfffffff007e9f674
0xfffffff009fa7d1c: 60f2ff34  cbz	w0, #0xfffffff009fa7b68
0xfffffff009fa7d20: 6cb17c97  bl	#0xfffffff007ed42d0
0xfffffff009fa7d24: 48178052  mov	w8, #0xba
0xfffffff009fa7d28: 49c6feb0  adrp	x9, #0xfffffff007870000
0xfffffff009fa7d2c: 29dd2691  add	x9, x9, #0x9b7
0xfffffff009fa7d30: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009fa7d34: e00300f9  str	x0, [sp]
0xfffffff009fa7d38: 40c6feb0  adrp	x0, #0xfffffff007870000
0xfffffff009fa7d3c: 00183991  add	x0, x0, #0xe46
0xfffffff009fa7d40: 88ffff17  b	#0xfffffff009fa7b60
0xfffffff009fa7d44: 42d87697  bl	#0xfffffff007d5de4c
0xfffffff009fa7d48: 7f2303d5  pacibsp	
0xfffffff009fa7d4c: ffc300d1  sub	sp, sp, #0x30
0xfffffff009fa7d50: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009fa7d54: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009fa7d58: fd830091  add	x29, sp, #0x20
0xfffffff009fa7d5c: f30301aa  mov	x19, x1
0xfffffff009fa7d60: f40300aa  mov	x20, x0
0xfffffff009fa7d64: e8ecfeb0  adrp	x8, #0xfffffff007d44000
0xfffffff009fa7d68: 082d43f9  ldr	x8, [x8, #0x658]
