; Candidate 13807
; ADRP+ADD at VM 0xfffffff00959b7e4 (fileoff 0x25977e4): page=0x1fdfc6000 add_imm=0xd5a

0xfffffff00959b764: e9030caa  mov	x9, x12
0xfffffff00959b768: 7f010c6b  cmp	w11, w12
0xfffffff00959b76c: 23feff54  b.lo	#0xfffffff00959b730
0xfffffff00959b770: e0031baa  mov	x0, x27
0xfffffff00959b774: 0d4ca097  bl	#0xfffffff007dae7a8
0xfffffff00959b778: 1b008052  mov	w27, #0
0xfffffff00959b77c: 686f00b0  adrp	x8, #0xfffffff00a388000
0xfffffff00959b780: 08714fb9  ldr	w8, [x8, #0xf70]
0xfffffff00959b784: 08020034  cbz	w8, #0xfffffff00959b7c4
0xfffffff00959b788: 6832ffd0  adrp	x8, #0xfffffff007be9000
0xfffffff00959b78c: 081546f9  ldr	x8, [x8, #0xc28]
0xfffffff00959b790: 080140b9  ldr	w8, [x8]
0xfffffff00959b794: 1f791c72  tst	w8, #0xfffffff7
0xfffffff00959b798: 60010054  b.eq	#0xfffffff00959b7c4
0xfffffff00959b79c: e8031baa  mov	x8, x27
0xfffffff00959b7a0: 017d4093  sxtw	x1, w8
0xfffffff00959b7a4: 445740b9  ldr	w4, [x26, #0x54]
0xfffffff00959b7a8: a8018052  mov	w8, #0xd
0xfffffff00959b7ac: a860a072  movk	w8, #0x305, lsl #16
0xfffffff00959b7b0: 00050011  add	w0, w8, #1
0xfffffff00959b7b4: 020080d2  mov	x2, #0
0xfffffff00959b7b8: 030080d2  mov	x3, #0
0xfffffff00959b7bc: 050080d2  mov	x5, #0
0xfffffff00959b7c0: d189af97  bl	#0xfffffff00817df04
0xfffffff00959b7c4: ba008052  mov	w26, #5
0xfffffff00959b7c8: 1a61a072  movk	w26, #0x308, lsl #16
0xfffffff00959b7cc: 9b000035  cbnz	w27, #0xfffffff00959b7dc
0xfffffff00959b7d0: 010080d2  mov	x1, #0
0xfffffff00959b7d4: 08000014  b	#0xfffffff00959b7f4
0xfffffff00959b7d8: db028052  mov	w27, #0x16
0xfffffff00959b7dc: 68720d91  add	x8, x19, #0x35c
0xfffffff00959b7e0: fb2300a9  stp	x27, x8, [sp]
0xfffffff00959b7e4: 20fefed0  adrp	x0, #0xfffffff007561000
0xfffffff00959b7e8: 00683591  add	x0, x0, #0xd5a
0xfffffff00959b7ec: 1d6fa097  bl	#0xfffffff007db7460
0xfffffff00959b7f0: 617f4093  sxtw	x1, w27
0xfffffff00959b7f4: 88434039  ldrb	w8, [x28, #0x10]
0xfffffff00959b7f8: 88011036  tbz	w8, #2, #0xfffffff00959b828
0xfffffff00959b7fc: 6832ffd0  adrp	x8, #0xfffffff007be9000
0xfffffff00959b800: 081546f9  ldr	x8, [x8, #0xc28]
0xfffffff00959b804: 080140b9  ldr	w8, [x8]
0xfffffff00959b808: 1f791c72  tst	w8, #0xfffffff7
0xfffffff00959b80c: e0000054  b.eq	#0xfffffff00959b828
0xfffffff00959b810: 40070011  add	w0, w26, #1
0xfffffff00959b814: 020080d2  mov	x2, #0
0xfffffff00959b818: 030080d2  mov	x3, #0
0xfffffff00959b81c: 040080d2  mov	x4, #0
0xfffffff00959b820: 050080d2  mov	x5, #0
0xfffffff00959b824: b889af97  bl	#0xfffffff00817df04
0xfffffff00959b828: df061c72  tst	w22, #0x30
0xfffffff00959b82c: 60000054  b.eq	#0xfffffff00959b838
0xfffffff00959b830: 16008052  mov	w22, #0
0xfffffff00959b834: 09000014  b	#0xfffffff00959b858
0xfffffff00959b838: e2430191  add	x2, sp, #0x50
0xfffffff00959b83c: e3230191  add	x3, sp, #0x48
0xfffffff00959b840: e00313aa  mov	x0, x19
0xfffffff00959b844: e10315aa  mov	x1, x21
0xfffffff00959b848: 04108052  mov	w4, #0x80
0xfffffff00959b84c: 68010094  bl	#0xfffffff00959bdec
0xfffffff00959b850: f60300aa  mov	x22, x0
0xfffffff00959b854: c0030034  cbz	w0, #0xfffffff00959b8cc
0xfffffff00959b858: e82b40f9  ldr	x8, [sp, #0x50]
0xfffffff00959b85c: a80000b4  cbz	x8, #0xfffffff00959b870
0xfffffff00959b860: e12740f9  ldr	x1, [sp, #0x48]
