; Candidate 574
; ADRP+ADD at VM 0xfffffff007f872f8 (fileoff 0xf832f8): page=0x1ff0db000 add_imm=0xddf

0xfffffff007f87278: 2092f897  bl	#0xfffffff007dabaf8
0xfffffff007f8727c: a4faff17  b	#0xfffffff007f85d0c
0xfffffff007f87280: c086fff0  adrp	x0, #0xfffffff007062000
0xfffffff007f87284: 00743a91  add	x0, x0, #0xe9d
0xfffffff007f87288: c186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f8728c: 21300991  add	x1, x1, #0x24c
0xfffffff007f87290: 02838452  mov	w2, #0x2418
0xfffffff007f87294: 60611494  bl	#0xfffffff00849f814
0xfffffff007f87298: c086fff0  adrp	x0, #0xfffffff007062000
0xfffffff007f8729c: 00143b91  add	x0, x0, #0xec5
0xfffffff007f872a0: c186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f872a4: 21300991  add	x1, x1, #0x24c
0xfffffff007f872a8: 42838452  mov	w2, #0x241a
0xfffffff007f872ac: 5a611494  bl	#0xfffffff00849f814
0xfffffff007f872b0: c086fff0  adrp	x0, #0xfffffff007062000
0xfffffff007f872b4: 00803b91  add	x0, x0, #0xee0
0xfffffff007f872b8: c186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f872bc: 21300991  add	x1, x1, #0x24c
0xfffffff007f872c0: 62838452  mov	w2, #0x241b
0xfffffff007f872c4: 54611494  bl	#0xfffffff00849f814
0xfffffff007f872c8: e086ff90  adrp	x0, #0xfffffff007063000
0xfffffff007f872cc: 00d40191  add	x0, x0, #0x75
0xfffffff007f872d0: c186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f872d4: 21300991  add	x1, x1, #0x24c
0xfffffff007f872d8: 02958452  mov	w2, #0x24a8
0xfffffff007f872dc: 4e611494  bl	#0xfffffff00849f814
0xfffffff007f872e0: e086ff90  adrp	x0, #0xfffffff007063000
0xfffffff007f872e4: 00bc0291  add	x0, x0, #0xaf
0xfffffff007f872e8: c186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f872ec: 21300991  add	x1, x1, #0x24c
0xfffffff007f872f0: 02968452  mov	w2, #0x24b0
0xfffffff007f872f4: 48611494  bl	#0xfffffff00849f814
0xfffffff007f872f8: c086fff0  adrp	x0, #0xfffffff007062000
0xfffffff007f872fc: 007c3791  add	x0, x0, #0xddf
0xfffffff007f87300: c186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f87304: 21300991  add	x1, x1, #0x24c
0xfffffff007f87308: 227b8452  mov	w2, #0x23d9
0xfffffff007f8730c: 42611494  bl	#0xfffffff00849f814
0xfffffff007f87310: a01101f0  adrp	x0, #0xfffffff00a1be000
0xfffffff007f87314: 00c03991  add	x0, x0, #0xe70
0xfffffff007f87318: bd631494  bl	#0xfffffff0084a020c
0xfffffff007f8731c: cc5af797  bl	#0xfffffff007d5de4c
0xfffffff007f87320: 01000014  b	#0xfffffff007f87324
0xfffffff007f87324: c8fb8252  mov	w8, #0x17de
0xfffffff007f87328: c986ffd0  adrp	x9, #0xfffffff007061000
0xfffffff007f8732c: 29010091  add	x9, x9, #0
0xfffffff007f87330: ca86ffd0  adrp	x10, #0xfffffff007061000
0xfffffff007f87334: 4a8d0791  add	x10, x10, #0x1e3
0xfffffff007f87338: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f8733c: ea6b00a9  stp	x10, x26, [sp]
0xfffffff007f87340: c086ffd0  adrp	x0, #0xfffffff007061000
0xfffffff007f87344: 00fc0691  add	x0, x0, #0x1bf
0xfffffff007f87348: 71341494  bl	#0xfffffff00849450c
0xfffffff007f8734c: c086fff0  adrp	x0, #0xfffffff007062000
0xfffffff007f87350: 00002e91  add	x0, x0, #0xb80
0xfffffff007f87354: c186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f87358: 21300991  add	x1, x1, #0x24c
0xfffffff007f8735c: e2768452  mov	w2, #0x23b7
0xfffffff007f87360: 2d611494  bl	#0xfffffff00849f814
0xfffffff007f87364: c886fff0  adrp	x8, #0xfffffff007062000
0xfffffff007f87368: 086d2591  add	x8, x8, #0x95b
0xfffffff007f8736c: f38300a9  stp	x19, x0, [sp, #8]
0xfffffff007f87370: e80300f9  str	x8, [sp]
0xfffffff007f87374: c086fff0  adrp	x0, #0xfffffff007062000
