; Candidate 11224
; ADRP+ADD at VM 0xfffffff008eb6228 (fileoff 0x1eb2228): page=0x1fe528000 add_imm=0xd0a

0xfffffff008eb61a8: a0020054  b.eq	#0xfffffff008eb61fc
0xfffffff008eb61ac: 82030035  cbnz	w2, #0xfffffff008eb621c
0xfffffff008eb61b0: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff008eb61b4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008eb61b8: 28204039  ldrb	w8, [x1, #8]
0xfffffff008eb61bc: 08010012  and	w8, w8, #1
0xfffffff008eb61c0: e8430039  strb	w8, [sp, #0x10]
0xfffffff008eb61c4: ff470039  strb	wzr, [sp, #0x11]
0xfffffff008eb61c8: 20c040fc  ldur	d0, [x1, #0xc]
0xfffffff008eb61cc: e04301fc  stur	d0, [sp, #0x14]
0xfffffff008eb61d0: 48028052  mov	w8, #0x12
0xfffffff008eb61d4: e81f00b9  str	w8, [sp, #0x1c]
0xfffffff008eb61d8: 28500091  add	x8, x1, #0x14
0xfffffff008eb61dc: 29700291  add	x9, x1, #0x9c
0xfffffff008eb61e0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008eb61e4: 28600191  add	x8, x1, #0x58
0xfffffff008eb61e8: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008eb61ec: e3130729  stp	w3, w4, [sp, #0x38]
0xfffffff008eb61f0: e1430091  add	x1, sp, #0x10
0xfffffff008eb61f4: 90fbff97  bl	#0xfffffff008eb5034
0xfffffff008eb61f8: 11000014  b	#0xfffffff008eb623c
0xfffffff008eb61fc: 28200091  add	x8, x1, #8
0xfffffff008eb6200: 29300191  add	x9, x1, #0x4c
0xfffffff008eb6204: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008eb6208: ff7f02a9  stp	xzr, xzr, [sp, #0x20]
0xfffffff008eb620c: e1430091  add	x1, sp, #0x10
0xfffffff008eb6210: c5fcff97  bl	#0xfffffff008eb5524
0xfffffff008eb6214: 00008052  mov	w0, #0
0xfffffff008eb6218: 09000014  b	#0xfffffff008eb623c
0xfffffff008eb621c: 2829ff90  adrp	x8, #0xfffffff0073da000
0xfffffff008eb6220: 08190191  add	x8, x8, #0x46
0xfffffff008eb6224: e80300f9  str	x8, [sp]
0xfffffff008eb6228: 4029ff90  adrp	x0, #0xfffffff0073de000
0xfffffff008eb622c: 00283491  add	x0, x0, #0xd0a
0xfffffff008eb6230: 7c83d297  bl	#0xfffffff008357020
0xfffffff008eb6234: 80578052  mov	w0, #0x2bc
0xfffffff008eb6238: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008eb623c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008eb6240: ff430191  add	sp, sp, #0x50
0xfffffff008eb6244: ff0f5fd6  retab	
0xfffffff008eb6248: 7f2303d5  pacibsp	
0xfffffff008eb624c: ff4302d1  sub	sp, sp, #0x90
0xfffffff008eb6250: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008eb6254: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008eb6258: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008eb625c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008eb6260: fd030291  add	x29, sp, #0x80
0xfffffff008eb6264: 55588052  mov	w21, #0x2c2
0xfffffff008eb6268: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff008eb626c: a2080035  cbnz	w2, #0xfffffff008eb6380
0xfffffff008eb6270: f80305aa  mov	x24, x5
0xfffffff008eb6274: 650800b4  cbz	x5, #0xfffffff008eb6380
0xfffffff008eb6278: f40301aa  mov	x20, x1
0xfffffff008eb627c: 28f445b9  ldr	w8, [x1, #0x5f4]
0xfffffff008eb6280: 087d081b  mul	w8, w8, w8
0xfffffff008eb6284: 0805080b  add	w8, w8, w8, lsl #1
0xfffffff008eb6288: 08751e53  lsl	w8, w8, #2
0xfffffff008eb628c: 1f01066b  cmp	w8, w6
0xfffffff008eb6290: 88070054  b.hi	#0xfffffff008eb6380
0xfffffff008eb6294: f60304aa  mov	x22, x4
0xfffffff008eb6298: f70303aa  mov	x23, x3
0xfffffff008eb629c: f30300aa  mov	x19, x0
0xfffffff008eb62a0: 88224039  ldrb	w8, [x20, #8]
0xfffffff008eb62a4: 69008052  mov	w9, #3
