; Candidate 12411
; ADRP+ADD at VM 0xfffffff00909d2e8 (fileoff 0x20992e8): page=0x1fe3bc000 add_imm=0xe24

0xfffffff00909d268: 00fc2391  add	x0, x0, #0x8ff
0xfffffff00909d26c: 341eff90  adrp	x20, #0xfffffff007461000
0xfffffff00909d270: 94b62c91  add	x20, x20, #0xb2d
0xfffffff00909d274: 251eff90  adrp	x5, #0xfffffff007461000
0xfffffff00909d278: a58c2391  add	x5, x5, #0x8e3
0xfffffff00909d27c: e10317aa  mov	x1, x23
0xfffffff00909d280: e20315aa  mov	x2, x21
0xfffffff00909d284: e30314aa  mov	x3, x20
0xfffffff00909d288: 04568052  mov	w4, #0x2b0
0xfffffff00909d28c: b7fcff97  bl	#0xfffffff00909c568
0xfffffff00909d290: 772e00f9  str	x23, [x19, #0x58]
0xfffffff00909d294: 370600b4  cbz	x23, #0xfffffff00909d358
0xfffffff00909d298: 753200f9  str	x21, [x19, #0x60]
0xfffffff00909d29c: e00317aa  mov	x0, x23
0xfffffff00909d2a0: e10316aa  mov	x1, x22
0xfffffff00909d2a4: e20315aa  mov	x2, x21
0xfffffff00909d2a8: babdb297  bl	#0xfffffff007d4c990
0xfffffff00909d2ac: 03480094  bl	#0xfffffff0090af2b8
0xfffffff00909d2b0: 14008052  mov	w20, #0
0xfffffff00909d2b4: 601a00f9  str	x0, [x19, #0x30]
0xfffffff00909d2b8: 02000014  b	#0xfffffff00909d2c0
0xfffffff00909d2bc: 14008052  mov	w20, #0
0xfffffff00909d2c0: 48018052  mov	w8, #0xa
0xfffffff00909d2c4: 29034039  ldrb	w9, [x25]
0xfffffff00909d2c8: 1f01096b  cmp	w8, w9
0xfffffff00909d2cc: 43010054  b.lo	#0xfffffff00909d2f4
0xfffffff00909d2d0: e80314aa  mov	x8, x20
0xfffffff00909d2d4: 087d4093  sxtw	x8, w8
0xfffffff00909d2d8: 091eff90  adrp	x9, #0xfffffff00745d000
0xfffffff00909d2dc: 29413c91  add	x9, x9, #0xf10
0xfffffff00909d2e0: e96300a9  stp	x9, x24, [sp]
0xfffffff00909d2e4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00909d2e8: e01dff90  adrp	x0, #0xfffffff007459000
0xfffffff00909d2ec: 00903891  add	x0, x0, #0xe24
0xfffffff00909d2f0: 4ce7ca97  bl	#0xfffffff008357020
0xfffffff00909d2f4: e00314aa  mov	x0, x20
0xfffffff00909d2f8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00909d2fc: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00909d300: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00909d304: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00909d308: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff00909d30c: ff030291  add	sp, sp, #0x80
0xfffffff00909d310: ff0f5fd6  retab	
0xfffffff00909d314: f40300aa  mov	x20, x0
0xfffffff00909d318: 887e4093  sxtw	x8, w20
0xfffffff00909d31c: 89558052  mov	w9, #0x2ac
0xfffffff00909d320: 2a1eff90  adrp	x10, #0xfffffff007461000
0xfffffff00909d324: 4ab52c91  add	x10, x10, #0xb2d
0xfffffff00909d328: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff00909d32c: e91dff90  adrp	x9, #0xfffffff007459000
0xfffffff00909d330: 29b92d91  add	x9, x9, #0xb6e
0xfffffff00909d334: eb1dffb0  adrp	x11, #0xfffffff00745a000
0xfffffff00909d338: 6b290291  add	x11, x11, #0x8a
0xfffffff00909d33c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00909d340: eb0300f9  str	x11, [sp]
0xfffffff00909d344: e01dff90  adrp	x0, #0xfffffff007459000
0xfffffff00909d348: 00d42c91  add	x0, x0, #0xb35
0xfffffff00909d34c: 35e7ca97  bl	#0xfffffff008357020
0xfffffff00909d350: c8088052  mov	w8, #0x46
0xfffffff00909d354: dcffff17  b	#0xfffffff00909d2c4
0xfffffff00909d358: 28568052  mov	w8, #0x2b1
0xfffffff00909d35c: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff00909d360: e81dff90  adrp	x8, #0xfffffff007459000
0xfffffff00909d364: 08b92d91  add	x8, x8, #0xb6e
