; Candidate 3707
; ADRP+ADD at VM 0xfffffff0087521cc (fileoff 0x174e1cc): page=0x1fe9df000 add_imm=0xd90

0xfffffff00875214c: 0ad54629  ldp	w10, w21, [x8, #0x34]
0xfffffff008752150: 37010a8b  add	x23, x9, x10
0xfffffff008752154: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff008752158: f6fe60d3  lsr	x22, x23, #0x20
0xfffffff00875215c: b60100b4  cbz	x22, #0xfffffff008752190
0xfffffff008752160: 68968052  mov	w8, #0x4b3
0xfffffff008752164: e94fffb0  adrp	x9, #0xfffffff00714f000
0xfffffff008752168: 29bd1991  add	x9, x9, #0x66f
0xfffffff00875216c: e92300a9  stp	x9, x8, [sp]
0xfffffff008752170: e04efff0  adrp	x0, #0xfffffff007131000
0xfffffff008752174: 00403691  add	x0, x0, #0xd90
0xfffffff008752178: 4195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875217c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008752180: 634fffd0  adrp	x3, #0xfffffff007140000
0xfffffff008752184: 63a03491  add	x3, x3, #0xd28
0xfffffff008752188: 02008052  mov	w2, #0
0xfffffff00875218c: e983ef97  bl	#0xfffffff008333130
0xfffffff008752190: 284337ab  adds	x8, x25, w23, uxtw
0xfffffff008752194: 82d5ff54  b.hs	#0xfffffff008751c44
0xfffffff008752198: f77e4092  and	x23, x23, #0xffffffff
0xfffffff00875219c: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0087521a0: 2a0142b9  ldr	w10, [x9, #0x200]
0xfffffff0087521a4: 48150033  bfxil	w8, w10, #0, #6
0xfffffff0087521a8: 280102b9  str	w8, [x9, #0x200]
0xfffffff0087521ac: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0087521b0: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff0087521b4: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff0087521b8: b60100b4  cbz	x22, #0xfffffff0087521ec
0xfffffff0087521bc: a8968052  mov	w8, #0x4b5
0xfffffff0087521c0: e94fffb0  adrp	x9, #0xfffffff00714f000
0xfffffff0087521c4: 29bd1991  add	x9, x9, #0x66f
0xfffffff0087521c8: e92300a9  stp	x9, x8, [sp]
0xfffffff0087521cc: e04efff0  adrp	x0, #0xfffffff007131000
0xfffffff0087521d0: 00403691  add	x0, x0, #0xd90
0xfffffff0087521d4: 4195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087521d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087521dc: 634fffd0  adrp	x3, #0xfffffff007140000
0xfffffff0087521e0: 63703591  add	x3, x3, #0xd5c
0xfffffff0087521e4: 02008052  mov	w2, #0
0xfffffff0087521e8: d283ef97  bl	#0xfffffff008333130
0xfffffff0087521ec: 280317ab  adds	x8, x25, x23
0xfffffff0087521f0: a2d2ff54  b.hs	#0xfffffff008751c44
0xfffffff0087521f4: 9402158b  add	x20, x20, x21
0xfffffff0087521f8: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff0087521fc: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff008752200: 2a0d43b9  ldr	w10, [x9, #0x30c]
0xfffffff008752204: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff008752208: 48551633  bfi	w8, w10, #0xa, #0x16
0xfffffff00875220c: 280d03b9  str	w8, [x9, #0x30c]
0xfffffff008752210: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008752214: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff008752218: 160940f9  ldr	x22, [x8, #0x10]
0xfffffff00875221c: 95fe60d3  lsr	x21, x20, #0x20
0xfffffff008752220: b50100b4  cbz	x21, #0xfffffff008752254
0xfffffff008752224: 08978052  mov	w8, #0x4b8
0xfffffff008752228: e94fffb0  adrp	x9, #0xfffffff00714f000
0xfffffff00875222c: 29bd1991  add	x9, x9, #0x66f
0xfffffff008752230: e92300a9  stp	x9, x8, [sp]
0xfffffff008752234: e04efff0  adrp	x0, #0xfffffff007131000
0xfffffff008752238: 00403691  add	x0, x0, #0xd90
0xfffffff00875223c: 4195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008752240: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008752244: 634fffd0  adrp	x3, #0xfffffff007140000
0xfffffff008752248: 63403691  add	x3, x3, #0xd90
