; Candidate 5389
; ADRP+ADD at VM 0xfffffff0087ed6c0 (fileoff 0x17e96c0): page=0x1fe9fc000 add_imm=0xe80

0xfffffff0087ed640: f90300aa  mov	x25, x0
0xfffffff0087ed644: da1a0394  bl	#0xfffffff0088b41ac
0xfffffff0087ed648: f80300aa  mov	x24, x0
0xfffffff0087ed64c: e0008052  mov	w0, #7
0xfffffff0087ed650: 80380294  bl	#0xfffffff00887b850
0xfffffff0087ed654: d9010034  cbz	w25, #0xfffffff0087ed68c
0xfffffff0087ed658: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff0087ed65c: f4db02a9  stp	x20, x22, [sp, #0x28]
0xfffffff0087ed660: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087ed664: 08fd1d91  add	x8, x8, #0x77f
0xfffffff0087ed668: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087ed66c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087ed670: 080f8052  mov	w8, #0x78
0xfffffff0087ed674: 2051fff0  adrp	x0, #0xfffffff007214000
0xfffffff0087ed678: 00a01991  add	x0, x0, #0x668
0xfffffff0087ed67c: f82300a9  stp	x24, x8, [sp]
0xfffffff0087ed680: 7827d797  bl	#0xfffffff007db7460
0xfffffff0087ed684: 130300b5  cbnz	x19, #0xfffffff0087ed6e4
0xfffffff0087ed688: 50000014  b	#0xfffffff0087ed7c8
0xfffffff0087ed68c: c81a0394  bl	#0xfffffff0088b41ac
0xfffffff0087ed690: f80300aa  mov	x24, x0
0xfffffff0087ed694: e0008052  mov	w0, #7
0xfffffff0087ed698: 6e380294  bl	#0xfffffff00887b850
0xfffffff0087ed69c: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff0087ed6a0: e80316aa  mov	x8, x22
0xfffffff0087ed6a4: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0087ed6a8: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087ed6ac: 08fd1d91  add	x8, x8, #0x77f
0xfffffff0087ed6b0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087ed6b4: 080f8052  mov	w8, #0x78
0xfffffff0087ed6b8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ed6bc: f80300f9  str	x24, [sp]
0xfffffff0087ed6c0: e04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ed6c4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ed6c8: c190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ed6cc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ed6d0: 8352ffb0  adrp	x3, #0xfffffff00723e000
0xfffffff0087ed6d4: 63583e91  add	x3, x3, #0xf96
0xfffffff0087ed6d8: 02008052  mov	w2, #0
0xfffffff0087ed6dc: 9516ed97  bl	#0xfffffff008333130
0xfffffff0087ed6e0: 530700b4  cbz	x19, #0xfffffff0087ed7c8
0xfffffff0087ed6e4: 350700b4  cbz	x21, #0xfffffff0087ed7c8
0xfffffff0087ed6e8: 170700b4  cbz	x23, #0xfffffff0087ed7c8
0xfffffff0087ed6ec: 7a0a40f9  ldr	x26, [x19, #0x10]
0xfffffff0087ed6f0: e00317aa  mov	x0, x23
0xfffffff0087ed6f4: 01008052  mov	w1, #0
0xfffffff0087ed6f8: 02098052  mov	w2, #0x48
0xfffffff0087ed6fc: 317dd597  bl	#0xfffffff007d4cbc0
0xfffffff0087ed700: ff060079  strh	wzr, [x23, #2]
0xfffffff0087ed704: 485b40b9  ldr	w8, [x26, #0x58]
0xfffffff0087ed708: 49df40b9  ldr	w9, [x26, #0xdc]
0xfffffff0087ed70c: e8260229  stp	w8, w9, [x23, #0x10]
0xfffffff0087ed710: 48e740b9  ldr	w8, [x26, #0xe4]
0xfffffff0087ed714: e81a00b9  str	w8, [x23, #0x18]
0xfffffff0087ed718: 0850ffb0  adrp	x8, #0xfffffff0071ee000
0xfffffff0087ed71c: 002545fd  ldr	d0, [x8, #0xa48]
0xfffffff0087ed720: e0c201fc  stur	d0, [x23, #0x1c]
0xfffffff0087ed724: 88f88452  mov	w8, #0x27c4
0xfffffff0087ed728: e801a072  movk	w8, #0xf, lsl #16
0xfffffff0087ed72c: 486b68b8  ldr	w8, [x26, x8]
0xfffffff0087ed730: f40600f9  str	x20, [x23, #8]
0xfffffff0087ed734: e82600b9  str	w8, [x23, #0x24]
0xfffffff0087ed738: a002c03d  ldr	q0, [x21]
0xfffffff0087ed73c: e00e803d  str	q0, [x23, #0x30]
