; Candidate 7981
; ADRP+ADD at VM 0xfffffff00888bf70 (fileoff 0x1887f70): page=0x1fe9a3000 add_imm=0xdde

0xfffffff00888bef0: 3f1c0071  cmp	w1, #7
0xfffffff00888bef4: 88000054  b.hi	#0xfffffff00888bf04
0xfffffff00888bef8: 760400b5  cbnz	x22, #0xfffffff00888bf84
0xfffffff00888befc: 550400b5  cbnz	x21, #0xfffffff00888bf84
0xfffffff00888bf00: 340400b5  cbnz	x20, #0xfffffff00888bf84
0xfffffff00888bf04: 80098052  mov	w0, #0x4c
0xfffffff00888bf08: 81008052  mov	w1, #4
0xfffffff00888bf0c: 31beff97  bl	#0xfffffff00887b7d0
0xfffffff00888bf10: 80080034  cbz	w0, #0xfffffff00888c020
0xfffffff00888bf14: 80098052  mov	w0, #0x4c
0xfffffff00888bf18: 40beff97  bl	#0xfffffff00887b818
0xfffffff00888bf1c: f90300aa  mov	x25, x0
0xfffffff00888bf20: a3a00094  bl	#0xfffffff0088b41ac
0xfffffff00888bf24: f80300aa  mov	x24, x0
0xfffffff00888bf28: 80008052  mov	w0, #4
0xfffffff00888bf2c: 49beff97  bl	#0xfffffff00887b850
0xfffffff00888bf30: 7a620091  add	x26, x19, #0x18
0xfffffff00888bf34: 19040034  cbz	w25, #0xfffffff00888bfb4
0xfffffff00888bf38: f5d305a9  stp	x21, x20, [sp, #0x58]
0xfffffff00888bf3c: 084dfff0  adrp	x8, #0xfffffff00722e000
0xfffffff00888bf40: 0ac13891  add	x10, x8, #0xe30
0xfffffff00888bf44: f7db04a9  stp	x23, x22, [sp, #0x48]
0xfffffff00888bf48: f3eb03a9  stp	x19, x26, [sp, #0x38]
0xfffffff00888bf4c: 08a68052  mov	w8, #0x530
0xfffffff00888bf50: 094dfff0  adrp	x9, #0xfffffff00722e000
0xfffffff00888bf54: 29853891  add	x9, x9, #0xe21
0xfffffff00888bf58: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00888bf5c: 284dff90  adrp	x8, #0xfffffff00722f000
0xfffffff00888bf60: 087d0391  add	x8, x8, #0xdf
0xfffffff00888bf64: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888bf68: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00888bf6c: 88098052  mov	w8, #0x4c
0xfffffff00888bf70: 004dfff0  adrp	x0, #0xfffffff00722e000
0xfffffff00888bf74: 00783791  add	x0, x0, #0xdde
0xfffffff00888bf78: f82300a9  stp	x24, x8, [sp]
0xfffffff00888bf7c: 39add497  bl	#0xfffffff007db7460
0xfffffff00888bf80: 28000014  b	#0xfffffff00888c020
0xfffffff00888bf84: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888bf88: 0825d79a  lsr	x8, x8, x23
0xfffffff00888bf8c: a8058036  tbz	w8, #0x10, #0xfffffff00888c040
0xfffffff00888bf90: f803172a  mov	w24, w23
0xfffffff00888bf94: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888bf98: 49d64894  bl	#0xfffffff009ac18bc
0xfffffff00888bf9c: f70300aa  mov	x23, x0
0xfffffff00888bfa0: 680e188b  add	x8, x19, x24, lsl #3
0xfffffff00888bfa4: 086540f9  ldr	x8, [x8, #0xc8]
0xfffffff00888bfa8: a80800b4  cbz	x8, #0xfffffff00888c0bc
0xfffffff00888bfac: 180d40f9  ldr	x24, [x8, #0x18]
0xfffffff00888bfb0: 44000014  b	#0xfffffff00888c0c0
0xfffffff00888bfb4: 7ea00094  bl	#0xfffffff0088b41ac
0xfffffff00888bfb8: f80300aa  mov	x24, x0
0xfffffff00888bfbc: 80008052  mov	w0, #4
0xfffffff00888bfc0: 24beff97  bl	#0xfffffff00887b850
0xfffffff00888bfc4: f5d305a9  stp	x21, x20, [sp, #0x58]
0xfffffff00888bfc8: f7db04a9  stp	x23, x22, [sp, #0x48]
0xfffffff00888bfcc: f3eb03a9  stp	x19, x26, [sp, #0x38]
0xfffffff00888bfd0: 084dfff0  adrp	x8, #0xfffffff00722e000
0xfffffff00888bfd4: 0ac13891  add	x10, x8, #0xe30
0xfffffff00888bfd8: 08a68052  mov	w8, #0x530
0xfffffff00888bfdc: 094dfff0  adrp	x9, #0xfffffff00722e000
0xfffffff00888bfe0: 29853891  add	x9, x9, #0xe21
0xfffffff00888bfe4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00888bfe8: 284dff90  adrp	x8, #0xfffffff00722f000
0xfffffff00888bfec: 087d0391  add	x8, x8, #0xdf
