; Candidate 12767
; ADRP+ADD at VM 0xfffffff0091545f8 (fileoff 0x21505f8): page=0x1fe334000 add_imm=0xd95

0xfffffff009154578: e80300a9  stp	x8, x0, [sp]
0xfffffff00915457c: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff009154580: 00a43491  add	x0, x0, #0xd29
0xfffffff009154584: a70ac897  bl	#0xfffffff008357020
0xfffffff009154588: e00313aa  mov	x0, x19
0xfffffff00915458c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009154590: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009154594: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009154598: ff430191  add	sp, sp, #0x50
0xfffffff00915459c: ff0f5fd6  retab	
0xfffffff0091545a0: 7f2303d5  pacibsp	
0xfffffff0091545a4: ff0301d1  sub	sp, sp, #0x40
0xfffffff0091545a8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0091545ac: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0091545b0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0091545b4: fdc30091  add	x29, sp, #0x30
0xfffffff0091545b8: 810200b4  cbz	x1, #0xfffffff009154608
0xfffffff0091545bc: f30301aa  mov	x19, x1
0xfffffff0091545c0: 148e00b0  adrp	x20, #0xfffffff00a315000
0xfffffff0091545c4: 88f247b9  ldr	w8, [x20, #0x7f0]
0xfffffff0091545c8: 1f090071  cmp	w8, #2
0xfffffff0091545cc: a3070054  b.lo	#0xfffffff0091546c0
0xfffffff0091545d0: 158e00b0  adrp	x21, #0xfffffff00a315000
0xfffffff0091545d4: a8d25f39  ldrb	w8, [x21, #0x7f4]
0xfffffff0091545d8: 08060036  tbz	w8, #0, #0xfffffff009154698
0xfffffff0091545dc: 088e00b0  adrp	x8, #0xfffffff00a315000
0xfffffff0091545e0: 08611e91  add	x8, x8, #0x798
0xfffffff0091545e4: 08014039  ldrb	w8, [x8]
0xfffffff0091545e8: c8040034  cbz	w8, #0xfffffff009154680
0xfffffff0091545ec: a819ff90  adrp	x8, #0xfffffff007488000
0xfffffff0091545f0: 08293691  add	x8, x8, #0xd8a
0xfffffff0091545f4: e84f00a9  stp	x8, x19, [sp]
0xfffffff0091545f8: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff0091545fc: 00543691  add	x0, x0, #0xd95
0xfffffff009154600: 988bb197  bl	#0xfffffff007db7460
0xfffffff009154604: 25000014  b	#0xfffffff009154698
0xfffffff009154608: 138e00b0  adrp	x19, #0xfffffff00a315000
0xfffffff00915460c: 68d25f39  ldrb	w8, [x19, #0x7f4]
0xfffffff009154610: 48020036  tbz	w8, #0, #0xfffffff009154658
0xfffffff009154614: 088e00b0  adrp	x8, #0xfffffff00a315000
0xfffffff009154618: 08611e91  add	x8, x8, #0x798
0xfffffff00915461c: 08014039  ldrb	w8, [x8]
0xfffffff009154620: 08010034  cbz	w8, #0xfffffff009154640
0xfffffff009154624: a819ff90  adrp	x8, #0xfffffff007488000
0xfffffff009154628: 08293691  add	x8, x8, #0xd8a
0xfffffff00915462c: e80300f9  str	x8, [sp]
0xfffffff009154630: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff009154634: 00903591  add	x0, x0, #0xd64
0xfffffff009154638: 8a8bb197  bl	#0xfffffff007db7460
0xfffffff00915463c: 07000014  b	#0xfffffff009154658
0xfffffff009154640: a819ff90  adrp	x8, #0xfffffff007488000
0xfffffff009154644: 08293691  add	x8, x8, #0xd8a
0xfffffff009154648: e80300f9  str	x8, [sp]
0xfffffff00915464c: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff009154650: 00903591  add	x0, x0, #0xd64
0xfffffff009154654: bf6bcc97  bl	#0xfffffff00846f550
0xfffffff009154658: 68d25f39  ldrb	w8, [x19, #0x7f4]
0xfffffff00915465c: 880b0836  tbz	w8, #1, #0xfffffff0091547cc
0xfffffff009154660: 0fe6b597  bl	#0xfffffff007ecde9c
0xfffffff009154664: 400b0034  cbz	w0, #0xfffffff0091547cc
0xfffffff009154668: a819ff90  adrp	x8, #0xfffffff007488000
0xfffffff00915466c: 08293691  add	x8, x8, #0xd8a
0xfffffff009154670: e80300f9  str	x8, [sp]
0xfffffff009154674: a019ff90  adrp	x0, #0xfffffff007488000
