; Candidate 2482
; ADRP+ADD at VM 0xfffffff00869fc50 (fileoff 0x169bc50): page=0x1c3a000 add_imm=0xd18

0xfffffff00869fbd0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00869fbd4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00869fbd8: ff2303d5  autibsp	
0xfffffff00869fbdc: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff00869fbe0: 5100f0b6  tbz	x17, #0x3e, #0xfffffff00869fbe8
0xfffffff00869fbe4: 208e38d4  brk	#0xc471
0xfffffff00869fbe8: f10301aa  mov	x17, x1
0xfffffff00869fbec: 9142fdf2  movk	x17, #0xea14, lsl #48
0xfffffff00869fbf0: 110a1fd7  braa	x16, x17
0xfffffff00869fbf4: 5f2403d5  bti	c
0xfffffff00869fbf8: bf12f117  b	#0xfffffff0082e46f4
0xfffffff00869fbfc: 7f2303d5  pacibsp	
0xfffffff00869fc00: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00869fc04: fd030091  mov	x29, sp
0xfffffff00869fc08: c0e100d0  adrp	x0, #0xfffffff00a2d9000
0xfffffff00869fc0c: 00603491  add	x0, x0, #0xd18
0xfffffff00869fc10: 4154ffd0  adrp	x1, #0xfffffff007129000
0xfffffff00869fc14: 21e80b91  add	x1, x1, #0x2fa
0xfffffff00869fc18: 229aff90  adrp	x2, #0xfffffff0079e3000
0xfffffff00869fc1c: 42a846f9  ldr	x2, [x2, #0xd50]
0xfffffff00869fc20: 03248052  mov	w3, #0x120
0xfffffff00869fc24: c50ff197  bl	#0xfffffff0082e3b38
0xfffffff00869fc28: 709affd0  adrp	x16, #0xfffffff0079ed000
0xfffffff00869fc2c: 10a21291  add	x16, x16, #0x4a8
0xfffffff00869fc30: 10420091  add	x16, x16, #0x10
0xfffffff00869fc34: f10300aa  mov	x17, x0
0xfffffff00869fc38: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00869fc3c: 300ac1da  pacda	x16, x17
0xfffffff00869fc40: 100000f9  str	x16, [x0]
0xfffffff00869fc44: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00869fc48: ff0f5fd6  retab	
0xfffffff00869fc4c: 5f2403d5  bti	c
0xfffffff00869fc50: c0e100d0  adrp	x0, #0xfffffff00a2d9000
0xfffffff00869fc54: 00603491  add	x0, x0, #0xd18
0xfffffff00869fc58: a712f117  b	#0xfffffff0082e46f4
0xfffffff00869fc5c: 7f2303d5  pacibsp	
0xfffffff00869fc60: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00869fc64: fd030091  mov	x29, sp
0xfffffff00869fc68: 4154ffd0  adrp	x1, #0xfffffff007129000
0xfffffff00869fc6c: 214c2a91  add	x1, x1, #0xa93
0xfffffff00869fc70: 229aff90  adrp	x2, #0xfffffff0079e3000
0xfffffff00869fc74: 42d446f9  ldr	x2, [x2, #0xda8]
0xfffffff00869fc78: 03208052  mov	w3, #0x100
0xfffffff00869fc7c: af0ff197  bl	#0xfffffff0082e3b38
0xfffffff00869fc80: 709affd0  adrp	x16, #0xfffffff0079ed000
0xfffffff00869fc84: 10623191  add	x16, x16, #0xc58
0xfffffff00869fc88: 10420091  add	x16, x16, #0x10
0xfffffff00869fc8c: f10300aa  mov	x17, x0
0xfffffff00869fc90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00869fc94: 300ac1da  pacda	x16, x17
0xfffffff00869fc98: 100000f9  str	x16, [x0]
0xfffffff00869fc9c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00869fca0: ff0f5fd6  retab	
0xfffffff00869fca4: 5f2403d5  bti	c
0xfffffff00869fca8: 9312f117  b	#0xfffffff0082e46f4
0xfffffff00869fcac: 7f2303d5  pacibsp	
0xfffffff00869fcb0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00869fcb4: fd030091  mov	x29, sp
0xfffffff00869fcb8: 955cf597  bl	#0xfffffff0083f6f0c
0xfffffff00869fcbc: 709affd0  adrp	x16, #0xfffffff0079ed000
0xfffffff00869fcc0: 10021891  add	x16, x16, #0x600
0xfffffff00869fcc4: 10420091  add	x16, x16, #0x10
0xfffffff00869fcc8: f10300aa  mov	x17, x0
0xfffffff00869fccc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
