; Candidate 16313
; ADRP+ADD at VM 0xfffffff009e532d0 (fileoff 0x2e4f2d0): page=0x1fdee6000 add_imm=0xdb8

0xfffffff009e53250: 895e8052  mov	w9, #0x2f4
0xfffffff009e53254: e82700a9  stp	x8, x9, [sp]
0xfffffff009e53258: c0cefeb0  adrp	x0, #0xfffffff00782c000
0xfffffff009e5325c: 00641291  add	x0, x0, #0x499
0xfffffff009e53260: 99b10094  bl	#0xfffffff009e7f8c4
0xfffffff009e53264: e00318aa  mov	x0, x24
0xfffffff009e53268: 768f0394  bl	#0xfffffff009f37040
0xfffffff009e5326c: 00f7fed0  adrp	x0, #0xfffffff007d35000
0xfffffff009e53270: 00603091  add	x0, x0, #0xc18
0xfffffff009e53274: e10315aa  mov	x1, x21
0xfffffff009e53278: 250d9497  bl	#0xfffffff00835670c
0xfffffff009e5327c: 082c00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e53280: 08212a91  add	x8, x8, #0xa88
0xfffffff009e53284: e9028092  mov	x9, #-0x18
0xfffffff009e53288: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009e5328c: f53f40f9  ldr	x21, [sp, #0x78]
0xfffffff009e53290: 8cfeff17  b	#0xfffffff009e52cc0
0xfffffff009e53294: 7f1a10f9  str	xzr, [x19, #0x2030]
0xfffffff009e53298: e0031aaa  mov	x0, x26
0xfffffff009e5329c: 586d7d97  bl	#0xfffffff007dae7fc
0xfffffff009e532a0: e00319aa  mov	x0, x25
0xfffffff009e532a4: 566d7d97  bl	#0xfffffff007dae7fc
0xfffffff009e532a8: f83340f9  ldr	x24, [sp, #0x60]
0xfffffff009e532ac: e88340b9  ldr	w8, [sp, #0x80]
0xfffffff009e532b0: 68100034  cbz	w8, #0xfffffff009e534bc
0xfffffff009e532b4: b54358b8  ldur	w21, [x29, #-0x7c]
0xfffffff009e532b8: d5420034  cbz	w21, #0xfffffff009e53b10
0xfffffff009e532bc: f67b40f9  ldr	x22, [sp, #0xf0]
0xfffffff009e532c0: 564300b4  cbz	x22, #0xfffffff009e53b28
0xfffffff009e532c4: ff630539  strb	wzr, [sp, #0x158]
0xfffffff009e532c8: a80e158b  add	x8, x21, x21, lsl #3
0xfffffff009e532cc: 19f17dd3  lsl	x25, x8, #3
0xfffffff009e532d0: 20f7fed0  adrp	x0, #0xfffffff007d39000
0xfffffff009e532d4: 00e03691  add	x0, x0, #0xdb8
0xfffffff009e532d8: e10319aa  mov	x1, x25
0xfffffff009e532dc: bd0e9497  bl	#0xfffffff008356dd0
0xfffffff009e532e0: a00600b4  cbz	x0, #0xfffffff009e533b4
0xfffffff009e532e4: f62f00f9  str	x22, [sp, #0x58]
0xfffffff009e532e8: f54300f9  str	x21, [sp, #0x80]
0xfffffff009e532ec: 18008052  mov	w24, #0
0xfffffff009e532f0: 160080d2  mov	x22, #0
0xfffffff009e532f4: 082c00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e532f8: 08212a91  add	x8, x8, #0xa88
0xfffffff009e532fc: 080139f8  ldadd	x25, x8, [x8]
0xfffffff009e53300: e0bf00f9  str	x0, [sp, #0x178]
0xfffffff009e53304: ff7701b9  str	wzr, [sp, #0x174]
0xfffffff009e53308: bf8318f8  stur	xzr, [x29, #-0x78]
0xfffffff009e5330c: e8bf40f9  ldr	x8, [sp, #0x178]
0xfffffff009e53310: 1a01168b  add	x26, x8, x22
0xfffffff009e53314: 5f0b00f9  str	xzr, [x26, #0x10]
0xfffffff009e53318: 5f4302f8  stur	xzr, [x26, #0x24]
0xfffffff009e5331c: e8c30391  add	x8, sp, #0xf0
0xfffffff009e53320: 482300f9  str	x8, [x26, #0x40]
0xfffffff009e53324: 580300b9  str	w24, [x26]
0xfffffff009e53328: 5f830039  strb	wzr, [x26, #0x20]
0xfffffff009e5332c: 5bc30091  add	x27, x26, #0x30
0xfffffff009e53330: 082c00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e53334: 01c944f9  ldr	x1, [x8, #0x990]
0xfffffff009e53338: 082c00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e5333c: 02c544f9  ldr	x2, [x8, #0x988]
0xfffffff009e53340: e0031baa  mov	x0, x27
0xfffffff009e53344: 80617d97  bl	#0xfffffff007dab944
0xfffffff009e53348: e0031baa  mov	x0, x27
0xfffffff009e5334c: e0617d97  bl	#0xfffffff007dabacc
