; Candidate 16724
; ADRP+ADD at VM 0xfffffff009f36c24 (fileoff 0x2f32c24): page=0x1fd928000 add_imm=0xe06

0xfffffff009f36ba4: 290e8052  mov	w9, #0x71
0xfffffff009f36ba8: 2a0d8052  mov	w10, #0x69
0xfffffff009f36bac: 4901891a  csel	w9, w10, w9, eq
0xfffffff009f36bb0: 3f030071  cmp	w25, #0
0xfffffff009f36bb4: 0a098052  mov	w10, #0x48
0xfffffff009f36bb8: 4111891a  csel	w1, w10, w9, ne
0xfffffff009f36bbc: 2801e037  tbnz	w8, #0x1c, #0xfffffff009f36be0
0xfffffff009f36bc0: 684a4079  ldrh	w8, [x19, #0x24]
0xfffffff009f36bc4: 1f2d0071  cmp	w8, #0xb
0xfffffff009f36bc8: 80000054  b.eq	#0xfffffff009f36bd8
0xfffffff009f36bcc: 68524079  ldrh	w8, [x19, #0x28]
0xfffffff009f36bd0: 1f2d0071  cmp	w8, #0xb
0xfffffff009f36bd4: 21030054  b.ne	#0xfffffff009f36c38
0xfffffff009f36bd8: 48008052  mov	w8, #2
0xfffffff009f36bdc: 18000014  b	#0xfffffff009f36c3c
0xfffffff009f36be0: bf831af8  stur	xzr, [x29, #-0x58]
0xfffffff009f36be4: 17000014  b	#0xfffffff009f36c40
0xfffffff009f36be8: 190080d2  mov	x25, #0
0xfffffff009f36bec: 31ffff17  b	#0xfffffff009f368b0
0xfffffff009f36bf0: 886640f9  ldr	x8, [x20, #0xc8]
0xfffffff009f36bf4: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f36bf8: 693a40f9  ldr	x9, [x19, #0x70]
0xfffffff009f36bfc: 6a0a40f9  ldr	x10, [x19, #0x10]
0xfffffff009f36c00: 6b324429  ldp	w11, w12, [x19, #0x20]
0xfffffff009f36c04: 6d2a40b9  ldr	w13, [x19, #0x28]
0xfffffff009f36c08: eddb03a9  stp	x13, x22, [sp, #0x38]
0xfffffff009f36c0c: ebb302a9  stp	x11, x12, [sp, #0x28]
0xfffffff009f36c10: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f36c14: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f36c18: 48c9fe90  adrp	x8, #0xfffffff00785e000
0xfffffff009f36c1c: 084d3191  add	x8, x8, #0xc53
0xfffffff009f36c20: 29228352  mov	w9, #0x1911
0xfffffff009f36c24: 40c9fe90  adrp	x0, #0xfffffff00785e000
0xfffffff009f36c28: 00183891  add	x0, x0, #0xe06
0xfffffff009f36c2c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f36c30: 2523fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f36c34: fefeff17  b	#0xfffffff009f3682c
0xfffffff009f36c38: 28008052  mov	w8, #1
0xfffffff009f36c3c: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff009f36c40: a46301d1  sub	x4, x29, #0x58
0xfffffff009f36c44: e00314aa  mov	x0, x20
0xfffffff009f36c48: e30316aa  mov	x3, x22
0xfffffff009f36c4c: 050080d2  mov	x5, #0
0xfffffff009f36c50: 574c0094  bl	#0xfffffff009f49dac
0xfffffff009f36c54: 80010034  cbz	w0, #0xfffffff009f36c84
0xfffffff009f36c58: f50300aa  mov	x21, x0
0xfffffff009f36c5c: 880240f9  ldr	x8, [x20]
0xfffffff009f36c60: 00c140f9  ldr	x0, [x8, #0x180]
0xfffffff009f36c64: b917fe97  bl	#0xfffffff009ebcb48
0xfffffff009f36c68: 60080034  cbz	w0, #0xfffffff009f36d74
0xfffffff009f36c6c: 884a4079  ldrh	w8, [x20, #0x24]
0xfffffff009f36c70: 1f350071  cmp	w8, #0xd
0xfffffff009f36c74: 01050054  b.ne	#0xfffffff009f36d14
0xfffffff009f36c78: 083e8452  mov	w8, #0x21f0
0xfffffff009f36c7c: 8802088b  add	x8, x20, x8
0xfffffff009f36c80: 27000014  b	#0xfffffff009f36d1c
0xfffffff009f36c84: 3c030052  eor	w28, w25, #1
0xfffffff009f36c88: b9835af8  ldur	x25, [x29, #-0x58]
0xfffffff009f36c8c: e30319aa  mov	x3, x25
0xfffffff009f36c90: 19f7ffb4  cbz	x25, #0xfffffff009f36b70
0xfffffff009f36c94: a3831af8  stur	x3, [x29, #-0x58]
0xfffffff009f36c98: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff009f36c9c: 097d0853  lsr	w9, w8, #8
0xfffffff009f36ca0: 29091b12  and	w9, w9, #0xe0
