; Candidate 12818
; ADRP+ADD at VM 0xfffffff00915e138 (fileoff 0x215a138): page=0x1fe32c000 add_imm=0xe4c

0xfffffff00915e0b8: 08014039  ldrb	w8, [x8]
0xfffffff00915e0bc: a8020034  cbz	w8, #0xfffffff00915e110
0xfffffff00915e0c0: 4819ffb0  adrp	x8, #0xfffffff007487000
0xfffffff00915e0c4: 08751b91  add	x8, x8, #0x6dd
0xfffffff00915e0c8: e80300f9  str	x8, [sp]
0xfffffff00915e0cc: 6019ff90  adrp	x0, #0xfffffff00748a000
0xfffffff00915e0d0: 00303991  add	x0, x0, #0xe4c
0xfffffff00915e0d4: e364b197  bl	#0xfffffff007db7460
0xfffffff00915e0d8: 14000014  b	#0xfffffff00915e128
0xfffffff00915e0dc: 4819ffb0  adrp	x8, #0xfffffff007487000
0xfffffff00915e0e0: 08751b91  add	x8, x8, #0x6dd
0xfffffff00915e0e4: e80300f9  str	x8, [sp]
0xfffffff00915e0e8: 6019ff90  adrp	x0, #0xfffffff00748a000
0xfffffff00915e0ec: 005c3891  add	x0, x0, #0xe17
0xfffffff00915e0f0: 1845cc97  bl	#0xfffffff00846f550
0xfffffff00915e0f4: 68024039  ldrb	w8, [x19]
0xfffffff00915e0f8: c8020836  tbz	w8, #1, #0xfffffff00915e150
0xfffffff00915e0fc: 68bfb597  bl	#0xfffffff007ecde9c
0xfffffff00915e100: a0020034  cbz	w0, #0xfffffff00915e154
0xfffffff00915e104: 6019ff90  adrp	x0, #0xfffffff00748a000
0xfffffff00915e108: 005c3891  add	x0, x0, #0xe17
0xfffffff00915e10c: 0d000014  b	#0xfffffff00915e140
0xfffffff00915e110: 4819ffb0  adrp	x8, #0xfffffff007487000
0xfffffff00915e114: 08751b91  add	x8, x8, #0x6dd
0xfffffff00915e118: e80300f9  str	x8, [sp]
0xfffffff00915e11c: 6019ff90  adrp	x0, #0xfffffff00748a000
0xfffffff00915e120: 00303991  add	x0, x0, #0xe4c
0xfffffff00915e124: 0b45cc97  bl	#0xfffffff00846f550
0xfffffff00915e128: 68024039  ldrb	w8, [x19]
0xfffffff00915e12c: 28010836  tbz	w8, #1, #0xfffffff00915e150
0xfffffff00915e130: 5bbfb597  bl	#0xfffffff007ecde9c
0xfffffff00915e134: 00010034  cbz	w0, #0xfffffff00915e154
0xfffffff00915e138: 6019ff90  adrp	x0, #0xfffffff00748a000
0xfffffff00915e13c: 00303991  add	x0, x0, #0xe4c
0xfffffff00915e140: 4819ffb0  adrp	x8, #0xfffffff007487000
0xfffffff00915e144: 08751b91  add	x8, x8, #0x6dd
0xfffffff00915e148: e80300f9  str	x8, [sp]
0xfffffff00915e14c: b5e3c797  bl	#0xfffffff008357020
0xfffffff00915e150: 00008052  mov	w0, #0
0xfffffff00915e154: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00915e158: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00915e15c: ffc30091  add	sp, sp, #0x30
0xfffffff00915e160: ff0f5fd6  retab	
0xfffffff00915e164: 7f2303d5  pacibsp	
0xfffffff00915e168: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00915e16c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00915e170: fd430091  add	x29, sp, #0x10
0xfffffff00915e174: f30301aa  mov	x19, x1
0xfffffff00915e178: f40300aa  mov	x20, x0
0xfffffff00915e17c: 1f6c00f9  str	xzr, [x0, #0xd8]
0xfffffff00915e180: 007840f9  ldr	x0, [x0, #0xf0]
0xfffffff00915e184: 600100b4  cbz	x0, #0xfffffff00915e1b0
0xfffffff00915e188: 100040f9  ldr	x16, [x0]
0xfffffff00915e18c: f10300aa  mov	x17, x0
0xfffffff00915e190: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00915e194: 301ac1da  autda	x16, x17
0xfffffff00915e198: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00915e19c: e90310aa  mov	x9, x16
0xfffffff00915e1a0: f10309aa  mov	x17, x9
0xfffffff00915e1a4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00915e1a8: 11093fd7  blraa	x8, x17
0xfffffff00915e1ac: 9f7a00f9  str	xzr, [x20, #0xf0]
0xfffffff00915e1b0: 0850ff90  adrp	x8, #0xfffffff007b5e000
0xfffffff00915e1b4: 083141f9  ldr	x8, [x8, #0x260]
