; Candidate 1721
; ADRP+ADD at VM 0xfffffff0084f9104 (fileoff 0x14f5104): page=0x1febe8000 add_imm=0xe22

0xfffffff0084f9084: e10314aa  mov	x1, x20
0xfffffff0084f9088: da284e94  bl	#0xfffffff0098833f0
0xfffffff0084f908c: f0a4ffb0  adrp	x16, #0xfffffff007996000
0xfffffff0084f9090: 10223491  add	x16, x16, #0xd08
0xfffffff0084f9094: 10420091  add	x16, x16, #0x10
0xfffffff0084f9098: f10300aa  mov	x17, x0
0xfffffff0084f909c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0084f90a0: 300ac1da  pacda	x16, x17
0xfffffff0084f90a4: 100000f9  str	x16, [x0]
0xfffffff0084f90a8: e00314aa  mov	x0, x20
0xfffffff0084f90ac: 22b0f797  bl	#0xfffffff0082e5134
0xfffffff0084f90b0: e00313aa  mov	x0, x19
0xfffffff0084f90b4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0084f90b8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0084f90bc: ff0f5fd6  retab	
0xfffffff0084f90c0: 5f2403d5  bti	c
0xfffffff0084f90c4: 8cadf717  b	#0xfffffff0082e46f4
0xfffffff0084f90c8: 5f2403d5  bti	c
0xfffffff0084f90cc: 8aadf717  b	#0xfffffff0082e46f4
0xfffffff0084f90d0: 7f2303d5  pacibsp	
0xfffffff0084f90d4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0084f90d8: fd030091  mov	x29, sp
0xfffffff0084f90dc: 405fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f90e0: 00603791  add	x0, x0, #0xdd8
0xfffffff0084f90e4: 55c0f897  bl	#0xfffffff008329238
0xfffffff0084f90e8: e8ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f90ec: 00b100f9  str	x0, [x8, #0x160]
0xfffffff0084f90f0: 405fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f90f4: 00083891  add	x0, x0, #0xe02
0xfffffff0084f90f8: 50c0f897  bl	#0xfffffff008329238
0xfffffff0084f90fc: e8ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f9100: 00b500f9  str	x0, [x8, #0x168]
0xfffffff0084f9104: 405fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f9108: 00883891  add	x0, x0, #0xe22
0xfffffff0084f910c: 4bc0f897  bl	#0xfffffff008329238
0xfffffff0084f9110: e8ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f9114: 00b900f9  str	x0, [x8, #0x170]
0xfffffff0084f9118: 405fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f911c: 00e43891  add	x0, x0, #0xe39
0xfffffff0084f9120: 46c0f897  bl	#0xfffffff008329238
0xfffffff0084f9124: e8ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f9128: 00bd00f9  str	x0, [x8, #0x178]
0xfffffff0084f912c: 405fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f9130: 004c3991  add	x0, x0, #0xe53
0xfffffff0084f9134: 41c0f897  bl	#0xfffffff008329238
0xfffffff0084f9138: e8ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f913c: 00c100f9  str	x0, [x8, #0x180]
0xfffffff0084f9140: 405fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f9144: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0084f9148: 3cc0f897  bl	#0xfffffff008329238
0xfffffff0084f914c: e8ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f9150: 00c500f9  str	x0, [x8, #0x188]
0xfffffff0084f9154: e0ee0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff0084f9158: 00400691  add	x0, x0, #0x190
0xfffffff0084f915c: 015fffb0  adrp	x1, #0xfffffff0070da000
0xfffffff0084f9160: 219c0791  add	x1, x1, #0x1e7
0xfffffff0084f9164: e2ee00b0  adrp	x2, #0xfffffff00a2d6000
0xfffffff0084f9168: 42001891  add	x2, x2, #0x600
0xfffffff0084f916c: 03968052  mov	w3, #0x4b0
0xfffffff0084f9170: 72aaf797  bl	#0xfffffff0082e3b38
0xfffffff0084f9174: f0a4ffb0  adrp	x16, #0xfffffff007996000
0xfffffff0084f9178: 10223891  add	x16, x16, #0xe08
0xfffffff0084f917c: 10420091  add	x16, x16, #0x10
0xfffffff0084f9180: f10300aa  mov	x17, x0
