; Candidate 6254
; ADRP+ADD at VM 0xfffffff00881d5b0 (fileoff 0x18195b0): page=0x1fe9cc000 add_imm=0xe80

0xfffffff00881d530: 6351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff00881d534: 63940091  add	x3, x3, #0x25
0xfffffff00881d538: 02008052  mov	w2, #0
0xfffffff00881d53c: fd56ec97  bl	#0xfffffff008333130
0xfffffff00881d540: e00316aa  mov	x0, x22
0xfffffff00881d544: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00881d548: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00881d54c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00881d550: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00881d554: ff830291  add	sp, sp, #0xa0
0xfffffff00881d558: ff0f5fd6  retab	
0xfffffff00881d55c: 145b0294  bl	#0xfffffff0088b41ac
0xfffffff00881d560: f70300aa  mov	x23, x0
0xfffffff00881d564: 80008052  mov	w0, #4
0xfffffff00881d568: ba780194  bl	#0xfffffff00887b850
0xfffffff00881d56c: e80316aa  mov	x8, x22
0xfffffff00881d570: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881d574: e82b00f9  str	x8, [sp, #0x50]
0xfffffff00881d578: e80315aa  mov	x8, x21
0xfffffff00881d57c: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00881d580: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00881d584: 884ffff0  adrp	x8, #0xfffffff007210000
0xfffffff00881d588: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881d58c: 496b8152  mov	w9, #0xb5a
0xfffffff00881d590: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881d594: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881d598: 08bd3091  add	x8, x8, #0xc2f
0xfffffff00881d59c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881d5a0: 880e8052  mov	w8, #0x74
0xfffffff00881d5a4: 6351ff90  adrp	x3, #0xfffffff007249000
0xfffffff00881d5a8: 63883f91  add	x3, x3, #0xfe2
0xfffffff00881d5ac: f72300a9  stp	x23, x8, [sp]
0xfffffff00881d5b0: 604eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00881d5b4: 00003a91  add	x0, x0, #0xe80
0xfffffff00881d5b8: 418ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00881d5bc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881d5c0: 02008052  mov	w2, #0
0xfffffff00881d5c4: db56ec97  bl	#0xfffffff008333130
0xfffffff00881d5c8: b2ffff17  b	#0xfffffff00881d490
0xfffffff00881d5cc: 7f2303d5  pacibsp	
0xfffffff00881d5d0: ff8302d1  sub	sp, sp, #0xa0
0xfffffff00881d5d4: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff00881d5d8: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff00881d5dc: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff00881d5e0: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff00881d5e4: fd430291  add	x29, sp, #0x90
0xfffffff00881d5e8: f50302aa  mov	x21, x2
0xfffffff00881d5ec: f40301aa  mov	x20, x1
0xfffffff00881d5f0: f30300aa  mov	x19, x0
0xfffffff00881d5f4: 800e8052  mov	w0, #0x74
0xfffffff00881d5f8: c1008052  mov	w1, #6
0xfffffff00881d5fc: 75780194  bl	#0xfffffff00887b7d0
0xfffffff00881d600: 60020034  cbz	w0, #0xfffffff00881d64c
0xfffffff00881d604: 800e8052  mov	w0, #0x74
0xfffffff00881d608: 84780194  bl	#0xfffffff00887b818
0xfffffff00881d60c: f70300aa  mov	x23, x0
0xfffffff00881d610: e75a0294  bl	#0xfffffff0088b41ac
0xfffffff00881d614: f60300aa  mov	x22, x0
0xfffffff00881d618: c0008052  mov	w0, #6
0xfffffff00881d61c: 8d780194  bl	#0xfffffff00887b850
0xfffffff00881d620: b7010034  cbz	w23, #0xfffffff00881d654
0xfffffff00881d624: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00881d628: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881d62c: 08bd3391  add	x8, x8, #0xcef
