; Candidate 2921
; ADRP+ADD at VM 0xfffffff0086f6428 (fileoff 0x16f2428): page=0x1fea3b000 add_imm=0xd90

0xfffffff0086f63a8: bf620671  cmp	w21, #0x198
0xfffffff0086f63ac: c0010054  b.eq	#0xfffffff0086f63e4
0xfffffff0086f63b0: bf820671  cmp	w21, #0x1a0
0xfffffff0086f63b4: 20010054  b.eq	#0xfffffff0086f63d8
0xfffffff0086f63b8: 36000014  b	#0xfffffff0086f6490
0xfffffff0086f63bc: bf860671  cmp	w21, #0x1a1
0xfffffff0086f63c0: c0000054  b.eq	#0xfffffff0086f63d8
0xfffffff0086f63c4: bfa20671  cmp	w21, #0x1a8
0xfffffff0086f63c8: 41060054  b.ne	#0xfffffff0086f6490
0xfffffff0086f63cc: e00313aa  mov	x0, x19
0xfffffff0086f63d0: 7b84ff97  bl	#0xfffffff0086d75bc
0xfffffff0086f63d4: 06000014  b	#0xfffffff0086f63ec
0xfffffff0086f63d8: e00313aa  mov	x0, x19
0xfffffff0086f63dc: d7a20194  bl	#0xfffffff00875ef38
0xfffffff0086f63e0: 03000014  b	#0xfffffff0086f63ec
0xfffffff0086f63e4: e00313aa  mov	x0, x19
0xfffffff0086f63e8: 10ce0294  bl	#0xfffffff0087a9c28
0xfffffff0086f63ec: 601a05f9  str	x0, [x19, #0xa30]
0xfffffff0086f63f0: c00100b4  cbz	x0, #0xfffffff0086f6428
0xfffffff0086f63f4: 9f020071  cmp	w20, #0
0xfffffff0086f63f8: 28008052  mov	w8, #1
0xfffffff0086f63fc: 0815881a  cinc	w8, w8, eq
0xfffffff0086f6400: 683e0cb9  str	w8, [x19, #0xc3c]
0xfffffff0086f6404: 60620091  add	x0, x19, #0x18
0xfffffff0086f6408: 01008052  mov	w1, #0
0xfffffff0086f640c: 02818052  mov	w2, #0x408
0xfffffff0086f6410: ec59d997  bl	#0xfffffff007d4cbc0
0xfffffff0086f6414: 60821091  add	x0, x19, #0x420
0xfffffff0086f6418: 01008052  mov	w1, #0
0xfffffff0086f641c: 02818052  mov	w2, #0x408
0xfffffff0086f6420: e859d997  bl	#0xfffffff007d4cbc0
0xfffffff0086f6424: 14000014  b	#0xfffffff0086f6474
0xfffffff0086f6428: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f642c: 00403691  add	x0, x0, #0xd90
0xfffffff0086f6430: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f6434: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f6438: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f643c: 63080f91  add	x3, x3, #0x3c2
0xfffffff0086f6440: 02008052  mov	w2, #0
0xfffffff0086f6444: 3bf3f097  bl	#0xfffffff008333130
0xfffffff0086f6448: 14268052  mov	w20, #0x130
0xfffffff0086f644c: f75300a9  stp	x23, x20, [sp]
0xfffffff0086f6450: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f6454: 00403691  add	x0, x0, #0xd90
0xfffffff0086f6458: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f645c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f6460: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f6464: 63081091  add	x3, x3, #0x402
0xfffffff0086f6468: 02008052  mov	w2, #0
0xfffffff0086f646c: 31f3f097  bl	#0xfffffff008333130
0xfffffff0086f6470: 746e34b9  str	w20, [x19, #0x346c]
0xfffffff0086f6474: e00313aa  mov	x0, x19
0xfffffff0086f6478: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0086f647c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0086f6480: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0086f6484: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0086f6488: ff430191  add	sp, sp, #0x50
0xfffffff0086f648c: ff0f5fd6  retab	
0xfffffff0086f6490: f75700a9  stp	x23, x21, [sp]
0xfffffff0086f6494: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f6498: 00403691  add	x0, x0, #0xd90
0xfffffff0086f649c: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f64a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f64a4: e351fff0  adrp	x3, #0xfffffff007135000
