; Candidate 5539
; ADRP+ADD at VM 0xfffffff0087f73a0 (fileoff 0x17f33a0): page=0x1fe9f2000 add_imm=0xe80

0xfffffff0087f7320: 088d2a91  add	x8, x8, #0xaa3
0xfffffff0087f7324: 499c8052  mov	w9, #0x4e2
0xfffffff0087f7328: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f732c: e850ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f7330: 08213591  add	x8, x8, #0xd48
0xfffffff0087f7334: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f7338: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f733c: e80e8052  mov	w8, #0x77
0xfffffff0087f7340: e050fff0  adrp	x0, #0xfffffff007216000
0xfffffff0087f7344: 00402991  add	x0, x0, #0xa50
0xfffffff0087f7348: 5af8ff17  b	#0xfffffff0087f54b0
0xfffffff0087f734c: 98f30294  bl	#0xfffffff0088b41ac
0xfffffff0087f7350: f40300aa  mov	x20, x0
0xfffffff0087f7354: 80008052  mov	w0, #4
0xfffffff0087f7358: 3e110294  bl	#0xfffffff00887b850
0xfffffff0087f735c: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff0087f7360: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087f7364: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f7368: f62305a9  stp	x22, x8, [sp, #0x50]
0xfffffff0087f736c: f82b04a9  stp	x24, x10, [sp, #0x40]
0xfffffff0087f7370: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0087f7374: e850fff0  adrp	x8, #0xfffffff007216000
0xfffffff0087f7378: 08c12491  add	x8, x8, #0x930
0xfffffff0087f737c: 49958052  mov	w9, #0x4aa
0xfffffff0087f7380: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f7384: e850ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f7388: 08213591  add	x8, x8, #0xd48
0xfffffff0087f738c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f7390: e80e8052  mov	w8, #0x77
0xfffffff0087f7394: 4352ffd0  adrp	x3, #0xfffffff007241000
0xfffffff0087f7398: 63640891  add	x3, x3, #0x219
0xfffffff0087f739c: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f73a0: 804fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f73a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f73a8: 8190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f73ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f73b0: 02008052  mov	w2, #0
0xfffffff0087f73b4: 5fefec97  bl	#0xfffffff008333130
0xfffffff0087f73b8: c7f8ff17  b	#0xfffffff0087f56d4
0xfffffff0087f73bc: a82778a9  ldp	x8, x9, [x29, #-0x80]
0xfffffff0087f73c0: 888615f9  str	x8, [x20, #0x2b08]
0xfffffff0087f73c4: 899615f9  str	x9, [x20, #0x2b28]
0xfffffff0087f73c8: a82779a9  ldp	x8, x9, [x29, #-0x70]
0xfffffff0087f73cc: 88a615f9  str	x8, [x20, #0x2b48]
0xfffffff0087f73d0: 89b615f9  str	x9, [x20, #0x2b68]
0xfffffff0087f73d4: a85640b9  ldr	w8, [x21, #0x54]
0xfffffff0087f73d8: 883616f9  str	x8, [x20, #0x2c68]
0xfffffff0087f73dc: b60e40f9  ldr	x22, [x21, #0x18]
0xfffffff0087f73e0: f60000b4  cbz	x22, #0xfffffff0087f73fc
0xfffffff0087f73e4: 210340b9  ldr	w1, [x25]
0xfffffff0087f73e8: e00316aa  mov	x0, x22
0xfffffff0087f73ec: 02008052  mov	w2, #0
0xfffffff0087f73f0: ef500294  bl	#0xfffffff00888b7ac
0xfffffff0087f73f4: 80c615f9  str	x0, [x20, #0x2b88]
0xfffffff0087f73f8: 801600b4  cbz	x0, #0xfffffff0087f76c8
0xfffffff0087f73fc: a81240f9  ldr	x8, [x21, #0x20]
0xfffffff0087f7400: e84b00f9  str	x8, [sp, #0x90]
0xfffffff0087f7404: 481f00b4  cbz	x8, #0xfffffff0087f77ec
0xfffffff0087f7408: 08bf4391  add	x8, x24, #0xef, lsl #12
0xfffffff0087f740c: 02112991  add	x2, x8, #0xa44
0xfffffff0087f7410: a30302d1  sub	x3, x29, #0x80
0xfffffff0087f7414: e00313aa  mov	x0, x19
0xfffffff0087f7418: e14b40f9  ldr	x1, [sp, #0x90]
0xfffffff0087f741c: a6edff97  bl	#0xfffffff0087f2ab4
