; Candidate 2206
; ADRP+ADD at VM 0xfffffff0085ad64c (fileoff 0x15a964c): page=0x1ff40b000 add_imm=0xe70

0xfffffff0085ad5cc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085ad5d0: ff0f5fd6  retab	
0xfffffff0085ad5d4: 7f2303d5  pacibsp	
0xfffffff0085ad5d8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085ad5dc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085ad5e0: fd430091  add	x29, sp, #0x10
0xfffffff0085ad5e4: 40a0fff0  adrp	x0, #0xfffffff0079b8000
0xfffffff0085ad5e8: 00c03991  add	x0, x0, #0xe70
0xfffffff0085ad5ec: 01338052  mov	w1, #0x198
0xfffffff0085ad5f0: 12e8f497  bl	#0xfffffff0082e7638
0xfffffff0085ad5f4: f30300aa  mov	x19, x0
0xfffffff0085ad5f8: 54e900d0  adrp	x20, #0xfffffff00a2d7000
0xfffffff0085ad5fc: 94821191  add	x20, x20, #0x460
0xfffffff0085ad600: e10314aa  mov	x1, x20
0xfffffff0085ad604: 98f1ff97  bl	#0xfffffff0085a9c64
0xfffffff0085ad608: 30a0ffd0  adrp	x16, #0xfffffff0079b3000
0xfffffff0085ad60c: 10822491  add	x16, x16, #0x920
0xfffffff0085ad610: 10420091  add	x16, x16, #0x10
0xfffffff0085ad614: f10300aa  mov	x17, x0
0xfffffff0085ad618: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085ad61c: 300ac1da  pacda	x16, x17
0xfffffff0085ad620: 100000f9  str	x16, [x0]
0xfffffff0085ad624: 1f7801b9  str	wzr, [x0, #0x178]
0xfffffff0085ad628: 1fc800f9  str	xzr, [x0, #0x190]
0xfffffff0085ad62c: e00314aa  mov	x0, x20
0xfffffff0085ad630: c1def497  bl	#0xfffffff0082e5134
0xfffffff0085ad634: e00313aa  mov	x0, x19
0xfffffff0085ad638: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085ad63c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085ad640: ff0f5fd6  retab	
0xfffffff0085ad644: 5f2403d5  bti	c
0xfffffff0085ad648: e10300aa  mov	x1, x0
0xfffffff0085ad64c: 40a0fff0  adrp	x0, #0xfffffff0079b8000
0xfffffff0085ad650: 00c03991  add	x0, x0, #0xe70
0xfffffff0085ad654: f9e7f417  b	#0xfffffff0082e7638
0xfffffff0085ad658: 7f2303d5  pacibsp	
0xfffffff0085ad65c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085ad660: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085ad664: fd430091  add	x29, sp, #0x10
0xfffffff0085ad668: f30300aa  mov	x19, x0
0xfffffff0085ad66c: 54e900d0  adrp	x20, #0xfffffff00a2d7000
0xfffffff0085ad670: 94821191  add	x20, x20, #0x460
0xfffffff0085ad674: e10314aa  mov	x1, x20
0xfffffff0085ad678: 7bf1ff97  bl	#0xfffffff0085a9c64
0xfffffff0085ad67c: 30a0ffd0  adrp	x16, #0xfffffff0079b3000
0xfffffff0085ad680: 10822491  add	x16, x16, #0x920
0xfffffff0085ad684: 10420091  add	x16, x16, #0x10
0xfffffff0085ad688: f10300aa  mov	x17, x0
0xfffffff0085ad68c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085ad690: 300ac1da  pacda	x16, x17
0xfffffff0085ad694: 100000f9  str	x16, [x0]
0xfffffff0085ad698: 1f7801b9  str	wzr, [x0, #0x178]
0xfffffff0085ad69c: 1fc800f9  str	xzr, [x0, #0x190]
0xfffffff0085ad6a0: e00314aa  mov	x0, x20
0xfffffff0085ad6a4: a4def497  bl	#0xfffffff0082e5134
0xfffffff0085ad6a8: e00313aa  mov	x0, x19
0xfffffff0085ad6ac: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085ad6b0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085ad6b4: ff0f5fd6  retab	
0xfffffff0085ad6b8: 7f2303d5  pacibsp	
0xfffffff0085ad6bc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085ad6c0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085ad6c4: fd430091  add	x29, sp, #0x10
0xfffffff0085ad6c8: f30300aa  mov	x19, x0
