; Candidate 10791
; ADRP+ADD at VM 0xfffffff008de6b5c (fileoff 0x1de2b5c): page=0x1fe5de000 add_imm=0xe15

0xfffffff008de6adc: 5f2403d5  bti	c
0xfffffff008de6ae0: c8a800b0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008de6ae4: 001146f9  ldr	x0, [x8, #0xc20]
0xfffffff008de6ae8: c0035fd6  ret	
0xfffffff008de6aec: 7f2303d5  pacibsp	
0xfffffff008de6af0: ff4301d1  sub	sp, sp, #0x50
0xfffffff008de6af4: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008de6af8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008de6afc: fd030191  add	x29, sp, #0x40
0xfffffff008de6b00: f40300aa  mov	x20, x0
0xfffffff008de6b04: 8cc0d597  bl	#0xfffffff008356d34
0xfffffff008de6b08: f30300aa  mov	x19, x0
0xfffffff008de6b0c: 400100b4  cbz	x0, #0xfffffff008de6b34
0xfffffff008de6b10: c8a800b0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008de6b14: 091546f9  ldr	x9, [x8, #0xc28]
0xfffffff008de6b18: 2901148b  add	x9, x9, x20
0xfffffff008de6b1c: 091506f9  str	x9, [x8, #0xc28]
0xfffffff008de6b20: e00313aa  mov	x0, x19
0xfffffff008de6b24: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008de6b28: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008de6b2c: ff430191  add	sp, sp, #0x50
0xfffffff008de6b30: ff0f5fd6  retab	
0xfffffff008de6b34: 28068052  mov	w8, #0x31
0xfffffff008de6b38: e92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008de6b3c: 29ed2991  add	x9, x9, #0xa7b
0xfffffff008de6b40: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de6b44: e82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de6b48: 08493991  add	x8, x8, #0xe52
0xfffffff008de6b4c: ea2eff90  adrp	x10, #0xfffffff0073c2000
0xfffffff008de6b50: 4add2991  add	x10, x10, #0xa77
0xfffffff008de6b54: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de6b58: ea0300f9  str	x10, [sp]
0xfffffff008de6b5c: e02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de6b60: 00543891  add	x0, x0, #0xe15
0xfffffff008de6b64: 2fc1d597  bl	#0xfffffff008357020
0xfffffff008de6b68: eeffff17  b	#0xfffffff008de6b20
0xfffffff008de6b6c: 7f2303d5  pacibsp	
0xfffffff008de6b70: ff4301d1  sub	sp, sp, #0x50
0xfffffff008de6b74: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008de6b78: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008de6b7c: fd030191  add	x29, sp, #0x40
0xfffffff008de6b80: 800100b4  cbz	x0, #0xfffffff008de6bb0
0xfffffff008de6b84: f30301aa  mov	x19, x1
0xfffffff008de6b88: 7ec0d597  bl	#0xfffffff008356d80
0xfffffff008de6b8c: d4a800b0  adrp	x20, #0xfffffff00a2ff000
0xfffffff008de6b90: 881646f9  ldr	x8, [x20, #0xc28]
0xfffffff008de6b94: 080113eb  subs	x8, x8, x19
0xfffffff008de6b98: 83020054  b.lo	#0xfffffff008de6be8
0xfffffff008de6b9c: 881606f9  str	x8, [x20, #0xc28]
0xfffffff008de6ba0: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008de6ba4: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008de6ba8: ff430191  add	sp, sp, #0x50
0xfffffff008de6bac: ff0f5fd6  retab	
0xfffffff008de6bb0: 08078052  mov	w8, #0x38
0xfffffff008de6bb4: e92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008de6bb8: 29ed2991  add	x9, x9, #0xa7b
0xfffffff008de6bbc: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de6bc0: e82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de6bc4: 08493991  add	x8, x8, #0xe52
0xfffffff008de6bc8: ea2eff90  adrp	x10, #0xfffffff0073c2000
0xfffffff008de6bcc: 4add2991  add	x10, x10, #0xa77
0xfffffff008de6bd0: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de6bd4: ea0300f9  str	x10, [sp]
0xfffffff008de6bd8: e02effd0  adrp	x0, #0xfffffff0073c4000
