; Candidate 3088
; ADRP+ADD at VM 0xfffffff008710760 (fileoff 0x170c760): page=0x1fea21000 add_imm=0xd90

0xfffffff0087106e0: 635c1491  add	x3, x3, #0x517
0xfffffff0087106e4: 02008052  mov	w2, #0
0xfffffff0087106e8: 928af097  bl	#0xfffffff008333130
0xfffffff0087106ec: 18000014  b	#0xfffffff00871074c
0xfffffff0087106f0: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0087106f4: 08491591  add	x8, x8, #0x552
0xfffffff0087106f8: e87300a9  stp	x8, x28, [sp]
0xfffffff0087106fc: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710700: 00403691  add	x0, x0, #0xd90
0xfffffff008710704: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008710708: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871070c: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff008710710: 63e41491  add	x3, x3, #0x539
0xfffffff008710714: 02008052  mov	w2, #0
0xfffffff008710718: 868af097  bl	#0xfffffff008333130
0xfffffff00871071c: 0c000014  b	#0xfffffff00871074c
0xfffffff008710720: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff008710724: 08491591  add	x8, x8, #0x552
0xfffffff008710728: e87300a9  stp	x8, x28, [sp]
0xfffffff00871072c: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710730: 00403691  add	x0, x0, #0xd90
0xfffffff008710734: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008710738: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871073c: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff008710740: 636c1591  add	x3, x3, #0x55b
0xfffffff008710744: 02008052  mov	w2, #0
0xfffffff008710748: 7a8af097  bl	#0xfffffff008333130
0xfffffff00871074c: c8268052  mov	w8, #0x136
0xfffffff008710750: 0d000014  b	#0xfffffff008710784
0xfffffff008710754: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff008710758: 08491591  add	x8, x8, #0x552
0xfffffff00871075c: e80300f9  str	x8, [sp]
0xfffffff008710760: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710764: 00403691  add	x0, x0, #0xd90
0xfffffff008710768: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871076c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008710770: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff008710774: 63801391  add	x3, x3, #0x4e0
0xfffffff008710778: 02008052  mov	w2, #0
0xfffffff00871077c: 6d8af097  bl	#0xfffffff008333130
0xfffffff008710780: 28268052  mov	w8, #0x131
0xfffffff008710784: f46340f9  ldr	x20, [sp, #0xc0]
0xfffffff008710788: 6ff9ff17  b	#0xfffffff00870ed44
0xfffffff00871078c: ce008052  mov	w14, #6
0xfffffff008710790: efdb40f9  ldr	x15, [sp, #0x1b0]
0xfffffff008710794: ef4d40b9  ldr	w15, [x15, #0x4c]
0xfffffff008710798: ebb704a9  stp	x11, x13, [sp, #0x48]
0xfffffff00871079c: eeab03a9  stp	x14, x10, [sp, #0x38]
0xfffffff0087107a0: ec8302a9  stp	x12, x0, [sp, #0x28]
0xfffffff0087107a4: e9bf01a9  stp	x9, x15, [sp, #0x18]
0xfffffff0087107a8: e2a300a9  stp	x2, x8, [sp, #8]
0xfffffff0087107ac: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff0087107b0: 63442f91  add	x3, x3, #0xbd1
0xfffffff0087107b4: e10300f9  str	x1, [sp]
0xfffffff0087107b8: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087107bc: 00403691  add	x0, x0, #0xd90
0xfffffff0087107c0: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087107c4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087107c8: 02008052  mov	w2, #0
0xfffffff0087107cc: 598af097  bl	#0xfffffff008333130
0xfffffff0087107d0: 5cf9ff17  b	#0xfffffff00870ed40
0xfffffff0087107d4: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0087107d8: 08491591  add	x8, x8, #0x552
0xfffffff0087107dc: e80300f9  str	x8, [sp]
