; Candidate 3734
; ADRP+ADD at VM 0xfffffff0087562d4 (fileoff 0x17522d4): page=0x1fe9db000 add_imm=0xd90

0xfffffff008756254: 1f090072  tst	w8, #7
0xfffffff008756258: 00010054  b.eq	#0xfffffff008756278
0xfffffff00875625c: 16008052  mov	w22, #0
0xfffffff008756260: 081d0011  add	w8, w8, #7
0xfffffff008756264: 08711d12  and	w8, w8, #0xfffffff8
0xfffffff008756268: e80200b9  str	w8, [x23]
0xfffffff00875626c: 04000014  b	#0xfffffff00875627c
0xfffffff008756270: 16090012  and	w22, w8, #7
0xfffffff008756274: 02000014  b	#0xfffffff00875627c
0xfffffff008756278: 16008052  mov	w22, #0
0xfffffff00875627c: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff008756280: 08b0a552  mov	w8, #0x2d800000
0xfffffff008756284: c80a1133  bfi	w8, w22, #0xf, #3
0xfffffff008756288: 689e03b9  str	w8, [x19, #0x39c]
0xfffffff00875628c: 750c40f9  ldr	x21, [x3, #0x18]
0xfffffff008756290: b4b24bb9  ldr	w20, [x21, #0xbb0]
0xfffffff008756294: bf831af8  stur	xzr, [x29, #-0x58]
0xfffffff008756298: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff00875629c: a26301d1  sub	x2, x29, #0x58
0xfffffff0087562a0: e3830191  add	x3, sp, #0x60
0xfffffff0087562a4: e00315aa  mov	x0, x21
0xfffffff0087562a8: 13800194  bl	#0xfffffff0087b62f4
0xfffffff0087562ac: a0020034  cbz	w0, #0xfffffff008756300
0xfffffff0087562b0: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0087562b4: 180940f9  ldr	x24, [x8, #0x10]
0xfffffff0087562b8: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff0087562bc: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff0087562c0: c90100b4  cbz	x9, #0xfffffff0087562f8
0xfffffff0087562c4: 88c88052  mov	w8, #0x644
0xfffffff0087562c8: e94fffb0  adrp	x9, #0xfffffff007153000
0xfffffff0087562cc: 29593f91  add	x9, x9, #0xfd6
0xfffffff0087562d0: e92300a9  stp	x9, x8, [sp]
0xfffffff0087562d4: c04efff0  adrp	x0, #0xfffffff007131000
0xfffffff0087562d8: 00403691  add	x0, x0, #0xd90
0xfffffff0087562dc: 2195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087562e0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087562e4: 434ffff0  adrp	x3, #0xfffffff007141000
0xfffffff0087562e8: 63e80f91  add	x3, x3, #0x3fa
0xfffffff0087562ec: 02008052  mov	w2, #0
0xfffffff0087562f0: 9073ef97  bl	#0xfffffff008333130
0xfffffff0087562f4: e86340b9  ldr	w8, [sp, #0x60]
0xfffffff0087562f8: 084328ab  adds	x8, x24, w8, uxtw
0xfffffff0087562fc: 43010054  b.lo	#0xfffffff008756324
0xfffffff008756300: 00008012  mov	w0, #-1
0xfffffff008756304: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff008756308: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff00875630c: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff008756310: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff008756314: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff008756318: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff00875631c: ff430391  add	sp, sp, #0xd0
0xfffffff008756320: ff0f5fd6  retab	
0xfffffff008756324: 68a603b9  str	w8, [x19, #0x3a4]
0xfffffff008756328: 08c18052  mov	w8, #0x608
0xfffffff00875632c: 4867089b  madd	x8, x26, x8, x25
0xfffffff008756330: 081140b9  ldr	w8, [x8, #0x10]
0xfffffff008756334: e90240b9  ldr	w9, [x23]
0xfffffff008756338: 080d494b  sub	w8, w8, w9, lsr #3
0xfffffff00875633c: 68aa03b9  str	w8, [x19, #0x3a8]
0xfffffff008756340: a9224bb9  ldr	w9, [x21, #0xb20]
0xfffffff008756344: e9010034  cbz	w9, #0xfffffff008756380
0xfffffff008756348: 7fb203b9  str	wzr, [x19, #0x3b0]
0xfffffff00875634c: aa5e4bb9  ldr	w10, [x21, #0xb5c]
0xfffffff008756350: 09c18052  mov	w9, #0x608
