; Candidate 9965
; ADRP+ADD at VM 0xfffffff008bd51b4 (fileoff 0x1bd11b4): page=0x1fe760000 add_imm=0xe0d

0xfffffff008bd5134: ffc301d1  sub	sp, sp, #0x70
0xfffffff008bd5138: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008bd513c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008bd5140: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008bd5144: fd830191  add	x29, sp, #0x60
0xfffffff008bd5148: f30301aa  mov	x19, x1
0xfffffff008bd514c: f40300aa  mov	x20, x0
0xfffffff008bd5150: bfe31d78  sturh	wzr, [x29, #-0x22]
0xfffffff008bd5154: a28b00d1  sub	x2, x29, #0x22
0xfffffff008bd5158: c1010034  cbz	w1, #0xfffffff008bd5190
0xfffffff008bd515c: 01038052  mov	w1, #0x18
0xfffffff008bd5160: 90feff97  bl	#0xfffffff008bd4ba0
0xfffffff008bd5164: f50300aa  mov	x21, x0
0xfffffff008bd5168: e0020034  cbz	w0, #0xfffffff008bd51c4
0xfffffff008bd516c: 083bff90  adrp	x8, #0xfffffff007335000
0xfffffff008bd5170: 08053891  add	x8, x8, #0xe01
0xfffffff008bd5174: 498b8052  mov	w9, #0x45a
0xfffffff008bd5178: e9d700a9  stp	x9, x21, [sp, #8]
0xfffffff008bd517c: e80300f9  str	x8, [sp]
0xfffffff008bd5180: 003bff90  adrp	x0, #0xfffffff007335000
0xfffffff008bd5184: 003c3791  add	x0, x0, #0xdcf
0xfffffff008bd5188: a607de97  bl	#0xfffffff008357020
0xfffffff008bd518c: 18000014  b	#0xfffffff008bd51ec
0xfffffff008bd5190: 21038052  mov	w1, #0x19
0xfffffff008bd5194: 83feff97  bl	#0xfffffff008bd4ba0
0xfffffff008bd5198: f50300aa  mov	x21, x0
0xfffffff008bd519c: 80020034  cbz	w0, #0xfffffff008bd51ec
0xfffffff008bd51a0: 083bff90  adrp	x8, #0xfffffff007335000
0xfffffff008bd51a4: 08053891  add	x8, x8, #0xe01
0xfffffff008bd51a8: e98c8052  mov	w9, #0x467
0xfffffff008bd51ac: e9d700a9  stp	x9, x21, [sp, #8]
0xfffffff008bd51b0: e80300f9  str	x8, [sp]
0xfffffff008bd51b4: 003bff90  adrp	x0, #0xfffffff007335000
0xfffffff008bd51b8: 00343891  add	x0, x0, #0xe0d
0xfffffff008bd51bc: 9907de97  bl	#0xfffffff008357020
0xfffffff008bd51c0: 0b000014  b	#0xfffffff008bd51ec
0xfffffff008bd51c4: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff008bd51c8: ff2f00b9  str	wzr, [sp, #0x2c]
0xfffffff008bd51cc: e0c30091  add	x0, sp, #0x30
0xfffffff008bd51d0: e1b30091  add	x1, sp, #0x2c
0xfffffff008bd51d4: eddec697  bl	#0xfffffff007d8cd88
0xfffffff008bd51d8: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff008bd51dc: 896a40f9  ldr	x9, [x20, #0xd0]
0xfffffff008bd51e0: 280500f9  str	x8, [x9, #8]
0xfffffff008bd51e4: e82f40b9  ldr	w8, [sp, #0x2c]
0xfffffff008bd51e8: 281100b9  str	w8, [x9, #0x10]
0xfffffff008bd51ec: 88424539  ldrb	w8, [x20, #0x150]
0xfffffff008bd51f0: a8010836  tbz	w8, #1, #0xfffffff008bd5224
0xfffffff008bd51f4: 80b80090  adrp	x0, #0xfffffff00a2e5000
0xfffffff008bd51f8: 00200f91  add	x0, x0, #0x3c8
0xfffffff008bd51fc: d73ddc97  bl	#0xfffffff0082e4958
0xfffffff008bd5200: e80315aa  mov	x8, x21
0xfffffff008bd5204: e903132a  mov	w9, w19
0xfffffff008bd5208: 0a3bff90  adrp	x10, #0xfffffff007335000
0xfffffff008bd520c: 4a053891  add	x10, x10, #0xe01
0xfffffff008bd5210: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008bd5214: e02b00a9  stp	x0, x10, [sp]
0xfffffff008bd5218: 003bff90  adrp	x0, #0xfffffff007335000
0xfffffff008bd521c: 00003991  add	x0, x0, #0xe40
0xfffffff008bd5220: 8007de97  bl	#0xfffffff008357020
0xfffffff008bd5224: e00315aa  mov	x0, x21
0xfffffff008bd5228: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008bd522c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008bd5230: f65744a9  ldp	x22, x21, [sp, #0x40]
