; Candidate 9585
; ADRP+ADD at VM 0xfffffff008a7a5b8 (fileoff 0x1a765b8): page=0x1865000 add_imm=0xdc8

0xfffffff008a7a538: dc030034  cbz	w28, #0xfffffff008a7a5b0
0xfffffff008a7a53c: e003182a  mov	w0, w24
0xfffffff008a7a540: 01048052  mov	w1, #0x20
0xfffffff008a7a544: 6a93e297  bl	#0xfffffff00831f2ec
0xfffffff008a7a548: fa0300aa  mov	x26, x0
0xfffffff008a7a54c: 900240f9  ldr	x16, [x20]
0xfffffff008a7a550: f10314aa  mov	x17, x20
0xfffffff008a7a554: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7a558: 301ac1da  autda	x16, x17
0xfffffff008a7a55c: 112080d2  mov	x17, #0x100
0xfffffff008a7a560: 1002118b  add	x16, x16, x17
0xfffffff008a7a564: 080240f9  ldr	x8, [x16]
0xfffffff008a7a568: e90310aa  mov	x9, x16
0xfffffff008a7a56c: c141ff90  adrp	x1, #0xfffffff0072b2000
0xfffffff008a7a570: 21940791  add	x1, x1, #0x1e5
0xfffffff008a7a574: e00314aa  mov	x0, x20
0xfffffff008a7a578: e2031aaa  mov	x2, x26
0xfffffff008a7a57c: f10309aa  mov	x17, x9
0xfffffff008a7a580: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff008a7a584: 11093fd7  blraa	x8, x17
0xfffffff008a7a588: 500340f9  ldr	x16, [x26]
0xfffffff008a7a58c: f1031aaa  mov	x17, x26
0xfffffff008a7a590: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7a594: 301ac1da  autda	x16, x17
0xfffffff008a7a598: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008a7a59c: e90310aa  mov	x9, x16
0xfffffff008a7a5a0: e0031aaa  mov	x0, x26
0xfffffff008a7a5a4: f10309aa  mov	x17, x9
0xfffffff008a7a5a8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008a7a5ac: 11093fd7  blraa	x8, x17
0xfffffff008a7a5b0: f66b40b9  ldr	w22, [sp, #0x68]
0xfffffff008a7a5b4: b7c358b8  ldur	w23, [x29, #-0x74]
0xfffffff008a7a5b8: 20c300b0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a7a5bc: 00203791  add	x0, x0, #0xdc8
0xfffffff008a7a5c0: e6a8e197  bl	#0xfffffff0082e4958
0xfffffff008a7a5c4: fa0300aa  mov	x26, x0
0xfffffff008a7a5c8: 700240f9  ldr	x16, [x19]
0xfffffff008a7a5cc: f10313aa  mov	x17, x19
0xfffffff008a7a5d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7a5d4: 301ac1da  autda	x16, x17
0xfffffff008a7a5d8: 116e80d2  mov	x17, #0x370
0xfffffff008a7a5dc: 1002118b  add	x16, x16, x17
0xfffffff008a7a5e0: 080240f9  ldr	x8, [x16]
0xfffffff008a7a5e4: e90310aa  mov	x9, x16
0xfffffff008a7a5e8: e00313aa  mov	x0, x19
0xfffffff008a7a5ec: f10309aa  mov	x17, x9
0xfffffff008a7a5f0: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a7a5f4: 11093fd7  blraa	x8, x17
0xfffffff008a7a5f8: 400300b4  cbz	x0, #0xfffffff008a7a660
0xfffffff008a7a5fc: 700240f9  ldr	x16, [x19]
0xfffffff008a7a600: f10313aa  mov	x17, x19
0xfffffff008a7a604: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7a608: 301ac1da  autda	x16, x17
0xfffffff008a7a60c: 116e80d2  mov	x17, #0x370
0xfffffff008a7a610: 1002118b  add	x16, x16, x17
0xfffffff008a7a614: 080240f9  ldr	x8, [x16]
0xfffffff008a7a618: e90310aa  mov	x9, x16
0xfffffff008a7a61c: e00313aa  mov	x0, x19
0xfffffff008a7a620: f10309aa  mov	x17, x9
0xfffffff008a7a624: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a7a628: 11093fd7  blraa	x8, x17
0xfffffff008a7a62c: 100040f9  ldr	x16, [x0]
0xfffffff008a7a630: f10300aa  mov	x17, x0
0xfffffff008a7a634: 31b4f9f2  movk	x17, #0xcda1, lsl #48
