; Candidate 6438
; ADRP+ADD at VM 0xfffffff00882b438 (fileoff 0x1827438): page=0x1fe9be000 add_imm=0xe80

0xfffffff00882b3b8: 08290591  add	x8, x8, #0x14a
0xfffffff00882b3bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882b3c0: a80a8052  mov	w8, #0x55
0xfffffff00882b3c4: f42300a9  stp	x20, x8, [sp]
0xfffffff00882b3c8: e04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882b3cc: 00003a91  add	x0, x0, #0xe80
0xfffffff00882b3d0: e18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00882b3d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882b3d8: 0351ffb0  adrp	x3, #0xfffffff00724c000
0xfffffff00882b3dc: 63380d91  add	x3, x3, #0x34e
0xfffffff00882b3e0: 02008052  mov	w2, #0
0xfffffff00882b3e4: 531fec97  bl	#0xfffffff008333130
0xfffffff00882b3e8: 147d8012  mov	w20, #-0x3e9
0xfffffff00882b3ec: 51000014  b	#0xfffffff00882b530
0xfffffff00882b3f0: 6f230294  bl	#0xfffffff0088b41ac
0xfffffff00882b3f4: f60300aa  mov	x22, x0
0xfffffff00882b3f8: a0008052  mov	w0, #5
0xfffffff00882b3fc: 15410194  bl	#0xfffffff00887b850
0xfffffff00882b400: ab0a40b9  ldr	w11, [x21, #8]
0xfffffff00882b404: a9c35cb8  ldur	w9, [x29, #-0x34]
0xfffffff00882b408: aa1e40b9  ldr	w10, [x21, #0x1c]
0xfffffff00882b40c: e9ab03a9  stp	x9, x10, [sp, #0x38]
0xfffffff00882b410: 48248052  mov	w8, #0x122
0xfffffff00882b414: a94ffff0  adrp	x9, #0xfffffff007222000
0xfffffff00882b418: 29290591  add	x9, x9, #0x14a
0xfffffff00882b41c: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff00882b420: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882b424: 081d0d91  add	x8, x8, #0x347
0xfffffff00882b428: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00882b42c: a80a8052  mov	w8, #0x55
0xfffffff00882b430: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00882b434: f60300f9  str	x22, [sp]
0xfffffff00882b438: e04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882b43c: 00003a91  add	x0, x0, #0xe80
0xfffffff00882b440: e18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00882b444: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882b448: 0351ffb0  adrp	x3, #0xfffffff00724c000
0xfffffff00882b44c: 63000e91  add	x3, x3, #0x380
0xfffffff00882b450: 02008052  mov	w2, #0
0xfffffff00882b454: 371fec97  bl	#0xfffffff008333130
0xfffffff00882b458: a00a8052  mov	w0, #0x55
0xfffffff00882b45c: c1008052  mov	w1, #6
0xfffffff00882b460: dc400194  bl	#0xfffffff00887b7d0
0xfffffff00882b464: 60060034  cbz	w0, #0xfffffff00882b530
0xfffffff00882b468: a00a8052  mov	w0, #0x55
0xfffffff00882b46c: eb400194  bl	#0xfffffff00887b818
0xfffffff00882b470: f70300aa  mov	x23, x0
0xfffffff00882b474: 4e230294  bl	#0xfffffff0088b41ac
0xfffffff00882b478: f60300aa  mov	x22, x0
0xfffffff00882b47c: c0008052  mov	w0, #6
0xfffffff00882b480: f4400194  bl	#0xfffffff00887b850
0xfffffff00882b484: 57020034  cbz	w23, #0xfffffff00882b4cc
0xfffffff00882b488: a8c35cb8  ldur	w8, [x29, #-0x34]
0xfffffff00882b48c: a91e40b9  ldr	w9, [x21, #0x1c]
0xfffffff00882b490: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff00882b494: e8248052  mov	w8, #0x127
0xfffffff00882b498: a94ffff0  adrp	x9, #0xfffffff007222000
0xfffffff00882b49c: 29290591  add	x9, x9, #0x14a
0xfffffff00882b4a0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00882b4a4: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882b4a8: 081d0d91  add	x8, x8, #0x347
0xfffffff00882b4ac: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00882b4b0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00882b4b4: a80a8052  mov	w8, #0x55
