; Candidate 10772
; ADRP+ADD at VM 0xfffffff008de61f4 (fileoff 0x1de21f4): page=0x1fe5de000 add_imm=0xd54

0xfffffff008de6174: e12340f9  ldr	x1, [sp, #0x40]
0xfffffff008de6178: e0430191  add	x0, sp, #0x50
0xfffffff008de617c: e2e30091  add	x2, sp, #0x38
0xfffffff008de6180: e3c30091  add	x3, sp, #0x30
0xfffffff008de6184: e4bf0091  add	x4, sp, #0x2f
0xfffffff008de6188: 981c0094  bl	#0xfffffff008ded3e8
0xfffffff008de618c: e00b0035  cbnz	w0, #0xfffffff008de6308
0xfffffff008de6190: 880240f9  ldr	x8, [x20]
0xfffffff008de6194: e21b40f9  ldr	x2, [sp, #0x30]
0xfffffff008de6198: 1f0102eb  cmp	x8, x2
0xfffffff008de619c: 630d0054  b.lo	#0xfffffff008de6348
0xfffffff008de61a0: e11f40f9  ldr	x1, [sp, #0x38]
0xfffffff008de61a4: 010f00b4  cbz	x1, #0xfffffff008de6384
0xfffffff008de61a8: e00315aa  mov	x0, x21
0xfffffff008de61ac: f999bd97  bl	#0xfffffff007d4c990
0xfffffff008de61b0: 16008052  mov	w22, #0
0xfffffff008de61b4: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff008de61b8: 880200f9  str	x8, [x20]
0xfffffff008de61bc: e8bf4039  ldrb	w8, [sp, #0x2f]
0xfffffff008de61c0: 68020039  strb	w8, [x19]
0xfffffff008de61c4: 48018052  mov	w8, #0xa
0xfffffff008de61c8: 69034039  ldrb	w9, [x27]
0xfffffff008de61cc: 1f01096b  cmp	w8, w9
0xfffffff008de61d0: 83010054  b.lo	#0xfffffff008de6200
0xfffffff008de61d4: e80316aa  mov	x8, x22
0xfffffff008de61d8: 087d4093  sxtw	x8, w8
0xfffffff008de61dc: e92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008de61e0: 2a051c91  add	x10, x9, #0x701
0xfffffff008de61e4: c92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de61e8: 299d0c91  add	x9, x9, #0x327
0xfffffff008de61ec: e92b00a9  stp	x9, x10, [sp]
0xfffffff008de61f0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de61f4: e02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de61f8: 00503591  add	x0, x0, #0xd54
0xfffffff008de61fc: 89c3d597  bl	#0xfffffff008357020
0xfffffff008de6200: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff008de6204: 4968ffd0  adrp	x9, #0xfffffff007af0000
0xfffffff008de6208: 296946f9  ldr	x9, [x9, #0xcd0]
0xfffffff008de620c: 290140f9  ldr	x9, [x9]
0xfffffff008de6210: 3f0108eb  cmp	x9, x8
0xfffffff008de6214: 810f0054  b.ne	#0xfffffff008de6404
0xfffffff008de6218: e00316aa  mov	x0, x22
0xfffffff008de621c: fd7b59a9  ldp	x29, x30, [sp, #0x190]
0xfffffff008de6220: f44f58a9  ldp	x20, x19, [sp, #0x180]
0xfffffff008de6224: f65757a9  ldp	x22, x21, [sp, #0x170]
0xfffffff008de6228: f85f56a9  ldp	x24, x23, [sp, #0x160]
0xfffffff008de622c: fa6755a9  ldp	x26, x25, [sp, #0x150]
0xfffffff008de6230: fc6f54a9  ldp	x28, x27, [sp, #0x140]
0xfffffff008de6234: ff830691  add	sp, sp, #0x1a0
0xfffffff008de6238: ff0f5fd6  retab	
0xfffffff008de623c: 88058152  mov	w8, #0x82c
0xfffffff008de6240: c92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de6244: 29490d91  add	x9, x9, #0x352
0xfffffff008de6248: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de624c: e82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de6250: 08493991  add	x8, x8, #0xe52
0xfffffff008de6254: ca2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de6258: 4add1491  add	x10, x10, #0x537
0xfffffff008de625c: 62000014  b	#0xfffffff008de63e4
0xfffffff008de6260: a8058152  mov	w8, #0x82d
0xfffffff008de6264: c92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de6268: 29490d91  add	x9, x9, #0x352
0xfffffff008de626c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de6270: e82effd0  adrp	x8, #0xfffffff0073c4000
