; Candidate 16375
; ADRP+ADD at VM 0xfffffff009e7751c (fileoff 0x2e7351c): page=0x1fd9ba000 add_imm=0xeba

0xfffffff009e7749c: 730240f9  ldr	x19, [x19]
0xfffffff009e774a0: 530400b4  cbz	x19, #0xfffffff009e77528
0xfffffff009e774a4: 60220091  add	x0, x19, #8
0xfffffff009e774a8: e10314aa  mov	x1, x20
0xfffffff009e774ac: 9fed9297  bl	#0xfffffff008332b28
0xfffffff009e774b0: 60ffff35  cbnz	w0, #0xfffffff009e7749c
0xfffffff009e774b4: e82a00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e774b8: 08411891  add	x8, x8, #0x610
0xfffffff009e774bc: 090140f9  ldr	x9, [x8]
0xfffffff009e774c0: 3f0113eb  cmp	x9, x19
0xfffffff009e774c4: 80000054  b.eq	#0xfffffff009e774d4
0xfffffff009e774c8: e80309aa  mov	x8, x9
0xfffffff009e774cc: 290140f9  ldr	x9, [x9]
0xfffffff009e774d0: fcffff17  b	#0xfffffff009e774c0
0xfffffff009e774d4: 690240f9  ldr	x9, [x19]
0xfffffff009e774d8: 090100f9  str	x9, [x8]
0xfffffff009e774dc: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff009e774e0: a32f8397  bl	#0xfffffff007f4336c
0xfffffff009e774e4: e0f5fef0  adrp	x0, #0xfffffff007d36000
0xfffffff009e774e8: 00601791  add	x0, x0, #0x5d8
0xfffffff009e774ec: e10313aa  mov	x1, x19
0xfffffff009e774f0: 877c9397  bl	#0xfffffff00835670c
0xfffffff009e774f4: e82a00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e774f8: 08212a91  add	x8, x8, #0xa88
0xfffffff009e774fc: e9048092  mov	x9, #-0x28
0xfffffff009e77500: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009e77504: e8830091  add	x8, sp, #0x20
0xfffffff009e77508: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e7750c: c8cdfed0  adrp	x8, #0xfffffff007831000
0xfffffff009e77510: 08713b91  add	x8, x8, #0xedc
0xfffffff009e77514: 09628652  mov	w9, #0x3310
0xfffffff009e77518: e82700a9  stp	x8, x9, [sp]
0xfffffff009e7751c: c0cdfed0  adrp	x0, #0xfffffff007831000
0xfffffff009e77520: 00e83a91  add	x0, x0, #0xeba
0xfffffff009e77524: c7200094  bl	#0xfffffff009e7f840
0xfffffff009e77528: e82a00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e7752c: 000143f9  ldr	x0, [x8, #0x600]
0xfffffff009e77530: 83d47c97  bl	#0xfffffff007dac73c
0xfffffff009e77534: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff009e77538: a9f5fef0  adrp	x9, #0xfffffff007d2e000
0xfffffff009e7753c: 29d147f9  ldr	x9, [x9, #0xfa0]
0xfffffff009e77540: 290140f9  ldr	x9, [x9]
0xfffffff009e77544: 3f0108eb  cmp	x9, x8
0xfffffff009e77548: a1000054  b.ne	#0xfffffff009e7755c
0xfffffff009e7754c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009e77550: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009e77554: ffc30191  add	sp, sp, #0x70
0xfffffff009e77558: ff0f5fd6  retab	
0xfffffff009e7755c: 3c9a7b97  bl	#0xfffffff007d5de4c
0xfffffff009e77560: 7f2303d5  pacibsp	
0xfffffff009e77564: ffc300d1  sub	sp, sp, #0x30
0xfffffff009e77568: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009e7756c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009e77570: fd830091  add	x29, sp, #0x20
0xfffffff009e77574: e80306aa  mov	x8, x6
0xfffffff009e77578: e60305aa  mov	x6, x5
0xfffffff009e7757c: e90301aa  mov	x9, x1
0xfffffff009e77580: f30300aa  mov	x19, x0
0xfffffff009e77584: aaf5fef0  adrp	x10, #0xfffffff007d2e000
0xfffffff009e77588: 4ac547f9  ldr	x10, [x10, #0xf88]
0xfffffff009e7758c: 020c0da9  stp	x2, x3, [x0, #0xd0]
0xfffffff009e77590: 4be11791  add	x11, x10, #0x5f8
0xfffffff009e77594: 4afd42f9  ldr	x10, [x10, #0x5f8]
0xfffffff009e77598: 6c0042b2  orr	x12, x3, #0x4000000000000000
