; Candidate 14208
; ADRP+ADD at VM 0xfffffff00974dfe8 (fileoff 0x2749fe8): page=0xc3e000 add_imm=0xd58

0xfffffff00974df68: 37faff97  bl	#0xfffffff00974c844
0xfffffff00974df6c: 00008052  mov	w0, #0
0xfffffff00974df70: 03000014  b	#0xfffffff00974df7c
0xfffffff00974df74: 005b8052  mov	w0, #0x2d8
0xfffffff00974df78: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff00974df7c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00974df80: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00974df84: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00974df88: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff00974df8c: ff0f5fd6  retab	
0xfffffff00974df90: 7f2303d5  pacibsp	
0xfffffff00974df94: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff00974df98: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00974df9c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00974dfa0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00974dfa4: fdc30091  add	x29, sp, #0x30
0xfffffff00974dfa8: f40302aa  mov	x20, x2
0xfffffff00974dfac: f50301aa  mov	x21, x1
0xfffffff00974dfb0: f30300aa  mov	x19, x0
0xfffffff00974dfb4: 100040f9  ldr	x16, [x0]
0xfffffff00974dfb8: f10300aa  mov	x17, x0
0xfffffff00974dfbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974dfc0: 301ac1da  autda	x16, x17
0xfffffff00974dfc4: 11a880d2  mov	x17, #0x540
0xfffffff00974dfc8: 1002118b  add	x16, x16, x17
0xfffffff00974dfcc: 080240f9  ldr	x8, [x16]
0xfffffff00974dfd0: e90310aa  mov	x9, x16
0xfffffff00974dfd4: f10309aa  mov	x17, x9
0xfffffff00974dfd8: 5188f3f2  movk	x17, #0x9c42, lsl #48
0xfffffff00974dfdc: 11093fd7  blraa	x8, x17
0xfffffff00974dfe0: a00400b4  cbz	x0, #0xfffffff00974e074
0xfffffff00974dfe4: f60300aa  mov	x22, x0
0xfffffff00974dfe8: e06100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff00974dfec: 00603591  add	x0, x0, #0xd58
0xfffffff00974dff0: 5a5aae97  bl	#0xfffffff0082e4958
0xfffffff00974dff4: f70300aa  mov	x23, x0
0xfffffff00974dff8: d00240f9  ldr	x16, [x22]
0xfffffff00974dffc: f10316aa  mov	x17, x22
0xfffffff00974e000: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974e004: 301ac1da  autda	x16, x17
0xfffffff00974e008: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974e00c: e90310aa  mov	x9, x16
0xfffffff00974e010: e00316aa  mov	x0, x22
0xfffffff00974e014: f10309aa  mov	x17, x9
0xfffffff00974e018: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974e01c: 11093fd7  blraa	x8, x17
0xfffffff00974e020: f80300aa  mov	x24, x0
0xfffffff00974e024: 700240f9  ldr	x16, [x19]
0xfffffff00974e028: f10313aa  mov	x17, x19
0xfffffff00974e02c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974e030: 301ac1da  autda	x16, x17
0xfffffff00974e034: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974e038: e90310aa  mov	x9, x16
0xfffffff00974e03c: e00313aa  mov	x0, x19
0xfffffff00974e040: f10309aa  mov	x17, x9
0xfffffff00974e044: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974e048: 11093fd7  blraa	x8, x17
0xfffffff00974e04c: e50300aa  mov	x5, x0
0xfffffff00974e050: 043f0012  and	w4, w24, #0xffff
0xfffffff00974e054: 42f2feb0  adrp	x2, #0xfffffff007597000
0xfffffff00974e058: 424c3991  add	x2, x2, #0xe53
0xfffffff00974e05c: e00316aa  mov	x0, x22
0xfffffff00974e060: e10317aa  mov	x1, x23
0xfffffff00974e064: 633b8052  mov	w3, #0x1db
