; Candidate 12911
; ADRP+ADD at VM 0xfffffff009184dd4 (fileoff 0x2180dd4): page=0x1fe30f000 add_imm=0xd7e

0xfffffff009184d54: fadb00a9  stp	x26, x22, [sp, #8]
0xfffffff009184d58: fb0300f9  str	x27, [sp]
0xfffffff009184d5c: 8018ff90  adrp	x0, #0xfffffff007494000
0xfffffff009184d60: 00c80791  add	x0, x0, #0x1f2
0xfffffff009184d64: af48c797  bl	#0xfffffff008357020
0xfffffff009184d68: ffc30091  add	sp, sp, #0x30
0xfffffff009184d6c: 9f030091  mov	sp, x28
0xfffffff009184d70: 7f0200f1  cmp	x19, #0
0xfffffff009184d74: e0079f1a  cset	w0, ne
0xfffffff009184d78: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff009184d7c: 294fffb0  adrp	x9, #0xfffffff007b69000
0xfffffff009184d80: 29d944f9  ldr	x9, [x9, #0x9b0]
0xfffffff009184d84: 290140f9  ldr	x9, [x9]
0xfffffff009184d88: 3f0108eb  cmp	x9, x8
0xfffffff009184d8c: 21010054  b.ne	#0xfffffff009184db0
0xfffffff009184d90: bf4301d1  sub	sp, x29, #0x50
0xfffffff009184d94: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009184d98: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009184d9c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009184da0: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff009184da4: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff009184da8: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff009184dac: ff0f5fd6  retab	
0xfffffff009184db0: 2764af97  bl	#0xfffffff007d5de4c
0xfffffff009184db4: 7f2303d5  pacibsp	
0xfffffff009184db8: ff8300d1  sub	sp, sp, #0x20
0xfffffff009184dbc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009184dc0: fd430091  add	x29, sp, #0x10
0xfffffff009184dc4: 6818fff0  adrp	x8, #0xfffffff007493000
0xfffffff009184dc8: 08213791  add	x8, x8, #0xdc8
0xfffffff009184dcc: 695c8052  mov	w9, #0x2e3
0xfffffff009184dd0: e82700a9  stp	x8, x9, [sp]
0xfffffff009184dd4: 6018fff0  adrp	x0, #0xfffffff007493000
0xfffffff009184dd8: 00f83591  add	x0, x0, #0xd7e
0xfffffff009184ddc: cc3dcc97  bl	#0xfffffff00849450c
0xfffffff009184de0: 7f2303d5  pacibsp	
0xfffffff009184de4: ff8300d1  sub	sp, sp, #0x20
0xfffffff009184de8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009184dec: fd430091  add	x29, sp, #0x10
0xfffffff009184df0: 6818fff0  adrp	x8, #0xfffffff007493000
0xfffffff009184df4: 08213791  add	x8, x8, #0xdc8
0xfffffff009184df8: 295d8052  mov	w9, #0x2e9
0xfffffff009184dfc: e82700a9  stp	x8, x9, [sp]
0xfffffff009184e00: 6018fff0  adrp	x0, #0xfffffff007493000
0xfffffff009184e04: 00883791  add	x0, x0, #0xde2
0xfffffff009184e08: c13dcc97  bl	#0xfffffff00849450c
0xfffffff009184e0c: 7f2303d5  pacibsp	
0xfffffff009184e10: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009184e14: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009184e18: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009184e1c: fd830091  add	x29, sp, #0x20
0xfffffff009184e20: f30302aa  mov	x19, x2
0xfffffff009184e24: f40301aa  mov	x20, x1
0xfffffff009184e28: f50300aa  mov	x21, x0
0xfffffff009184e2c: 100040f9  ldr	x16, [x0]
0xfffffff009184e30: f10300aa  mov	x17, x0
0xfffffff009184e34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009184e38: 301ac1da  autda	x16, x17
0xfffffff009184e3c: 11b580d2  mov	x17, #0x5a8
0xfffffff009184e40: 1002118b  add	x16, x16, x17
0xfffffff009184e44: 080240f9  ldr	x8, [x16]
0xfffffff009184e48: e90310aa  mov	x9, x16
0xfffffff009184e4c: f10309aa  mov	x17, x9
0xfffffff009184e50: 91c8f7f2  movk	x17, #0xbe44, lsl #48
