; Candidate 9865
; ADRP+ADD at VM 0xfffffff008b65da0 (fileoff 0x1b61da0): page=0x1fef2e000 add_imm=0xdb0

0xfffffff008b65d20: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008b65d24: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008b65d28: ff830191  add	sp, sp, #0x60
0xfffffff008b65d2c: ff0f5fd6  retab	
0xfffffff008b65d30: 48008052  mov	w8, #2
0xfffffff008b65d34: 880200b9  str	w8, [x20]
0xfffffff008b65d38: 9f2a01b9  str	wzr, [x20, #0x128]
0xfffffff008b65d3c: e0a30091  add	x0, sp, #0x28
0xfffffff008b65d40: 24810094  bl	#0xfffffff008b861d0
0xfffffff008b65d44: 800900b4  cbz	x0, #0xfffffff008b65e74
0xfffffff008b65d48: f40300aa  mov	x20, x0
0xfffffff008b65d4c: a02640f9  ldr	x0, [x21, #0x48]
0xfffffff008b65d50: 100040f9  ldr	x16, [x0]
0xfffffff008b65d54: f10300aa  mov	x17, x0
0xfffffff008b65d58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b65d5c: 301ac1da  autda	x16, x17
0xfffffff008b65d60: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff008b65d64: e90310aa  mov	x9, x16
0xfffffff008b65d68: e10314aa  mov	x1, x20
0xfffffff008b65d6c: f10309aa  mov	x17, x9
0xfffffff008b65d70: 5160f8f2  movk	x17, #0xc302, lsl #48
0xfffffff008b65d74: 11093fd7  blraa	x8, x17
0xfffffff008b65d78: 900240f9  ldr	x16, [x20]
0xfffffff008b65d7c: f10314aa  mov	x17, x20
0xfffffff008b65d80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b65d84: 301ac1da  autda	x16, x17
0xfffffff008b65d88: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008b65d8c: e90310aa  mov	x9, x16
0xfffffff008b65d90: e00314aa  mov	x0, x20
0xfffffff008b65d94: f10309aa  mov	x17, x9
0xfffffff008b65d98: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008b65d9c: 11093fd7  blraa	x8, x17
0xfffffff008b65da0: 6079ffd0  adrp	x0, #0xfffffff007a93000
0xfffffff008b65da4: 00c03691  add	x0, x0, #0xdb0
0xfffffff008b65da8: d3c1df97  bl	#0xfffffff0083564f4
0xfffffff008b65dac: e01300f9  str	x0, [sp, #0x20]
0xfffffff008b65db0: 600800b4  cbz	x0, #0xfffffff008b65ebc
0xfffffff008b65db4: f40300aa  mov	x20, x0
0xfffffff008b65db8: e00313aa  mov	x0, x19
0xfffffff008b65dbc: 41008052  mov	w1, #2
0xfffffff008b65dc0: 020080d2  mov	x2, #0
0xfffffff008b65dc4: aeb2e297  bl	#0xfffffff00841287c
0xfffffff008b65dc8: 800600f9  str	x0, [x20, #8]
0xfffffff008b65dcc: 600900b4  cbz	x0, #0xfffffff008b65ef8
0xfffffff008b65dd0: a15a40b9  ldr	w1, [x21, #0x58]
0xfffffff008b65dd4: 811200b9  str	w1, [x20, #0x10]
0xfffffff008b65dd8: 423efff0  adrp	x2, #0xfffffff007330000
0xfffffff008b65ddc: 42080f91  add	x2, x2, #0x3c2
0xfffffff008b65de0: d5ade297  bl	#0xfffffff008411534
0xfffffff008b65de4: a85a40b9  ldr	w8, [x21, #0x58]
0xfffffff008b65de8: 08050011  add	w8, w8, #1
0xfffffff008b65dec: a85a00b9  str	w8, [x21, #0x58]
0xfffffff008b65df0: 810640f9  ldr	x1, [x20, #8]
0xfffffff008b65df4: 223effd0  adrp	x2, #0xfffffff00732b000
0xfffffff008b65df8: 42ec2a91  add	x2, x2, #0xabb
0xfffffff008b65dfc: 433efff0  adrp	x3, #0xfffffff007330000
0xfffffff008b65e00: 63300f91  add	x3, x3, #0x3cc
0xfffffff008b65e04: e00313aa  mov	x0, x19
0xfffffff008b65e08: 28c6e297  bl	#0xfffffff0084176a8
0xfffffff008b65e0c: 00080034  cbz	w0, #0xfffffff008b65f0c
0xfffffff008b65e10: a80240b9  ldr	w8, [x21]
0xfffffff008b65e14: 493efff0  adrp	x9, #0xfffffff007330000
0xfffffff008b65e18: 29ad0a91  add	x9, x9, #0x2ab
0xfffffff008b65e1c: e82700a9  stp	x8, x9, [sp]
