; Candidate 10415
; ADRP+ADD at VM 0xfffffff008d41fa4 (fileoff 0x1d3dfa4): page=0x1fe646000 add_imm=0xe94

0xfffffff008d41f24: 4832ff90  adrp	x8, #0xfffffff007389000
0xfffffff008d41f28: 08811c91  add	x8, x8, #0x720
0xfffffff008d41f2c: 2a32ffd0  adrp	x10, #0xfffffff007387000
0xfffffff008d41f30: 4aa91391  add	x10, x10, #0x4ea
0xfffffff008d41f34: cfffff17  b	#0xfffffff008d41e70
0xfffffff008d41f38: 7f2303d5  pacibsp	
0xfffffff008d41f3c: ff4302d1  sub	sp, sp, #0x90
0xfffffff008d41f40: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff008d41f44: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008d41f48: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008d41f4c: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008d41f50: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008d41f54: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008d41f58: fd030291  add	x29, sp, #0x80
0xfffffff008d41f5c: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff008d41f60: 600900b4  cbz	x0, #0xfffffff008d4208c
0xfffffff008d41f64: f40302aa  mov	x20, x2
0xfffffff008d41f68: 420a00b4  cbz	x2, #0xfffffff008d420b0
0xfffffff008d41f6c: f50303aa  mov	x21, x3
0xfffffff008d41f70: 230b00b4  cbz	x3, #0xfffffff008d420d4
0xfffffff008d41f74: f70300aa  mov	x23, x0
0xfffffff008d41f78: 130040b9  ldr	w19, [x0]
0xfffffff008d41f7c: 7fa60f71  cmp	w19, #0x3e9
0xfffffff008d41f80: c20b0054  b.hs	#0xfffffff008d420f8
0xfffffff008d41f84: 53040034  cbz	w19, #0xfffffff008d4200c
0xfffffff008d41f88: f60301aa  mov	x22, x1
0xfffffff008d41f8c: 7af27dd3  lsl	x26, x19, #3
0xfffffff008d41f90: 806cff90  adrp	x0, #0xfffffff007ad1000
0xfffffff008d41f94: 00e03091  add	x0, x0, #0xc38
0xfffffff008d41f98: e1031aaa  mov	x1, x26
0xfffffff008d41f9c: 8d53d897  bl	#0xfffffff008356dd0
0xfffffff008d41fa0: f80300aa  mov	x24, x0
0xfffffff008d41fa4: 2032ffd0  adrp	x0, #0xfffffff007387000
0xfffffff008d41fa8: 00503a91  add	x0, x0, #0xe94
0xfffffff008d41fac: 3932ffd0  adrp	x25, #0xfffffff007387000
0xfffffff008d41fb0: 39231291  add	x25, x25, #0x488
0xfffffff008d41fb4: 2532ffd0  adrp	x5, #0xfffffff007387000
0xfffffff008d41fb8: a5b83a91  add	x5, x5, #0xeae
0xfffffff008d41fbc: e10318aa  mov	x1, x24
0xfffffff008d41fc0: e2031aaa  mov	x2, x26
0xfffffff008d41fc4: e30319aa  mov	x3, x25
0xfffffff008d41fc8: 84db8052  mov	w4, #0x6dc
0xfffffff008d41fcc: e6edff97  bl	#0xfffffff008d3d764
0xfffffff008d41fd0: 380b00b4  cbz	x24, #0xfffffff008d42134
0xfffffff008d41fd4: 1c0080d2  mov	x28, #0
0xfffffff008d41fd8: 99008052  mov	w25, #4
0xfffffff008d41fdc: e002198b  add	x0, x23, x25
0xfffffff008d41fe0: c10219cb  sub	x1, x22, x25
0xfffffff008d41fe4: 02031c8b  add	x2, x24, x28
0xfffffff008d41fe8: e3a30091  add	x3, sp, #0x28
0xfffffff008d41fec: 76faff97  bl	#0xfffffff008d409c4
0xfffffff008d41ff0: 80020035  cbnz	w0, #0xfffffff008d42040
0xfffffff008d41ff4: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008d41ff8: 1901198b  add	x25, x8, x25
0xfffffff008d41ffc: 9c230091  add	x28, x28, #8
0xfffffff008d42000: 5f031ceb  cmp	x26, x28
0xfffffff008d42004: c1feff54  b.ne	#0xfffffff008d41fdc
0xfffffff008d42008: 02000014  b	#0xfffffff008d42010
0xfffffff008d4200c: 180080d2  mov	x24, #0
0xfffffff008d42010: 1b008052  mov	w27, #0
0xfffffff008d42014: b30200b9  str	w19, [x21]
0xfffffff008d42018: 980200f9  str	x24, [x20]
0xfffffff008d4201c: e0031baa  mov	x0, x27
0xfffffff008d42020: fd7b48a9  ldp	x29, x30, [sp, #0x80]
