; Candidate 2993
; ADRP+ADD at VM 0xfffffff008700b8c (fileoff 0x16fcb8c): page=0x1fea31000 add_imm=0xd90

0xfffffff008700b0c: aa4240b9  ldr	w10, [x21, #0x40]
0xfffffff008700b10: 4901090b  add	w9, w10, w9
0xfffffff008700b14: 099900b9  str	w9, [x8, #0x98]
0xfffffff008700b18: a97240b9  ldr	w9, [x21, #0x70]
0xfffffff008700b1c: 099d00b9  str	w9, [x8, #0x9c]
0xfffffff008700b20: 880340f9  ldr	x8, [x28]
0xfffffff008700b24: 09714239  ldrb	w9, [x8, #0x9c]
0xfffffff008700b28: 3f190072  tst	w9, #0x7f
0xfffffff008700b2c: 80010054  b.eq	#0xfffffff008700b5c
0xfffffff008700b30: c8408052  mov	w8, #0x206
0xfffffff008700b34: f62300a9  stp	x22, x8, [sp]
0xfffffff008700b38: 8051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008700b3c: 00403691  add	x0, x0, #0xd90
0xfffffff008700b40: e197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008700b44: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008700b48: a351ffd0  adrp	x3, #0xfffffff007136000
0xfffffff008700b4c: 63841391  add	x3, x3, #0x4e1
0xfffffff008700b50: 02008052  mov	w2, #0
0xfffffff008700b54: 77c9f097  bl	#0xfffffff008333130
0xfffffff008700b58: 880340f9  ldr	x8, [x28]
0xfffffff008700b5c: 09118052  mov	w9, #0x88
0xfffffff008700b60: 894e099b  madd	x9, x20, x9, x19
0xfffffff008700b64: 2a2540f9  ldr	x10, [x9, #0x48]
0xfffffff008700b68: 0a9100b9  str	w10, [x8, #0x90]
0xfffffff008700b6c: 296540b9  ldr	w9, [x9, #0x64]
0xfffffff008700b70: 099500b9  str	w9, [x8, #0x94]
0xfffffff008700b74: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff008700b78: 09514239  ldrb	w9, [x8, #0x94]
0xfffffff008700b7c: 3f190072  tst	w9, #0x7f
0xfffffff008700b80: 80010054  b.eq	#0xfffffff008700bb0
0xfffffff008700b84: 28418052  mov	w8, #0x209
0xfffffff008700b88: f62300a9  stp	x22, x8, [sp]
0xfffffff008700b8c: 8051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008700b90: 00403691  add	x0, x0, #0xd90
0xfffffff008700b94: e197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008700b98: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008700b9c: a351ffd0  adrp	x3, #0xfffffff007136000
0xfffffff008700ba0: 63501491  add	x3, x3, #0x514
0xfffffff008700ba4: 02008052  mov	w2, #0
0xfffffff008700ba8: 62c9f097  bl	#0xfffffff008333130
0xfffffff008700bac: 880340f9  ldr	x8, [x28]
0xfffffff008700bb0: 69da74b9  ldr	w9, [x19, #0x34d8]
0xfffffff008700bb4: 09510179  strh	w9, [x8, #0xa8]
0xfffffff008700bb8: 09118052  mov	w9, #0x88
0xfffffff008700bbc: 894e099b  madd	x9, x20, x9, x19
0xfffffff008700bc0: 2a6544f9  ldr	x10, [x9, #0x8c8]
0xfffffff008700bc4: 0aa100b9  str	w10, [x8, #0xa0]
0xfffffff008700bc8: 29e548b9  ldr	w9, [x9, #0x8e4]
0xfffffff008700bcc: 09a500b9  str	w9, [x8, #0xa4]
0xfffffff008700bd0: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff008700bd4: 09914239  ldrb	w9, [x8, #0xa4]
0xfffffff008700bd8: 3f190072  tst	w9, #0x7f
0xfffffff008700bdc: 80010054  b.eq	#0xfffffff008700c0c
0xfffffff008700be0: a8418052  mov	w8, #0x20d
0xfffffff008700be4: f62300a9  stp	x22, x8, [sp]
0xfffffff008700be8: 8051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008700bec: 00403691  add	x0, x0, #0xd90
0xfffffff008700bf0: e197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008700bf4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008700bf8: a351ffd0  adrp	x3, #0xfffffff007136000
0xfffffff008700bfc: 631c1591  add	x3, x3, #0x547
0xfffffff008700c00: 02008052  mov	w2, #0
0xfffffff008700c04: 4bc9f097  bl	#0xfffffff008333130
0xfffffff008700c08: 880340f9  ldr	x8, [x28]
