; Candidate 7
; ADRP+ADD at VM 0xfffffff007d67ce0 (fileoff 0xd63ce0): page=0x1ffc08000 add_imm=0xe30

0xfffffff007d67c60: 41fc0194  bl	#0xfffffff007de6d64
0xfffffff007d67c64: b8ffff17  b	#0xfffffff007d67b44
0xfffffff007d67c68: 80028052  mov	w0, #0x14
0xfffffff007d67c6c: e10317aa  mov	x1, x23
0xfffffff007d67c70: b1c91c94  bl	#0xfffffff00849a334
0xfffffff007d67c74: 01000014  b	#0xfffffff007d67c78
0xfffffff007d67c78: cae18052  mov	w10, #0x70e
0xfffffff007d67c7c: 0b97fff0  adrp	x11, #0xfffffff00704a000
0xfffffff007d67c80: 6b090f91  add	x11, x11, #0x3c2
0xfffffff007d67c84: eb2b01a9  stp	x11, x10, [sp, #0x10]
0xfffffff007d67c88: e82700a9  stp	x8, x9, [sp]
0xfffffff007d67c8c: 0097fff0  adrp	x0, #0xfffffff00704a000
0xfffffff007d67c90: 00fc1191  add	x0, x0, #0x47f
0xfffffff007d67c94: 1eb21c94  bl	#0xfffffff00849450c
0xfffffff007d67c98: 7f2303d5  pacibsp	
0xfffffff007d67c9c: ff0301d1  sub	sp, sp, #0x40
0xfffffff007d67ca0: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff007d67ca4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007d67ca8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007d67cac: fdc30091  add	x29, sp, #0x30
0xfffffff007d67cb0: 400600b4  cbz	x0, #0xfffffff007d67d78
0xfffffff007d67cb4: f30302aa  mov	x19, x2
0xfffffff007d67cb8: f50301aa  mov	x21, x1
0xfffffff007d67cbc: f40300aa  mov	x20, x0
0xfffffff007d67cc0: 80d038d5  mrs	x0, tpidr_el1
0xfffffff007d67cc4: 27970294  bl	#0xfffffff007e0d960
0xfffffff007d67cc8: e80300aa  mov	x8, x0
0xfffffff007d67ccc: 80008052  mov	w0, #4
0xfffffff007d67cd0: bf060071  cmp	w21, #1
0xfffffff007d67cd4: 41050054  b.ne	#0xfffffff007d67d7c
0xfffffff007d67cd8: 1f0114eb  cmp	x8, x20
0xfffffff007d67cdc: 01050054  b.ne	#0xfffffff007d67d7c
0xfffffff007d67ce0: 40e0ff90  adrp	x0, #0xfffffff00796f000
0xfffffff007d67ce4: 00c03891  add	x0, x0, #0xe30
0xfffffff007d67ce8: 01008052  mov	w1, #0
0xfffffff007d67cec: 7afc0094  bl	#0xfffffff007da6ed4
0xfffffff007d67cf0: f40300aa  mov	x20, x0
0xfffffff007d67cf4: 48008052  mov	w8, #2
0xfffffff007d67cf8: 086800b9  str	w8, [x0, #0x68]
0xfffffff007d67cfc: 28008052  mov	w8, #1
0xfffffff007d67d00: 08b00139  strb	w8, [x0, #0x6c]
0xfffffff007d67d04: 61058052  mov	w1, #0x2b
0xfffffff007d67d08: 62008052  mov	w2, #3
0xfffffff007d67d0c: 11ce0094  bl	#0xfffffff007d9b550
0xfffffff007d67d10: 807e00a9  stp	x0, xzr, [x20]
0xfffffff007d67d14: 4895ff90  adrp	x8, #0xfffffff00700f000
0xfffffff007d67d18: 002dc13d  ldr	q0, [x8, #0x4b0]
0xfffffff007d67d1c: e003803d  str	q0, [sp]
0xfffffff007d67d20: 8082813c  stur	q0, [x20, #0x18]
0xfffffff007d67d24: 940a00f9  str	x20, [x20, #0x10]
0xfffffff007d67d28: 80a20091  add	x0, x20, #0x28
0xfffffff007d67d2c: 61058052  mov	w1, #0x2b
0xfffffff007d67d30: 62008052  mov	w2, #3
0xfffffff007d67d34: 07ce0094  bl	#0xfffffff007d9b550
0xfffffff007d67d38: e80300aa  mov	x8, x0
0xfffffff007d67d3c: 00008052  mov	w0, #0
0xfffffff007d67d40: 88fe02a9  stp	x8, xzr, [x20, #0x28]
0xfffffff007d67d44: e003c03d  ldr	q0, [sp]
0xfffffff007d67d48: 8012803d  str	q0, [x20, #0x40]
0xfffffff007d67d4c: 941e00f9  str	x20, [x20, #0x38]
0xfffffff007d67d50: 28018052  mov	w8, #9
0xfffffff007d67d54: 885200b9  str	w8, [x20, #0x50]
0xfffffff007d67d58: 9ffe05a9  stp	xzr, xzr, [x20, #0x58]
0xfffffff007d67d5c: 88288052  mov	w8, #0x144
