; Candidate 7205
; ADRP+ADD at VM 0xfffffff00885f1bc (fileoff 0x185b1bc): page=0x1fe9c8000 add_imm=0xdea

0xfffffff00885f13c: 88080034  cbz	w8, #0xfffffff00885f24c
0xfffffff00885f140: ff220071  cmp	w23, #8
0xfffffff00885f144: 40080054  b.eq	#0xfffffff00885f24c
0xfffffff00885f148: 800c8052  mov	w0, #0x64
0xfffffff00885f14c: a1008052  mov	w1, #5
0xfffffff00885f150: a0710094  bl	#0xfffffff00887b7d0
0xfffffff00885f154: aa0357f8  ldur	x10, [x29, #-0x90]
0xfffffff00885f158: a0070034  cbz	w0, #0xfffffff00885f24c
0xfffffff00885f15c: 800c8052  mov	w0, #0x64
0xfffffff00885f160: ae710094  bl	#0xfffffff00887b818
0xfffffff00885f164: f90300aa  mov	x25, x0
0xfffffff00885f168: 11540194  bl	#0xfffffff0088b41ac
0xfffffff00885f16c: e05f00f9  str	x0, [sp, #0xb8]
0xfffffff00885f170: a0008052  mov	w0, #5
0xfffffff00885f174: b7710094  bl	#0xfffffff00887b850
0xfffffff00885f178: f9020034  cbz	w25, #0xfffffff00885f1d4
0xfffffff00885f17c: 88024079  ldrh	w8, [x20]
0xfffffff00885f180: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885f184: 6a5b40b9  ldr	w10, [x27, #0x58]
0xfffffff00885f188: faf306a9  stp	x26, x28, [sp, #0x68]
0xfffffff00885f18c: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00885f190: fbab04a9  stp	x27, x10, [sp, #0x48]
0xfffffff00885f194: e9e303a9  stp	x9, x24, [sp, #0x38]
0xfffffff00885f198: 684f8052  mov	w8, #0x27b
0xfffffff00885f19c: 494eff90  adrp	x9, #0xfffffff007227000
0xfffffff00885f1a0: 29792491  add	x9, x9, #0x91e
0xfffffff00885f1a4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00885f1a8: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885f1ac: 08811191  add	x8, x8, #0x460
0xfffffff00885f1b0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885f1b4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00885f1b8: 890c8052  mov	w9, #0x64
0xfffffff00885f1bc: 404eff90  adrp	x0, #0xfffffff007227000
0xfffffff00885f1c0: 00a83791  add	x0, x0, #0xdea
0xfffffff00885f1c4: e85f40f9  ldr	x8, [sp, #0xb8]
0xfffffff00885f1c8: e82700a9  stp	x8, x9, [sp]
0xfffffff00885f1cc: a560d597  bl	#0xfffffff007db7460
0xfffffff00885f1d0: 1e000014  b	#0xfffffff00885f248
0xfffffff00885f1d4: f6530194  bl	#0xfffffff0088b41ac
0xfffffff00885f1d8: f90300aa  mov	x25, x0
0xfffffff00885f1dc: a0008052  mov	w0, #5
0xfffffff00885f1e0: 9c710094  bl	#0xfffffff00887b850
0xfffffff00885f1e4: 88024079  ldrh	w8, [x20]
0xfffffff00885f1e8: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885f1ec: 6a5b40b9  ldr	w10, [x27, #0x58]
0xfffffff00885f1f0: faf306a9  stp	x26, x28, [sp, #0x68]
0xfffffff00885f1f4: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00885f1f8: fbab04a9  stp	x27, x10, [sp, #0x48]
0xfffffff00885f1fc: e9e303a9  stp	x9, x24, [sp, #0x38]
0xfffffff00885f200: 684f8052  mov	w8, #0x27b
0xfffffff00885f204: 494eff90  adrp	x9, #0xfffffff007227000
0xfffffff00885f208: 29792491  add	x9, x9, #0x91e
0xfffffff00885f20c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00885f210: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885f214: 08811191  add	x8, x8, #0x460
0xfffffff00885f218: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885f21c: 880c8052  mov	w8, #0x64
0xfffffff00885f220: a34fffd0  adrp	x3, #0xfffffff007255000
0xfffffff00885f224: 63b82791  add	x3, x3, #0x9ee
0xfffffff00885f228: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885f22c: f90300f9  str	x25, [sp]
0xfffffff00885f230: 404cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885f234: 00003a91  add	x0, x0, #0xe80
0xfffffff00885f238: 418dffb0  adrp	x1, #0xfffffff007a08000
