; Candidate 15137
; ADRP+ADD at VM 0xfffffff009abdad8 (fileoff 0x2ab9ad8): page=0x1fdb59000 add_imm=0xebd

0xfffffff009abda58: e10316aa  mov	x1, x22
0xfffffff009abda5c: a698a097  bl	#0xfffffff0082e3cf4
0xfffffff009abda60: 200400b4  cbz	x0, #0xfffffff009abdae4
0xfffffff009abda64: e10300aa  mov	x1, x0
0xfffffff009abda68: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff009abda6c: 224d0094  bl	#0xfffffff009ad0ef4
0xfffffff009abda70: 77a20391  add	x23, x19, #0xe8
0xfffffff009abda74: 68e20391  add	x8, x19, #0xf8
0xfffffff009abda78: 080117eb  subs	x8, x8, x23
0xfffffff009abda7c: c31a0054  b.lo	#0xfffffff009abddd4
0xfffffff009abda80: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff009abda84: 891a00b5  cbnz	x9, #0xfffffff009abddd4
0xfffffff009abda88: 1f717df2  tst	x8, #0xfffffff8
0xfffffff009abda8c: e0190054  b.eq	#0xfffffff009abddc8
0xfffffff009abda90: f60300aa  mov	x22, x0
0xfffffff009abda94: e00240f9  ldr	x0, [x23]
0xfffffff009abda98: 400100b4  cbz	x0, #0xfffffff009abdac0
0xfffffff009abda9c: 100040f9  ldr	x16, [x0]
0xfffffff009abdaa0: f10300aa  mov	x17, x0
0xfffffff009abdaa4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009abdaa8: 301ac1da  autda	x16, x17
0xfffffff009abdaac: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009abdab0: e90310aa  mov	x9, x16
0xfffffff009abdab4: f10309aa  mov	x17, x9
0xfffffff009abdab8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009abdabc: 11093fd7  blraa	x8, x17
0xfffffff009abdac0: f60200f9  str	x22, [x23]
0xfffffff009abdac4: b60f00b4  cbz	x22, #0xfffffff009abdcb8
0xfffffff009abdac8: 28008052  mov	w8, #1
0xfffffff009abdacc: 68e200b9  str	w8, [x19, #0xe0]
0xfffffff009abdad0: 7a000014  b	#0xfffffff009abdcb8
0xfffffff009abdad4: e80300f9  str	x8, [sp]
0xfffffff009abdad8: c0dafeb0  adrp	x0, #0xfffffff007616000
0xfffffff009abdadc: 00f43a91  add	x0, x0, #0xebd
0xfffffff009abdae0: 5afbff17  b	#0xfffffff009abc848
0xfffffff009abdae4: 900240f9  ldr	x16, [x20]
0xfffffff009abdae8: f10314aa  mov	x17, x20
0xfffffff009abdaec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009abdaf0: 301ac1da  autda	x16, x17
0xfffffff009abdaf4: 112780d2  mov	x17, #0x138
0xfffffff009abdaf8: 1002118b  add	x16, x16, x17
0xfffffff009abdafc: 080240f9  ldr	x8, [x16]
0xfffffff009abdb00: e90310aa  mov	x9, x16
0xfffffff009abdb04: a1dafef0  adrp	x1, #0xfffffff007614000
0xfffffff009abdb08: 21501a91  add	x1, x1, #0x694
0xfffffff009abdb0c: e00314aa  mov	x0, x20
0xfffffff009abdb10: f10309aa  mov	x17, x9
0xfffffff009abdb14: 71c7e5f2  movk	x17, #0x2e3b, lsl #48
0xfffffff009abdb18: 11093fd7  blraa	x8, x17
0xfffffff009abdb1c: e10317aa  mov	x1, x23
0xfffffff009abdb20: 7598a097  bl	#0xfffffff0082e3cf4
0xfffffff009abdb24: a00c00b4  cbz	x0, #0xfffffff009abdcb8
0xfffffff009abdb28: f70300aa  mov	x23, x0
0xfffffff009abdb2c: 100040f9  ldr	x16, [x0]
0xfffffff009abdb30: f10300aa  mov	x17, x0
0xfffffff009abdb34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009abdb38: 301ac1da  autda	x16, x17
0xfffffff009abdb3c: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff009abdb40: e90310aa  mov	x9, x16
0xfffffff009abdb44: f10309aa  mov	x17, x9
0xfffffff009abdb48: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff009abdb4c: 11093fd7  blraa	x8, x17
0xfffffff009abdb50: 1f080071  cmp	w0, #2
0xfffffff009abdb54: 48008052  mov	w8, #2
