; Candidate 11314
; ADRP+ADD at VM 0xfffffff008eeaa90 (fileoff 0x1ee6a90): page=0x1fe51d000 add_imm=0xe0f

0xfffffff008eeaa10: 11e2e4f2  movk	x17, #0x2710, lsl #48
0xfffffff008eeaa14: 11093fd7  blraa	x8, x17
0xfffffff008eeaa18: e20300aa  mov	x2, x0
0xfffffff008eeaa1c: e0031caa  mov	x0, x28
0xfffffff008eeaa20: e1031aaa  mov	x1, x26
0xfffffff008eeaa24: e34b40f9  ldr	x3, [sp, #0x90]
0xfffffff008eeaa28: 86ccff97  bl	#0xfffffff008eddc40
0xfffffff008eeaa2c: 60fa0737  tbnz	w0, #0, #0xfffffff008eea978
0xfffffff008eeaa30: 52000014  b	#0xfffffff008eeab78
0xfffffff008eeaa34: 48008052  mov	w8, #2
0xfffffff008eeaa38: e80300f9  str	x8, [sp]
0xfffffff008eeaa3c: e028ffd0  adrp	x0, #0xfffffff007408000
0xfffffff008eeaa40: 00342391  add	x0, x0, #0x8cd
0xfffffff008eeaa44: 67feff17  b	#0xfffffff008eea3e0
0xfffffff008eeaa48: e828ffd0  adrp	x8, #0xfffffff007408000
0xfffffff008eeaa4c: 08011a91  add	x8, x8, #0x680
0xfffffff008eeaa50: e80300f9  str	x8, [sp]
0xfffffff008eeaa54: e028ffd0  adrp	x0, #0xfffffff007408000
0xfffffff008eeaa58: 00781d91  add	x0, x0, #0x75e
0xfffffff008eeaa5c: 27000014  b	#0xfffffff008eeaaf8
0xfffffff008eeaa60: 700240f9  ldr	x16, [x19]
0xfffffff008eeaa64: f10313aa  mov	x17, x19
0xfffffff008eeaa68: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008eeaa6c: 301ac1da  autda	x16, x17
0xfffffff008eeaa70: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008eeaa74: e90310aa  mov	x9, x16
0xfffffff008eeaa78: e00313aa  mov	x0, x19
0xfffffff008eeaa7c: f10309aa  mov	x17, x9
0xfffffff008eeaa80: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008eeaa84: 11093fd7  blraa	x8, x17
0xfffffff008eeaa88: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff008eeaa8c: e80300f9  str	x8, [sp]
0xfffffff008eeaa90: e028ffb0  adrp	x0, #0xfffffff007407000
0xfffffff008eeaa94: 003c3891  add	x0, x0, #0xe0f
0xfffffff008eeaa98: 62b1d197  bl	#0xfffffff008357020
0xfffffff008eeaa9c: f37340f9  ldr	x19, [sp, #0xe0]
0xfffffff008eeaaa0: 680240b9  ldr	w8, [x19]
0xfffffff008eeaaa4: 08011232  orr	w8, w8, #0x4000
0xfffffff008eeaaa8: 680200b9  str	w8, [x19]
0xfffffff008eeaaac: e228ffb0  adrp	x2, #0xfffffff007407000
0xfffffff008eeaab0: 42bc3891  add	x2, x2, #0xe2f
0xfffffff008eeaab4: f66740f9  ldr	x22, [sp, #0xc8]
0xfffffff008eeaab8: e00316aa  mov	x0, x22
0xfffffff008eeaabc: e1008052  mov	w1, #7
0xfffffff008eeaac0: 8afdff17  b	#0xfffffff008eea0e8
0xfffffff008eeaac4: e00317aa  mov	x0, x23
0xfffffff008eeaac8: 2f7dca97  bl	#0xfffffff008189f84
0xfffffff008eeaacc: e828ffd0  adrp	x8, #0xfffffff007408000
0xfffffff008eeaad0: 08011a91  add	x8, x8, #0x680
0xfffffff008eeaad4: e80300a9  stp	x8, x0, [sp]
0xfffffff008eeaad8: c028fff0  adrp	x0, #0xfffffff007405000
0xfffffff008eeaadc: 00a01f91  add	x0, x0, #0x7e8
0xfffffff008eeaae0: 06000014  b	#0xfffffff008eeaaf8
0xfffffff008eeaae4: e00317aa  mov	x0, x23
0xfffffff008eeaae8: 277dca97  bl	#0xfffffff008189f84
0xfffffff008eeaaec: e00300f9  str	x0, [sp]
0xfffffff008eeaaf0: e028ffd0  adrp	x0, #0xfffffff007408000
0xfffffff008eeaaf4: 00481e91  add	x0, x0, #0x792
0xfffffff008eeaaf8: 4ab1d197  bl	#0xfffffff008357020
0xfffffff008eeaafc: e028ffb0  adrp	x0, #0xfffffff007407000
0xfffffff008eeab00: 00581e91  add	x0, x0, #0x796
0xfffffff008eeab04: 47b1d197  bl	#0xfffffff008357020
0xfffffff008eeab08: e028ffb0  adrp	x0, #0xfffffff007407000
0xfffffff008eeab0c: 00882291  add	x0, x0, #0x8a2
