; Candidate 7951
; ADRP+ADD at VM 0xfffffff008889d2c (fileoff 0x1885d2c): page=0x1fe960000 add_imm=0xe80

0xfffffff008889cac: f92303a9  stp	x25, x8, [sp, #0x30]
0xfffffff008889cb0: e85340f9  ldr	x8, [sp, #0xa0]
0xfffffff008889cb4: e85302a9  stp	x8, x20, [sp, #0x20]
0xfffffff008889cb8: a84302d1  sub	x8, x29, #0x90
0xfffffff008889cbc: e80f00f9  str	x8, [sp, #0x18]
0xfffffff008889cc0: e84740f9  ldr	x8, [sp, #0x88]
0xfffffff008889cc4: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff008889cc8: 204dffb0  adrp	x0, #0xfffffff00722e000
0xfffffff008889ccc: 00f01891  add	x0, x0, #0x63c
0xfffffff008889cd0: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff008889cd4: 48000014  b	#0xfffffff008889df4
0xfffffff008889cd8: ff4300f9  str	xzr, [sp, #0x80]
0xfffffff008889cdc: 68e34894  bl	#0xfffffff009ac2a7c
0xfffffff008889ce0: e8a30291  add	x8, sp, #0xa8
0xfffffff008889ce4: e02307a9  stp	x0, x8, [sp, #0x70]
0xfffffff008889ce8: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff008889cec: f92306a9  stp	x25, x8, [sp, #0x60]
0xfffffff008889cf0: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff008889cf4: f86b04a9  stp	x24, x26, [sp, #0x40]
0xfffffff008889cf8: e84740f9  ldr	x8, [sp, #0x88]
0xfffffff008889cfc: f72303a9  stp	x23, x8, [sp, #0x30]
0xfffffff008889d00: e85340f9  ldr	x8, [sp, #0xa0]
0xfffffff008889d04: e85302a9  stp	x8, x20, [sp, #0x20]
0xfffffff008889d08: a84302d1  sub	x8, x29, #0x90
0xfffffff008889d0c: e80f00f9  str	x8, [sp, #0x18]
0xfffffff008889d10: e94b40f9  ldr	x9, [sp, #0x90]
0xfffffff008889d14: e80313aa  mov	x8, x19
0xfffffff008889d18: a34eff90  adrp	x3, #0xfffffff00725d000
0xfffffff008889d1c: 63bc1591  add	x3, x3, #0x56f
0xfffffff008889d20: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008889d24: e84f40f9  ldr	x8, [sp, #0x98]
0xfffffff008889d28: e80300f9  str	x8, [sp]
0xfffffff008889d2c: 004bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008889d30: 00003a91  add	x0, x0, #0xe80
0xfffffff008889d34: e18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008889d38: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008889d3c: 02008052  mov	w2, #0
0xfffffff008889d40: fca4ea97  bl	#0xfffffff008333130
0xfffffff008889d44: 2e000014  b	#0xfffffff008889dfc
0xfffffff008889d48: ff4b00f9  str	xzr, [sp, #0x90]
0xfffffff008889d4c: 4ce34894  bl	#0xfffffff009ac2a7c
0xfffffff008889d50: e8a30291  add	x8, sp, #0xa8
0xfffffff008889d54: e0a305a9  stp	x0, x8, [sp, #0x58]
0xfffffff008889d58: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff008889d5c: f7a304a9  stp	x23, x8, [sp, #0x48]
0xfffffff008889d60: fbe703a9  stp	x27, x25, [sp, #0x38]
0xfffffff008889d64: fae302a9  stp	x26, x24, [sp, #0x28]
0xfffffff008889d68: e8a749a9  ldp	x8, x9, [sp, #0x98]
0xfffffff008889d6c: fca301a9  stp	x28, x8, [sp, #0x18]
0xfffffff008889d70: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff008889d74: a84302d1  sub	x8, x29, #0x90
0xfffffff008889d78: a34eff90  adrp	x3, #0xfffffff00725d000
0xfffffff008889d7c: 630c1491  add	x3, x3, #0x503
0xfffffff008889d80: e80300f9  str	x8, [sp]
0xfffffff008889d84: 004bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008889d88: 00003a91  add	x0, x0, #0xe80
0xfffffff008889d8c: e18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008889d90: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008889d94: 02008052  mov	w2, #0
0xfffffff008889d98: e6a4ea97  bl	#0xfffffff008333130
0xfffffff008889d9c: 18000014  b	#0xfffffff008889dfc
0xfffffff008889da0: ff7f09a9  stp	xzr, xzr, [sp, #0x90]
0xfffffff008889da4: 000080d2  mov	x0, #0
0xfffffff008889da8: 9ae246a9  ldp	x26, x24, [x20, #0x68]
