; Candidate 528
; ADRP+ADD at VM 0xfffffff007f5a8d8 (fileoff 0xf568d8): page=0x1ff106000 add_imm=0xe48

0xfffffff007f5a858: 03000014  b	#0xfffffff007f5a864
0xfffffff007f5a85c: e00316aa  mov	x0, x22
0xfffffff007f5a860: f5020094  bl	#0xfffffff007f5b434
0xfffffff007f5a864: c15640f9  ldr	x1, [x22, #0xa8]
0xfffffff007f5a868: a1ffffb5  cbnz	x1, #0xfffffff007f5a85c
0xfffffff007f5a86c: c85282b9  ldrsw	x8, [x22, #0x250]
0xfffffff007f5a870: c80e088b  add	x8, x22, x8, lsl #3
0xfffffff007f5a874: 181901f9  str	x24, [x8, #0x230]
0xfffffff007f5a878: c85242b9  ldr	w8, [x22, #0x250]
0xfffffff007f5a87c: 08050011  add	w8, w8, #1
0xfffffff007f5a880: e903086b  negs	w9, w8
0xfffffff007f5a884: 29050012  and	w9, w9, #3
0xfffffff007f5a888: 08050012  and	w8, w8, #3
0xfffffff007f5a88c: 0845895a  csneg	w8, w8, w9, mi
0xfffffff007f5a890: c85202b9  str	w8, [x22, #0x250]
0xfffffff007f5a894: a81a44b9  ldr	w8, [x21, #0x418]
0xfffffff007f5a898: c9a20091  add	x9, x22, #0x28
0xfffffff007f5a89c: e20308aa  mov	x2, x8
0xfffffff007f5a8a0: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007f5a8a4: 5f00086b  cmp	w2, w8
0xfffffff007f5a8a8: a1060054  b.ne	#0xfffffff007f5a97c
0xfffffff007f5a8ac: e00313aa  mov	x0, x19
0xfffffff007f5a8b0: f2b50094  bl	#0xfffffff007f88078
0xfffffff007f5a8b4: a0040034  cbz	w0, #0xfffffff007f5a948
0xfffffff007f5a8b8: 2888ffd0  adrp	x8, #0xfffffff007060000
0xfffffff007f5a8bc: 08e51e91  add	x8, x8, #0x7b9
0xfffffff007f5a8c0: 89d88052  mov	w9, #0x6c4
0xfffffff007f5a8c4: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff007f5a8c8: 2888ffd0  adrp	x8, #0xfffffff007060000
0xfffffff007f5a8cc: 08cd3891  add	x8, x8, #0xe33
0xfffffff007f5a8d0: f30301a9  stp	x19, x0, [sp, #0x10]
0xfffffff007f5a8d4: e82700a9  stp	x8, x9, [sp]
0xfffffff007f5a8d8: 2088ffd0  adrp	x0, #0xfffffff007060000
0xfffffff007f5a8dc: 00203991  add	x0, x0, #0xe48
0xfffffff007f5a8e0: 0be71494  bl	#0xfffffff00849450c
0xfffffff007f5a8e4: e10319aa  mov	x1, x25
0xfffffff007f5a8e8: 19f7ffb4  cbz	x25, #0xfffffff007f5a7c8
0xfffffff007f5a8ec: 390840f9  ldr	x25, [x1, #0x10]
0xfffffff007f5a8f0: 28c04039  ldrb	w8, [x1, #0x30]
0xfffffff007f5a8f4: 1f050072  tst	w8, #3
0xfffffff007f5a8f8: 61ffff54  b.ne	#0xfffffff007f5a8e4
0xfffffff007f5a8fc: e00317aa  mov	x0, x23
0xfffffff007f5a900: 8a000094  bl	#0xfffffff007f5ab28
0xfffffff007f5a904: f8ffff17  b	#0xfffffff007f5a8e4
0xfffffff007f5a908: c85282b9  ldrsw	x8, [x22, #0x250]
0xfffffff007f5a90c: c80e088b  add	x8, x22, x8, lsl #3
0xfffffff007f5a910: 181901f9  str	x24, [x8, #0x230]
0xfffffff007f5a914: c85242b9  ldr	w8, [x22, #0x250]
0xfffffff007f5a918: 08050011  add	w8, w8, #1
0xfffffff007f5a91c: e903086b  negs	w9, w8
0xfffffff007f5a920: 29050012  and	w9, w9, #3
0xfffffff007f5a924: 08050012  and	w8, w8, #3
0xfffffff007f5a928: 0845895a  csneg	w8, w8, w9, mi
0xfffffff007f5a92c: c85202b9  str	w8, [x22, #0x250]
0xfffffff007f5a930: a81a44b9  ldr	w8, [x21, #0x418]
0xfffffff007f5a934: c9a20091  add	x9, x22, #0x28
0xfffffff007f5a938: e20308aa  mov	x2, x8
0xfffffff007f5a93c: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007f5a940: 5f00086b  cmp	w2, w8
0xfffffff007f5a944: 41020054  b.ne	#0xfffffff007f5a98c
0xfffffff007f5a948: 00008052  mov	w0, #0
0xfffffff007f5a94c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff007f5a950: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff007f5a954: f65745a9  ldp	x22, x21, [sp, #0x50]
