; Candidate 16618
; ADRP+ADD at VM 0xfffffff009f030a0 (fileoff 0x2eff0a0): page=0x1fd94f000 add_imm=0xd8c

0xfffffff009f03020: e9bf40f9  ldr	x9, [sp, #0x178]
0xfffffff009f03024: e98302a9  stp	x9, x0, [sp, #0x28]
0xfffffff009f03028: e8d301a9  stp	x8, x20, [sp, #0x18]
0xfffffff009f0302c: 68cafef0  adrp	x8, #0xfffffff007852000
0xfffffff009f03030: 08992991  add	x8, x8, #0xa66
0xfffffff009f03034: 49d48952  mov	w9, #0x4ea2
0xfffffff009f03038: 60cafef0  adrp	x0, #0xfffffff007852000
0xfffffff009f0303c: 00003591  add	x0, x0, #0xd40
0xfffffff009f03040: e9db00a9  stp	x9, x22, [sp, #8]
0xfffffff009f03044: e80300f9  str	x8, [sp]
0xfffffff009f03048: 1ff2fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f0304c: e8db40b9  ldr	w8, [sp, #0xd8]
0xfffffff009f03050: 08030034  cbz	w8, #0xfffffff009f030b0
0xfffffff009f03054: a1035af8  ldur	x1, [x29, #-0x60]
0xfffffff009f03058: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff009f0305c: e00313aa  mov	x0, x19
0xfffffff009f03060: f47b40f9  ldr	x20, [sp, #0xf0]
0xfffffff009f03064: e20314aa  mov	x2, x20
0xfffffff009f03068: f7d74ca9  ldp	x23, x21, [sp, #0xc8]
0xfffffff009f0306c: e30315aa  mov	x3, x21
0xfffffff009f03070: e40317aa  mov	x4, x23
0xfffffff009f03074: 25008052  mov	w5, #1
0xfffffff009f03078: 06008012  mov	w6, #-1
0xfffffff009f0307c: 07008052  mov	w7, #0
0xfffffff009f03080: d3a4ff97  bl	#0xfffffff009eec3cc
0xfffffff009f03084: 80010034  cbz	w0, #0xfffffff009f030b4
0xfffffff009f03088: f70302a9  stp	x23, x0, [sp, #0x20]
0xfffffff009f0308c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009f03090: 68cafef0  adrp	x8, #0xfffffff007852000
0xfffffff009f03094: 08992991  add	x8, x8, #0xa66
0xfffffff009f03098: 09d58952  mov	w9, #0x4ea8
0xfffffff009f0309c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f030a0: 60cafef0  adrp	x0, #0xfffffff007852000
0xfffffff009f030a4: 00303691  add	x0, x0, #0xd8c
0xfffffff009f030a8: 07f2fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f030ac: 02000014  b	#0xfffffff009f030b4
0xfffffff009f030b0: f47b40f9  ldr	x20, [sp, #0xf0]
0xfffffff009f030b4: f52341b9  ldr	w21, [sp, #0x120]
0xfffffff009f030b8: e1bf41b9  ldr	w1, [sp, #0x1bc]
0xfffffff009f030bc: 3f040031  cmn	w1, #1
0xfffffff009f030c0: 80000054  b.eq	#0xfffffff009f030d0
0xfffffff009f030c4: 08208452  mov	w8, #0x2100
0xfffffff009f030c8: 6002088b  add	x0, x19, x8
0xfffffff009f030cc: 84a2ff97  bl	#0xfffffff009eebadc
0xfffffff009f030d0: a4035af8  ldur	x4, [x29, #-0x60]
0xfffffff009f030d4: 9f0000f1  cmp	x4, #0
0xfffffff009f030d8: e8179f1a  cset	w8, eq
0xfffffff009f030dc: a9020052  eor	w9, w21, #1
0xfffffff009f030e0: 2801082a  orr	w8, w9, w8
0xfffffff009f030e4: c8000037  tbnz	w8, #0, #0xfffffff009f030fc
0xfffffff009f030e8: e00313aa  mov	x0, x19
0xfffffff009f030ec: 21008052  mov	w1, #1
0xfffffff009f030f0: e30b4ea9  ldp	x3, x2, [sp, #0xe0]
0xfffffff009f030f4: 05008052  mov	w5, #0
0xfffffff009f030f8: bfbdff97  bl	#0xfffffff009ef27f4
0xfffffff009f030fc: f4d8ffb4  cbz	x20, #0xfffffff009f02c18
0xfffffff009f03100: e00314aa  mov	x0, x20
0xfffffff009f03104: cfcf0094  bl	#0xfffffff009f37040
0xfffffff009f03108: c4feff17  b	#0xfffffff009f02c18
0xfffffff009f0310c: f60318aa  mov	x22, x24
0xfffffff009f03110: 9f0b0071  cmp	w28, #2
0xfffffff009f03114: 21010054  b.ne	#0xfffffff009f03138
0xfffffff009f03118: 190080d2  mov	x25, #0
0xfffffff009f0311c: 180080d2  mov	x24, #0
