; Candidate 6064
; ADRP+ADD at VM 0xfffffff008812210 (fileoff 0x180e210): page=0x1fe9d7000 add_imm=0xe80

0xfffffff008812190: 68323d91  add	x8, x19, #0xf4c
0xfffffff008812194: 4801889a  csel	x8, x10, x8, eq
0xfffffff008812198: 08014039  ldrb	w8, [x8]
0xfffffff00881219c: 68323d39  strb	w8, [x19, #0xf4c]
0xfffffff0088121a0: 80c2ca3c  ldur	q0, [x20, #0xac]
0xfffffff0088121a4: 81c2c93c  ldur	q1, [x20, #0x9c]
0xfffffff0088121a8: 618206ad  stp	q1, q0, [x19, #0xd0]
0xfffffff0088121ac: 80c2cb3c  ldur	q0, [x20, #0xbc]
0xfffffff0088121b0: 81c2cc3c  ldur	q1, [x20, #0xcc]
0xfffffff0088121b4: 82c2cd3c  ldur	q2, [x20, #0xdc]
0xfffffff0088121b8: 88ee40b9  ldr	w8, [x20, #0xec]
0xfffffff0088121bc: 682201b9  str	w8, [x19, #0x120]
0xfffffff0088121c0: 610a08ad  stp	q1, q2, [x19, #0x100]
0xfffffff0088121c4: 603e803d  str	q0, [x19, #0xf0]
0xfffffff0088121c8: 280d40b9  ldr	w8, [x9, #0xc]
0xfffffff0088121cc: 68520fb9  str	w8, [x19, #0xf50]
0xfffffff0088121d0: 19000014  b	#0xfffffff008812234
0xfffffff0088121d4: f6870294  bl	#0xfffffff0088b41ac
0xfffffff0088121d8: f60300aa  mov	x22, x0
0xfffffff0088121dc: 80008052  mov	w0, #4
0xfffffff0088121e0: 9ca50194  bl	#0xfffffff00887b850
0xfffffff0088121e4: f3d303a9  stp	x19, x20, [sp, #0x38]
0xfffffff0088121e8: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff0088121ec: 08911791  add	x8, x8, #0x5e4
0xfffffff0088121f0: c9568052  mov	w9, #0x2b6
0xfffffff0088121f4: e8d702a9  stp	x8, x21, [sp, #0x28]
0xfffffff0088121f8: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff0088121fc: 08ed1691  add	x8, x8, #0x5bb
0xfffffff008812200: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008812204: 880e8052  mov	w8, #0x74
0xfffffff008812208: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881220c: f60300f9  str	x22, [sp]
0xfffffff008812210: a04efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008812214: 00003a91  add	x0, x0, #0xe80
0xfffffff008812218: a18fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881221c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008812220: a351ffb0  adrp	x3, #0xfffffff007247000
0xfffffff008812224: 63482c91  add	x3, x3, #0xb12
0xfffffff008812228: 02008052  mov	w2, #0
0xfffffff00881222c: c183ec97  bl	#0xfffffff008333130
0xfffffff008812230: 007d8012  mov	w0, #-0x3e9
0xfffffff008812234: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008812238: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00881223c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008812240: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008812244: ff430291  add	sp, sp, #0x90
0xfffffff008812248: ff0f5fd6  retab	
0xfffffff00881224c: 800e8052  mov	w0, #0x74
0xfffffff008812250: 81008052  mov	w1, #4
0xfffffff008812254: 5fa50194  bl	#0xfffffff00887b7d0
0xfffffff008812258: a0060034  cbz	w0, #0xfffffff00881232c
0xfffffff00881225c: 800e8052  mov	w0, #0x74
0xfffffff008812260: 6ea50194  bl	#0xfffffff00887b818
0xfffffff008812264: f70300aa  mov	x23, x0
0xfffffff008812268: d1870294  bl	#0xfffffff0088b41ac
0xfffffff00881226c: f60300aa  mov	x22, x0
0xfffffff008812270: 80008052  mov	w0, #4
0xfffffff008812274: 77a50194  bl	#0xfffffff00887b850
0xfffffff008812278: 77020034  cbz	w23, #0xfffffff0088122c4
0xfffffff00881227c: a85a40b9  ldr	w8, [x21, #0x58]
0xfffffff008812280: 69c640b9  ldr	w9, [x19, #0xc4]
0xfffffff008812284: 8a0e41b9  ldr	w10, [x20, #0x10c]
0xfffffff008812288: e92b04a9  stp	x9, x10, [sp, #0x40]
0xfffffff00881228c: f52303a9  stp	x21, x8, [sp, #0x30]
