; Candidate 13335
; ADRP+ADD at VM 0xfffffff009295680 (fileoff 0x2291680): page=0x1fe22e000 add_imm=0xd9f

0xfffffff009295600: 08e4002f  movi	d8, #0000000000000000
0xfffffff009295604: 0041601e  fmov	d0, d8
0xfffffff009295608: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff00929560c: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff009295610: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff009295614: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff009295618: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff00929561c: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff009295620: e923456d  ldp	d9, d8, [sp, #0x50]
0xfffffff009295624: eb2b446d  ldp	d11, d10, [sp, #0x40]
0xfffffff009295628: ed33436d  ldp	d13, d12, [sp, #0x30]
0xfffffff00929562c: ef3b426d  ldp	d15, d14, [sp, #0x20]
0xfffffff009295630: ff030391  add	sp, sp, #0xc0
0xfffffff009295634: ff0f5fd6  retab	
0xfffffff009295638: 7f2303d5  pacibsp	
0xfffffff00929563c: ff8303d1  sub	sp, sp, #0xe0
0xfffffff009295640: ed33056d  stp	d13, d12, [sp, #0x50]
0xfffffff009295644: eb2b066d  stp	d11, d10, [sp, #0x60]
0xfffffff009295648: e923076d  stp	d9, d8, [sp, #0x70]
0xfffffff00929564c: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff009295650: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff009295654: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff009295658: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff00929565c: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff009295660: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff009295664: fd430391  add	x29, sp, #0xd0
0xfffffff009295668: e51b04a9  stp	x5, x6, [sp, #0x40]
0xfffffff00929566c: f50304aa  mov	x21, x4
0xfffffff009295670: f30303aa  mov	x19, x3
0xfffffff009295674: e23f00b9  str	w2, [sp, #0x3c]
0xfffffff009295678: f90301aa  mov	x25, x1
0xfffffff00929567c: f70300aa  mov	x23, x0
0xfffffff009295680: 6011ffd0  adrp	x0, #0xfffffff0074c3000
0xfffffff009295684: 007c3691  add	x0, x0, #0xd9f
0xfffffff009295688: 6606c397  bl	#0xfffffff008357020
0xfffffff00929568c: 20008052  mov	w0, #1
0xfffffff009295690: 7f060071  cmp	w19, #1
0xfffffff009295694: 2b0a0054  b.lt	#0xfffffff0092957d8
0xfffffff009295698: 1c0080d2  mov	x28, #0
0xfffffff00929569c: 0820d91a  lsl	w8, w0, w25
0xfffffff0092956a0: 0a01621e  scvtf	d10, w8
0xfffffff0092956a4: 687a1f53  lsl	w8, w19, #1
0xfffffff0092956a8: 6906130b  add	w9, w19, w19, lsl #1
0xfffffff0092956ac: ea03132a  mov	w10, w19
0xfffffff0092956b0: ea1b00f9  str	x10, [sp, #0x30]
0xfffffff0092956b4: 4a11fff0  adrp	x10, #0xfffffff0074c0000
0xfffffff0092956b8: bbce298b  add	x27, x21, w9, sxtw #3
0xfffffff0092956bc: 4b2945fd  ldr	d11, [x10, #0xa50]
0xfffffff0092956c0: b9ce288b  add	x25, x21, w8, sxtw #3
0xfffffff0092956c4: 0c10621e  fmov	d12, #4.00000000
0xfffffff0092956c8: ba4e338b  add	x26, x21, w19, uxtw #3
0xfffffff0092956cc: f62340f9  ldr	x22, [sp, #0x40]
0xfffffff0092956d0: 7811ffd0  adrp	x24, #0xfffffff0074c3000
0xfffffff0092956d4: 18b33691  add	x24, x24, #0xdac
0xfffffff0092956d8: f30300aa  mov	x19, x0
0xfffffff0092956dc: a07a7cfc  ldr	d0, [x21, x28, lsl #3]
0xfffffff0092956e0: 00086b1e  fmul	d0, d0, d11
0xfffffff0092956e4: 417b7cfc  ldr	d1, [x26, x28, lsl #3]
0xfffffff0092956e8: 21086b1e  fmul	d1, d1, d11
0xfffffff0092956ec: 9f0300f1  cmp	x28, #0
0xfffffff0092956f0: e2179f1a  cset	w2, eq
0xfffffff0092956f4: e00317aa  mov	x0, x23
0xfffffff0092956f8: f43f40b9  ldr	w20, [sp, #0x3c]
0xfffffff0092956fc: e10314aa  mov	x1, x20
