; Candidate 7201
; ADRP+ADD at VM 0xfffffff00885ef0c (fileoff 0x185af0c): page=0x1fe98b000 add_imm=0xe80

0xfffffff00885ee8c: 0815889a  cinc	x8, x8, eq
0xfffffff00885ee90: 0a5f8e52  mov	w10, #0x72f8
0xfffffff00885ee94: 6a00a072  movk	w10, #3, lsl #16
0xfffffff00885ee98: 3f010a6a  tst	w9, w10
0xfffffff00885ee9c: 08019f9a  csel	x8, x8, xzr, eq
0xfffffff00885eea0: 080b088b  add	x8, x24, x8, lsl #2
0xfffffff00885eea4: 098d40b9  ldr	w9, [x8, #0x8c]
0xfffffff00885eea8: 29050051  sub	w9, w9, #1
0xfffffff00885eeac: 098d00b9  str	w9, [x8, #0x8c]
0xfffffff00885eeb0: 1dffff17  b	#0xfffffff00885eb24
0xfffffff00885eeb4: be540194  bl	#0xfffffff0088b41ac
0xfffffff00885eeb8: f90300aa  mov	x25, x0
0xfffffff00885eebc: 80008052  mov	w0, #4
0xfffffff00885eec0: 64720094  bl	#0xfffffff00887b850
0xfffffff00885eec4: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885eec8: fc6b05a9  stp	x28, x26, [sp, #0x50]
0xfffffff00885eecc: 09018052  mov	w9, #8
0xfffffff00885eed0: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff00885eed4: 284effd0  adrp	x8, #0xfffffff007224000
0xfffffff00885eed8: 08691491  add	x8, x8, #0x51a
0xfffffff00885eedc: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00885eee0: e8478052  mov	w8, #0x23f
0xfffffff00885eee4: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885eee8: 29792491  add	x9, x9, #0x91e
0xfffffff00885eeec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885eef0: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885eef4: 08811191  add	x8, x8, #0x460
0xfffffff00885eef8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885eefc: 880c8052  mov	w8, #0x64
0xfffffff00885ef00: a34ffff0  adrp	x3, #0xfffffff007255000
0xfffffff00885ef04: 63bc2191  add	x3, x3, #0x86f
0xfffffff00885ef08: f92300a9  stp	x25, x8, [sp]
0xfffffff00885ef0c: 404cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885ef10: 00003a91  add	x0, x0, #0xe80
0xfffffff00885ef14: 418dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885ef18: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885ef1c: 02008052  mov	w2, #0
0xfffffff00885ef20: 8450eb97  bl	#0xfffffff008333130
0xfffffff00885ef24: 1f000014  b	#0xfffffff00885efa0
0xfffffff00885ef28: a1540194  bl	#0xfffffff0088b41ac
0xfffffff00885ef2c: fb0300aa  mov	x27, x0
0xfffffff00885ef30: 80008052  mov	w0, #4
0xfffffff00885ef34: 47720094  bl	#0xfffffff00887b850
0xfffffff00885ef38: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885ef3c: 29ab43b9  ldr	w9, [x25, #0x3a8]
0xfffffff00885ef40: f92706a9  stp	x25, x9, [sp, #0x60]
0xfffffff00885ef44: fc6b05a9  stp	x28, x26, [sp, #0x50]
0xfffffff00885ef48: 09018052  mov	w9, #8
0xfffffff00885ef4c: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff00885ef50: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885ef54: 08c93291  add	x8, x8, #0xcb2
0xfffffff00885ef58: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00885ef5c: 88488052  mov	w8, #0x244
0xfffffff00885ef60: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885ef64: 29792491  add	x9, x9, #0x91e
0xfffffff00885ef68: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885ef6c: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885ef70: 08811191  add	x8, x8, #0x460
0xfffffff00885ef74: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885ef78: 880c8052  mov	w8, #0x64
0xfffffff00885ef7c: a34ffff0  adrp	x3, #0xfffffff007255000
0xfffffff00885ef80: 63b82291  add	x3, x3, #0x8ae
0xfffffff00885ef84: fb2300a9  stp	x27, x8, [sp]
0xfffffff00885ef88: 404cfff0  adrp	x0, #0xfffffff0071e9000
