; Candidate 7706
; ADRP+ADD at VM 0xfffffff00887a29c (fileoff 0x187629c): page=0x1fe96f000 add_imm=0xe80

0xfffffff00887a21c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00887a220: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff00887a224: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00887a228: 884dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff00887a22c: 080d2691  add	x8, x8, #0x983
0xfffffff00887a230: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00887a234: 884dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff00887a238: 08053c91  add	x8, x8, #0xf01
0xfffffff00887a23c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887a240: a80b8052  mov	w8, #0x5d
0xfffffff00887a244: 804dffb0  adrp	x0, #0xfffffff00722b000
0xfffffff00887a248: 00582591  add	x0, x0, #0x956
0xfffffff00887a24c: f72300a9  stp	x23, x8, [sp]
0xfffffff00887a250: 84f4d497  bl	#0xfffffff007db7460
0xfffffff00887a254: 1a000014  b	#0xfffffff00887a2bc
0xfffffff00887a258: d5e70094  bl	#0xfffffff0088b41ac
0xfffffff00887a25c: f70300aa  mov	x23, x0
0xfffffff00887a260: 00018052  mov	w0, #8
0xfffffff00887a264: 7b050094  bl	#0xfffffff00887b850
0xfffffff00887a268: e80316aa  mov	x8, x22
0xfffffff00887a26c: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff00887a270: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff00887a274: e80314aa  mov	x8, x20
0xfffffff00887a278: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff00887a27c: 884dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff00887a280: 080d2691  add	x8, x8, #0x983
0xfffffff00887a284: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00887a288: 884dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff00887a28c: 08053c91  add	x8, x8, #0xf01
0xfffffff00887a290: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887a294: a80b8052  mov	w8, #0x5d
0xfffffff00887a298: f72300a9  stp	x23, x8, [sp]
0xfffffff00887a29c: 604bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887a2a0: 00003a91  add	x0, x0, #0xe80
0xfffffff00887a2a4: 618cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00887a2a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887a2ac: 034fff90  adrp	x3, #0xfffffff00725a000
0xfffffff00887a2b0: 63f41b91  add	x3, x3, #0x6fd
0xfffffff00887a2b4: 02008052  mov	w2, #0
0xfffffff00887a2b8: 9ee3ea97  bl	#0xfffffff008333130
0xfffffff00887a2bc: 88060051  sub	w8, w20, #1
0xfffffff00887a2c0: 1f190071  cmp	w8, #6
0xfffffff00887a2c4: 28050054  b.hi	#0xfffffff00887a368
0xfffffff00887a2c8: 150500b4  cbz	x21, #0xfffffff00887a368
0xfffffff00887a2cc: e00313aa  mov	x0, x19
0xfffffff00887a2d0: e10315aa  mov	x1, x21
0xfffffff00887a2d4: 48010094  bl	#0xfffffff00887a7f4
0xfffffff00887a2d8: 400700b4  cbz	x0, #0xfffffff00887a3c0
0xfffffff00887a2dc: f70300aa  mov	x23, x0
0xfffffff00887a2e0: a00b8052  mov	w0, #0x5d
0xfffffff00887a2e4: e1008052  mov	w1, #7
0xfffffff00887a2e8: 3a050094  bl	#0xfffffff00887b7d0
0xfffffff00887a2ec: c00a0036  tbz	w0, #0, #0xfffffff00887a444
0xfffffff00887a2f0: a00b8052  mov	w0, #0x5d
0xfffffff00887a2f4: 49050094  bl	#0xfffffff00887b818
0xfffffff00887a2f8: f90300aa  mov	x25, x0
0xfffffff00887a2fc: ace70094  bl	#0xfffffff0088b41ac
0xfffffff00887a300: f80300aa  mov	x24, x0
0xfffffff00887a304: e0008052  mov	w0, #7
0xfffffff00887a308: 52050094  bl	#0xfffffff00887b850
0xfffffff00887a30c: d90d0034  cbz	w25, #0xfffffff00887a4c4
0xfffffff00887a310: f903142a  mov	w25, w20
0xfffffff00887a314: 684a348b  add	x8, x19, w20, uxtw #2
0xfffffff00887a318: 089141b9  ldr	w8, [x8, #0x190]
