; Candidate 7005
; ADRP+ADD at VM 0xfffffff008850024 (fileoff 0x184c024): page=0x1fe999000 add_imm=0xe80

0xfffffff00884ffa4: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff00884ffa8: c1008052  mov	w1, #6
0xfffffff00884ffac: 04008012  mov	w4, #-1
0xfffffff00884ffb0: 050080d2  mov	x5, #0
0xfffffff00884ffb4: d4b7e497  bl	#0xfffffff00817df04
0xfffffff00884ffb8: dafeff17  b	#0xfffffff00884fb20
0xfffffff00884ffbc: 7c900194  bl	#0xfffffff0088b41ac
0xfffffff00884ffc0: f70300aa  mov	x23, x0
0xfffffff00884ffc4: 80008052  mov	w0, #4
0xfffffff00884ffc8: 22ae0094  bl	#0xfffffff00887b850
0xfffffff00884ffcc: e80316aa  mov	x8, x22
0xfffffff00884ffd0: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00884ffd4: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff00884ffd8: 4b5b40b9  ldr	w11, [x26, #0x58]
0xfffffff00884ffdc: f5a306a9  stp	x21, x8, [sp, #0x68]
0xfffffff00884ffe0: faaf05a9  stp	x26, x11, [sp, #0x58]
0xfffffff00884ffe4: f4ab04a9  stp	x20, x10, [sp, #0x48]
0xfffffff00884ffe8: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff00884ffec: 084effb0  adrp	x8, #0xfffffff007210000
0xfffffff00884fff0: 08b92791  add	x8, x8, #0x9ee
0xfffffff00884fff4: e81b00f9  str	x8, [sp, #0x30]
0xfffffff00884fff8: e84a8052  mov	w8, #0x257
0xfffffff00884fffc: a94efff0  adrp	x9, #0xfffffff007226000
0xfffffff008850000: 29b11591  add	x9, x9, #0x56c
0xfffffff008850004: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008850008: a84efff0  adrp	x8, #0xfffffff007227000
0xfffffff00885000c: 08811191  add	x8, x8, #0x460
0xfffffff008850010: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008850014: e80d8052  mov	w8, #0x6f
0xfffffff008850018: 0350ffd0  adrp	x3, #0xfffffff007252000
0xfffffff00885001c: 63a82491  add	x3, x3, #0x92a
0xfffffff008850020: f72300a9  stp	x23, x8, [sp]
0xfffffff008850024: c04cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008850028: 00003a91  add	x0, x0, #0xe80
0xfffffff00885002c: c18dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008850030: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008850034: 02008052  mov	w2, #0
0xfffffff008850038: 3e8ceb97  bl	#0xfffffff008333130
0xfffffff00885003c: b4feff17  b	#0xfffffff00884fb0c
0xfffffff008850040: 5b900194  bl	#0xfffffff0088b41ac
0xfffffff008850044: f70300aa  mov	x23, x0
0xfffffff008850048: 80008052  mov	w0, #4
0xfffffff00885004c: 01ae0094  bl	#0xfffffff00887b850
0xfffffff008850050: e80316aa  mov	x8, x22
0xfffffff008850054: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008850058: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff00885005c: 4b5b40b9  ldr	w11, [x26, #0x58]
0xfffffff008850060: cc008052  mov	w12, #6
0xfffffff008850064: ec2307a9  stp	x12, x8, [sp, #0x70]
0xfffffff008850068: eb5706a9  stp	x11, x21, [sp, #0x60]
0xfffffff00885006c: ea6b05a9  stp	x10, x26, [sp, #0x50]
0xfffffff008850070: e95304a9  stp	x9, x20, [sp, #0x40]
0xfffffff008850074: 084eff90  adrp	x8, #0xfffffff007210000
0xfffffff008850078: 08b92791  add	x8, x8, #0x9ee
0xfffffff00885007c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008850080: 284c8052  mov	w8, #0x261
0xfffffff008850084: a94effd0  adrp	x9, #0xfffffff007226000
0xfffffff008850088: 29b11591  add	x9, x9, #0x56c
0xfffffff00885008c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008850090: a84efff0  adrp	x8, #0xfffffff007227000
0xfffffff008850094: 08811191  add	x8, x8, #0x460
0xfffffff008850098: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885009c: e80d8052  mov	w8, #0x6f
0xfffffff0088500a0: 0350ffd0  adrp	x3, #0xfffffff007252000
