; Candidate 10213
; ADRP+ADD at VM 0xfffffff008cc3880 (fileoff 0x1cbf880): page=0x1fe69c000 add_imm=0xe79

0xfffffff008cc3800: e84f00a9  stp	x8, x19, [sp]
0xfffffff008cc3804: e034ff90  adrp	x0, #0xfffffff00735f000
0xfffffff008cc3808: 00c83291  add	x0, x0, #0xcb2
0xfffffff008cc380c: 51afde97  bl	#0xfffffff00846f550
0xfffffff008cc3810: c80240b9  ldr	w8, [x22]
0xfffffff008cc3814: a8000836  tbz	w8, #1, #0xfffffff008cc3828
0xfffffff008cc3818: f30300f9  str	x19, [sp]
0xfffffff008cc381c: e034ff90  adrp	x0, #0xfffffff00735f000
0xfffffff008cc3820: 00e03391  add	x0, x0, #0xcf8
0xfffffff008cc3824: ff4dda97  bl	#0xfffffff008357020
0xfffffff008cc3828: c80240b9  ldr	w8, [x22]
0xfffffff008cc382c: 88312037  tbnz	w8, #4, #0xfffffff008cc3e5c
0xfffffff008cc3830: a6010014  b	#0xfffffff008cc3ec8
0xfffffff008cc3834: 94240035  cbnz	w20, #0xfffffff008cc3cc4
0xfffffff008cc3838: c80240b9  ldr	w8, [x22]
0xfffffff008cc383c: 48032036  tbz	w8, #4, #0xfffffff008cc38a4
0xfffffff008cc3840: 09050012  and	w9, w8, #3
0xfffffff008cc3844: 09030034  cbz	w9, #0xfffffff008cc38a4
0xfffffff008cc3848: 48020036  tbz	w8, #0, #0xfffffff008cc3890
0xfffffff008cc384c: a142c897  bl	#0xfffffff007ed42d0
0xfffffff008cc3850: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff008cc3854: e1830091  add	x1, sp, #0x20
0xfffffff008cc3858: fa43c897  bl	#0xfffffff007ed4840
0xfffffff008cc385c: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff008cc3860: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cc3864: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cc3868: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cc386c: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cc3870: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cc3874: 087dc99b  umulh	x8, x8, x9
0xfffffff008cc3878: 08fd44d3  lsr	x8, x8, #4
0xfffffff008cc387c: e80300f9  str	x8, [sp]
0xfffffff008cc3880: e034ff90  adrp	x0, #0xfffffff00735f000
0xfffffff008cc3884: 00e43991  add	x0, x0, #0xe79
0xfffffff008cc3888: 32afde97  bl	#0xfffffff00846f550
0xfffffff008cc388c: c80240b9  ldr	w8, [x22]
0xfffffff008cc3890: a8000836  tbz	w8, #1, #0xfffffff008cc38a4
0xfffffff008cc3894: e034ff90  adrp	x0, #0xfffffff00735f000
0xfffffff008cc3898: 003c3b91  add	x0, x0, #0xecf
0xfffffff008cc389c: e14dda97  bl	#0xfffffff008357020
0xfffffff008cc38a0: c80240b9  ldr	w8, [x22]
0xfffffff008cc38a4: 68072036  tbz	w8, #4, #0xfffffff008cc3990
0xfffffff008cc38a8: 09050012  and	w9, w8, #3
0xfffffff008cc38ac: 29070034  cbz	w9, #0xfffffff008cc3990
0xfffffff008cc38b0: 68040036  tbz	w8, #0, #0xfffffff008cc393c
0xfffffff008cc38b4: 8742c897  bl	#0xfffffff007ed42d0
0xfffffff008cc38b8: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff008cc38bc: e1830091  add	x1, sp, #0x20
0xfffffff008cc38c0: e043c897  bl	#0xfffffff007ed4840
0xfffffff008cc38c4: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff008cc38c8: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cc38cc: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cc38d0: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cc38d4: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cc38d8: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cc38dc: 087dc99b  umulh	x8, x8, x9
0xfffffff008cc38e0: 14fd44d3  lsr	x20, x8, #4
0xfffffff008cc38e4: 601e47f9  ldr	x0, [x19, #0xe38]
0xfffffff008cc38e8: 100040f9  ldr	x16, [x0]
0xfffffff008cc38ec: f10300aa  mov	x17, x0
0xfffffff008cc38f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cc38f4: 301ac1da  autda	x16, x17
0xfffffff008cc38f8: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff008cc38fc: e90310aa  mov	x9, x16
