; Candidate 9367
; ADRP+ADD at VM 0xfffffff008a31604 (fileoff 0x1a2d604): page=0x1fe868000 add_imm=0xe40

0xfffffff008a31584: 113d80d2  mov	x17, #0x1e8
0xfffffff008a31588: 1002118b  add	x16, x16, x17
0xfffffff008a3158c: 080240f9  ldr	x8, [x16]
0xfffffff008a31590: e90310aa  mov	x9, x16
0xfffffff008a31594: e00313aa  mov	x0, x19
0xfffffff008a31598: 010080d2  mov	x1, #0
0xfffffff008a3159c: f10309aa  mov	x17, x9
0xfffffff008a315a0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a315a4: 11093fd7  blraa	x8, x17
0xfffffff008a315a8: 6843ff90  adrp	x8, #0xfffffff00729d000
0xfffffff008a315ac: 08493591  add	x8, x8, #0xd52
0xfffffff008a315b0: ff0200f1  cmp	x23, #0
0xfffffff008a315b4: 6943ff90  adrp	x9, #0xfffffff00729d000
0xfffffff008a315b8: 29f93491  add	x9, x9, #0xd3e
0xfffffff008a315bc: 1401899a  csel	x20, x8, x9, eq
0xfffffff008a315c0: 700240f9  ldr	x16, [x19]
0xfffffff008a315c4: f10313aa  mov	x17, x19
0xfffffff008a315c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a315cc: 301ac1da  autda	x16, x17
0xfffffff008a315d0: f10310aa  mov	x17, x16
0xfffffff008a315d4: f147c1da  xpacd	x17
0xfffffff008a315d8: 1f0211eb  cmp	x16, x17
0xfffffff008a315dc: 40000054  b.eq	#0xfffffff008a315e4
0xfffffff008a315e0: 408e38d4  brk	#0xc472
0xfffffff008a315e4: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a315e8: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a315ec: e00313aa  mov	x0, x19
0xfffffff008a315f0: 010080d2  mov	x1, #0
0xfffffff008a315f4: f10308aa  mov	x17, x8
0xfffffff008a315f8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a315fc: 31093fd7  blraa	x9, x17
0xfffffff008a31600: e05300a9  stp	x0, x20, [sp]
0xfffffff008a31604: 4043ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a31608: 00003991  add	x0, x0, #0xe40
0xfffffff008a3160c: c180ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a31610: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a31614: 6343fff0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a31618: 63503e91  add	x3, x3, #0xf94
0xfffffff008a3161c: 02028052  mov	w2, #0x10
0xfffffff008a31620: c406e497  bl	#0xfffffff008333130
0xfffffff008a31624: 700240f9  ldr	x16, [x19]
0xfffffff008a31628: f10313aa  mov	x17, x19
0xfffffff008a3162c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a31630: 301ac1da  autda	x16, x17
0xfffffff008a31634: f10310aa  mov	x17, x16
0xfffffff008a31638: f147c1da  xpacd	x17
0xfffffff008a3163c: 1f0211eb  cmp	x16, x17
0xfffffff008a31640: 40000054  b.eq	#0xfffffff008a31648
0xfffffff008a31644: 408e38d4  brk	#0xc472
0xfffffff008a31648: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a3164c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a31650: e00313aa  mov	x0, x19
0xfffffff008a31654: 010080d2  mov	x1, #0
0xfffffff008a31658: f10308aa  mov	x17, x8
0xfffffff008a3165c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a31660: 31093fd7  blraa	x9, x17
0xfffffff008a31664: e05300a9  stp	x0, x20, [sp]
0xfffffff008a31668: 6043ff90  adrp	x0, #0xfffffff00729d000
0xfffffff008a3166c: 00e83991  add	x0, x0, #0xe7a
0xfffffff008a31670: cafcff17  b	#0xfffffff008a30998
0xfffffff008a31674: 19008052  mov	w25, #0
0xfffffff008a31678: 100340f9  ldr	x16, [x24]
0xfffffff008a3167c: f10318aa  mov	x17, x24
0xfffffff008a31680: 31b4f9f2  movk	x17, #0xcda1, lsl #48
