; Candidate 2497
; ADRP+ADD at VM 0xfffffff0086a31f4 (fileoff 0x169f1f4): page=0x1fea86000 add_imm=0xd53

0xfffffff0086a3174: f10308aa  mov	x17, x8
0xfffffff0086a3178: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086a317c: 31093fd7  blraa	x9, x17
0xfffffff0086a3180: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0086a3184: e0a301a9  stp	x0, x8, [sp, #0x18]
0xfffffff0086a3188: 2854ffd0  adrp	x8, #0xfffffff007129000
0xfffffff0086a318c: 08193591  add	x8, x8, #0xd46
0xfffffff0086a3190: 290c8052  mov	w9, #0x61
0xfffffff0086a3194: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff0086a3198: e80300f9  str	x8, [sp]
0xfffffff0086a319c: 2054ffd0  adrp	x0, #0xfffffff007129000
0xfffffff0086a31a0: 00143691  add	x0, x0, #0xd85
0xfffffff0086a31a4: 9fcff297  bl	#0xfffffff008357020
0xfffffff0086a31a8: 2c000014  b	#0xfffffff0086a3258
0xfffffff0086a31ac: a8e100d0  adrp	x8, #0xfffffff00a2d9000
0xfffffff0086a31b0: 08615a39  ldrb	w8, [x8, #0x698]
0xfffffff0086a31b4: 08050034  cbz	w8, #0xfffffff0086a3254
0xfffffff0086a31b8: e053ffd0  adrp	x0, #0xfffffff007121000
0xfffffff0086a31bc: 00400591  add	x0, x0, #0x150
0xfffffff0086a31c0: 019aff90  adrp	x1, #0xfffffff0079e3000
0xfffffff0086a31c4: 214847f9  ldr	x1, [x1, #0xe90]
0xfffffff0086a31c8: 0354ff90  adrp	x3, #0xfffffff007123000
0xfffffff0086a31cc: 63841391  add	x3, x3, #0x4e1
0xfffffff0086a31d0: 02008052  mov	w2, #0
0xfffffff0086a31d4: d73ff297  bl	#0xfffffff008333130
0xfffffff0086a31d8: a8e100d0  adrp	x8, #0xfffffff00a2d9000
0xfffffff0086a31dc: 08655a39  ldrb	w8, [x8, #0x699]
0xfffffff0086a31e0: a8030034  cbz	w8, #0xfffffff0086a3254
0xfffffff0086a31e4: 2854ffd0  adrp	x8, #0xfffffff007129000
0xfffffff0086a31e8: 08193591  add	x8, x8, #0xd46
0xfffffff0086a31ec: e90a8052  mov	w9, #0x57
0xfffffff0086a31f0: e82700a9  stp	x8, x9, [sp]
0xfffffff0086a31f4: 2054ffd0  adrp	x0, #0xfffffff007129000
0xfffffff0086a31f8: 004c3591  add	x0, x0, #0xd53
0xfffffff0086a31fc: 15000014  b	#0xfffffff0086a3250
0xfffffff0086a3200: a8e100d0  adrp	x8, #0xfffffff00a2d9000
0xfffffff0086a3204: 08615a39  ldrb	w8, [x8, #0x698]
0xfffffff0086a3208: 68020034  cbz	w8, #0xfffffff0086a3254
0xfffffff0086a320c: e053ffd0  adrp	x0, #0xfffffff007121000
0xfffffff0086a3210: 00400591  add	x0, x0, #0x150
0xfffffff0086a3214: 019aff90  adrp	x1, #0xfffffff0079e3000
0xfffffff0086a3218: 214847f9  ldr	x1, [x1, #0xe90]
0xfffffff0086a321c: 0354ff90  adrp	x3, #0xfffffff007123000
0xfffffff0086a3220: 63d01291  add	x3, x3, #0x4b4
0xfffffff0086a3224: 02008052  mov	w2, #0
0xfffffff0086a3228: c23ff297  bl	#0xfffffff008333130
0xfffffff0086a322c: a8e100d0  adrp	x8, #0xfffffff00a2d9000
0xfffffff0086a3230: 08655a39  ldrb	w8, [x8, #0x699]
0xfffffff0086a3234: 08010034  cbz	w8, #0xfffffff0086a3254
0xfffffff0086a3238: 2854ffd0  adrp	x8, #0xfffffff007129000
0xfffffff0086a323c: 08193591  add	x8, x8, #0xd46
0xfffffff0086a3240: 290a8052  mov	w9, #0x51
0xfffffff0086a3244: e82700a9  stp	x8, x9, [sp]
0xfffffff0086a3248: 2054ffd0  adrp	x0, #0xfffffff007129000
0xfffffff0086a324c: 00443491  add	x0, x0, #0xd11
0xfffffff0086a3250: 74cff297  bl	#0xfffffff008357020
0xfffffff0086a3254: 130080d2  mov	x19, #0
0xfffffff0086a3258: e00313aa  mov	x0, x19
0xfffffff0086a325c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0086a3260: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0086a3264: ff430191  add	sp, sp, #0x50
0xfffffff0086a3268: ff0f5fd6  retab	
0xfffffff0086a326c: 5f2403d5  bti	c
0xfffffff0086a3270: 000c40b9  ldr	w0, [x0, #0xc]
