; Candidate 2653
; ADRP+ADD at VM 0xfffffff0086d7128 (fileoff 0x16d3128): page=0x1fea5a000 add_imm=0xd90

0xfffffff0086d70a8: 08008012  mov	w8, #-1
0xfffffff0086d70ac: 082000b9  str	w8, [x0, #0x20]
0xfffffff0086d70b0: 1f1400f9  str	xzr, [x0, #0x28]
0xfffffff0086d70b4: c10200b4  cbz	x1, #0xfffffff0086d710c
0xfffffff0086d70b8: b50200b4  cbz	x21, #0xfffffff0086d710c
0xfffffff0086d70bc: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0086d70c0: 680200b4  cbz	x8, #0xfffffff0086d710c
0xfffffff0086d70c4: 89024039  ldrb	w9, [x20]
0xfffffff0086d70c8: a9060034  cbz	w9, #0xfffffff0086d719c
0xfffffff0086d70cc: 89064039  ldrb	w9, [x20, #1]
0xfffffff0086d70d0: 6a0a098b  add	x10, x19, x9, lsl #2
0xfffffff0086d70d4: 4a3140b9  ldr	w10, [x10, #0x30]
0xfffffff0086d70d8: 5f050031  cmn	w10, #1
0xfffffff0086d70dc: 40040054  b.eq	#0xfffffff0086d7164
0xfffffff0086d70e0: 4b7d4093  sxtw	x11, w10
0xfffffff0086d70e4: 0c068052  mov	w12, #0x30
0xfffffff0086d70e8: 6c210c9b  madd	x12, x11, x12, x8
0xfffffff0086d70ec: 8c2540b9  ldr	w12, [x12, #0x24]
0xfffffff0086d70f0: ac030034  cbz	w12, #0xfffffff0086d7164
0xfffffff0086d70f4: 14008052  mov	w20, #0
0xfffffff0086d70f8: 6a2200b9  str	w10, [x19, #0x20]
0xfffffff0086d70fc: 09068052  mov	w9, #0x30
0xfffffff0086d7100: 6821099b  madd	x8, x11, x9, x8
0xfffffff0086d7104: 681600f9  str	x8, [x19, #0x28]
0xfffffff0086d7108: 11000014  b	#0xfffffff0086d714c
0xfffffff0086d710c: 682a4039  ldrb	w8, [x19, #0xa]
0xfffffff0086d7110: c8010036  tbz	w8, #0, #0xfffffff0086d7148
0xfffffff0086d7114: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0086d7118: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff0086d711c: c853ff90  adrp	x8, #0xfffffff00714f000
0xfffffff0086d7120: 08350691  add	x8, x8, #0x18d
0xfffffff0086d7124: e85300a9  stp	x8, x20, [sp]
0xfffffff0086d7128: c052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086d712c: 00403691  add	x0, x0, #0xd90
0xfffffff0086d7130: 2199ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d7134: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d7138: c352fff0  adrp	x3, #0xfffffff007132000
0xfffffff0086d713c: 63183e91  add	x3, x3, #0xf86
0xfffffff0086d7140: 02008052  mov	w2, #0
0xfffffff0086d7144: fb6ff197  bl	#0xfffffff008333130
0xfffffff0086d7148: 14008012  mov	w20, #-1
0xfffffff0086d714c: e00314aa  mov	x0, x20
0xfffffff0086d7150: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0086d7154: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0086d7158: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0086d715c: ffc30191  add	sp, sp, #0x70
0xfffffff0086d7160: ff0f5fd6  retab	
0xfffffff0086d7164: 682a4039  ldrb	w8, [x19, #0xa]
0xfffffff0086d7168: 08ff0736  tbz	w8, #0, #0xfffffff0086d7148
0xfffffff0086d716c: c853ff90  adrp	x8, #0xfffffff00714f000
0xfffffff0086d7170: 08350691  add	x8, x8, #0x18d
0xfffffff0086d7174: e82700a9  stp	x8, x9, [sp]
0xfffffff0086d7178: c052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086d717c: 00403691  add	x0, x0, #0xd90
0xfffffff0086d7180: 2199ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d7184: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d7188: c352fff0  adrp	x3, #0xfffffff007132000
0xfffffff0086d718c: 63f83e91  add	x3, x3, #0xfbe
0xfffffff0086d7190: 02008052  mov	w2, #0
0xfffffff0086d7194: e76ff197  bl	#0xfffffff008333130
0xfffffff0086d7198: ecffff17  b	#0xfffffff0086d7148
0xfffffff0086d719c: e00313aa  mov	x0, x19
0xfffffff0086d71a0: 84feff97  bl	#0xfffffff0086d6bb0
0xfffffff0086d71a4: 602200b9  str	w0, [x19, #0x20]
