; Candidate 2171
; ADRP+ADD at VM 0xfffffff0085963c0 (fileoff 0x15923c0): page=0x1feb56000 add_imm=0xd28

0xfffffff008596340: 888b4494  bl	#0xfffffff0096b9160
0xfffffff008596344: b0a0ff90  adrp	x16, #0xfffffff0079aa000
0xfffffff008596348: 10222391  add	x16, x16, #0x8c8
0xfffffff00859634c: 10420091  add	x16, x16, #0x10
0xfffffff008596350: f10300aa  mov	x17, x0
0xfffffff008596354: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008596358: 300ac1da  pacda	x16, x17
0xfffffff00859635c: 100000f9  str	x16, [x0]
0xfffffff008596360: e00314aa  mov	x0, x20
0xfffffff008596364: 743bf597  bl	#0xfffffff0082e5134
0xfffffff008596368: e00313aa  mov	x0, x19
0xfffffff00859636c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008596370: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008596374: ff0f5fd6  retab	
0xfffffff008596378: 7f2303d5  pacibsp	
0xfffffff00859637c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008596380: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008596384: fd430091  add	x29, sp, #0x10
0xfffffff008596388: f30300aa  mov	x19, x0
0xfffffff00859638c: a8a0ff90  adrp	x8, #0xfffffff0079aa000
0xfffffff008596390: 08fd40f9  ldr	x8, [x8, #0x1f8]
0xfffffff008596394: 098d4bf8  ldr	x9, [x8, #0xb8]!
0xfffffff008596398: 010080d2  mov	x1, #0
0xfffffff00859639c: f10308aa  mov	x17, x8
0xfffffff0085963a0: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff0085963a4: 31093fd7  blraa	x9, x17
0xfffffff0085963a8: e0030034  cbz	w0, #0xfffffff008596424
0xfffffff0085963ac: 00038052  mov	w0, #0x18
0xfffffff0085963b0: 560a0094  bl	#0xfffffff008598d08
0xfffffff0085963b4: f40300aa  mov	x20, x0
0xfffffff0085963b8: 590a0094  bl	#0xfffffff008598d1c
0xfffffff0085963bc: 000300b4  cbz	x0, #0xfffffff00859641c
0xfffffff0085963c0: a05affd0  adrp	x0, #0xfffffff0070ec000
0xfffffff0085963c4: 00a03491  add	x0, x0, #0xd28
0xfffffff0085963c8: a15affd0  adrp	x1, #0xfffffff0070ec000
0xfffffff0085963cc: 21d83c91  add	x1, x1, #0xf36
0xfffffff0085963d0: 5473f697  bl	#0xfffffff008333120
0xfffffff0085963d4: 800a00f9  str	x0, [x20, #0x10]
0xfffffff0085963d8: e00000b4  cbz	x0, #0xfffffff0085963f4
0xfffffff0085963dc: 741607f9  str	x20, [x19, #0xe28]
0xfffffff0085963e0: 7f463839  strb	wzr, [x19, #0xe11]
0xfffffff0085963e4: 880c8052  mov	w8, #0x64
0xfffffff0085963e8: 68160eb9  str	w8, [x19, #0xe14]
0xfffffff0085963ec: 20008052  mov	w0, #1
0xfffffff0085963f0: 0d000014  b	#0xfffffff008596424
0xfffffff0085963f4: 900240f9  ldr	x16, [x20]
0xfffffff0085963f8: f10314aa  mov	x17, x20
0xfffffff0085963fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008596400: 301ac1da  autda	x16, x17
0xfffffff008596404: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008596408: e90310aa  mov	x9, x16
0xfffffff00859640c: e00314aa  mov	x0, x20
0xfffffff008596410: f10309aa  mov	x17, x9
0xfffffff008596414: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008596418: 11093fd7  blraa	x8, x17
0xfffffff00859641c: 00008052  mov	w0, #0
0xfffffff008596420: 7f1607f9  str	xzr, [x19, #0xe28]
0xfffffff008596424: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008596428: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00859642c: ff0f5fd6  retab	
0xfffffff008596430: 7f2303d5  pacibsp	
0xfffffff008596434: ff0301d1  sub	sp, sp, #0x40
0xfffffff008596438: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00859643c: fd7b03a9  stp	x29, x30, [sp, #0x30]
