; Candidate 8585
; ADRP+ADD at VM 0xfffffff0088b3708 (fileoff 0x18af708): page=0x1fe936000 add_imm=0xe80

0xfffffff0088b3688: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0088b368c: e90310aa  mov	x9, x16
0xfffffff0088b3690: f10309aa  mov	x17, x9
0xfffffff0088b3694: b14af4f2  movk	x17, #0xa255, lsl #48
0xfffffff0088b3698: 11093fd7  blraa	x8, x17
0xfffffff0088b369c: 600640f9  ldr	x0, [x19, #8]
0xfffffff0088b36a0: 100040f9  ldr	x16, [x0]
0xfffffff0088b36a4: f10300aa  mov	x17, x0
0xfffffff0088b36a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088b36ac: 301ac1da  autda	x16, x17
0xfffffff0088b36b0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0088b36b4: e90310aa  mov	x9, x16
0xfffffff0088b36b8: f10309aa  mov	x17, x9
0xfffffff0088b36bc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0088b36c0: 11093fd7  blraa	x8, x17
0xfffffff0088b36c4: 7f0600f9  str	xzr, [x19, #8]
0xfffffff0088b36c8: c08affd0  adrp	x0, #0xfffffff007a0d000
0xfffffff0088b36cc: 00603d91  add	x0, x0, #0xf58
0xfffffff0088b36d0: e10313aa  mov	x1, x19
0xfffffff0088b36d4: 0e8cea97  bl	#0xfffffff00835670c
0xfffffff0088b36d8: 13008052  mov	w19, #0
0xfffffff0088b36dc: 15000014  b	#0xfffffff0088b3730
0xfffffff0088b36e0: b3020094  bl	#0xfffffff0088b41ac
0xfffffff0088b36e4: f40300aa  mov	x20, x0
0xfffffff0088b36e8: c0008052  mov	w0, #6
0xfffffff0088b36ec: 5920ff97  bl	#0xfffffff00887b850
0xfffffff0088b36f0: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b36f4: 08450891  add	x8, x8, #0x211
0xfffffff0088b36f8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088b36fc: 880d8052  mov	w8, #0x6c
0xfffffff0088b3700: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b3704: f40300f9  str	x20, [sp]
0xfffffff0088b3708: a049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b370c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b3710: a18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b3714: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b3718: 834dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088b371c: 63ec3b91  add	x3, x3, #0xefb
0xfffffff0088b3720: 02008052  mov	w2, #0
0xfffffff0088b3724: 83fee997  bl	#0xfffffff008333130
0xfffffff0088b3728: 33faffb5  cbnz	x19, #0xfffffff0088b366c
0xfffffff0088b372c: 137d8012  mov	w19, #-0x3e9
0xfffffff0088b3730: 800d8052  mov	w0, #0x6c
0xfffffff0088b3734: c1008052  mov	w1, #6
0xfffffff0088b3738: 2620ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b373c: c0040034  cbz	w0, #0xfffffff0088b37d4
0xfffffff0088b3740: 800d8052  mov	w0, #0x6c
0xfffffff0088b3744: 3520ff97  bl	#0xfffffff00887b818
0xfffffff0088b3748: f50300aa  mov	x21, x0
0xfffffff0088b374c: 98020094  bl	#0xfffffff0088b41ac
0xfffffff0088b3750: f40300aa  mov	x20, x0
0xfffffff0088b3754: c0008052  mov	w0, #6
0xfffffff0088b3758: 3e20ff97  bl	#0xfffffff00887b850
0xfffffff0088b375c: 75010034  cbz	w21, #0xfffffff0088b3788
0xfffffff0088b3760: ff4f02a9  stp	xzr, x19, [sp, #0x20]
0xfffffff0088b3764: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b3768: 08450891  add	x8, x8, #0x211
0xfffffff0088b376c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b3770: 880d8052  mov	w8, #0x6c
0xfffffff0088b3774: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b3778: 004bffd0  adrp	x0, #0xfffffff007215000
0xfffffff0088b377c: 00a81591  add	x0, x0, #0x56a
0xfffffff0088b3780: 380fd497  bl	#0xfffffff007db7460
0xfffffff0088b3784: 14000014  b	#0xfffffff0088b37d4
