; Candidate 16510
; ADRP+ADD at VM 0xfffffff009ec96f8 (fileoff 0x2ec56f8): page=0x1fd97b000 add_imm=0xeb4

0xfffffff009ec9678: a0010034  cbz	w0, #0xfffffff009ec96ac
0xfffffff009ec967c: 083e8452  mov	w8, #0x21f0
0xfffffff009ec9680: 6802088b  add	x8, x19, x8
0xfffffff009ec9684: e90640f9  ldr	x9, [x23, #8]
0xfffffff009ec9688: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009ec968c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ec9690: c8cbfef0  adrp	x8, #0xfffffff007844000
0xfffffff009ec9694: 08bd3991  add	x8, x8, #0xe6f
0xfffffff009ec9698: 29608052  mov	w9, #0x301
0xfffffff009ec969c: e82700a9  stp	x8, x9, [sp]
0xfffffff009ec96a0: 40ccfe90  adrp	x0, #0xfffffff007851000
0xfffffff009ec96a4: 00402591  add	x0, x0, #0x950
0xfffffff009ec96a8: 87d8fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec96ac: e0031baa  mov	x0, x27
0xfffffff009ec96b0: 7b620094  bl	#0xfffffff009ee209c
0xfffffff009ec96b4: 24000014  b	#0xfffffff009ec9744
0xfffffff009ec96b8: e00313aa  mov	x0, x19
0xfffffff009ec96bc: 21008052  mov	w1, #1
0xfffffff009ec96c0: e20317aa  mov	x2, x23
0xfffffff009ec96c4: e30316aa  mov	x3, x22
0xfffffff009ec96c8: d9860094  bl	#0xfffffff009eeb22c
0xfffffff009ec96cc: e0010034  cbz	w0, #0xfffffff009ec9708
0xfffffff009ec96d0: 083e8452  mov	w8, #0x21f0
0xfffffff009ec96d4: 6802088b  add	x8, x19, x8
0xfffffff009ec96d8: e90640f9  ldr	x9, [x23, #8]
0xfffffff009ec96dc: ea2240f9  ldr	x10, [x23, #0x40]
0xfffffff009ec96e0: fa8302a9  stp	x26, x0, [sp, #0x28]
0xfffffff009ec96e4: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009ec96e8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ec96ec: c8cbfef0  adrp	x8, #0xfffffff007844000
0xfffffff009ec96f0: 08bd3991  add	x8, x8, #0xe6f
0xfffffff009ec96f4: 495c8052  mov	w9, #0x2e2
0xfffffff009ec96f8: c0cbfef0  adrp	x0, #0xfffffff007844000
0xfffffff009ec96fc: 00d03a91  add	x0, x0, #0xeb4
0xfffffff009ec9700: e82700a9  stp	x8, x9, [sp]
0xfffffff009ec9704: 4fd8fe97  bl	#0xfffffff009e7f840
0xfffffff009ec9708: 18008052  mov	w24, #0
0xfffffff009ec970c: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff009ec9710: 170100f9  str	x23, [x8]
0xfffffff009ec9714: 25000014  b	#0xfffffff009ec97a8
0xfffffff009ec9718: 083e8452  mov	w8, #0x21f0
0xfffffff009ec971c: 6802088b  add	x8, x19, x8
0xfffffff009ec9720: e90640f9  ldr	x9, [x23, #8]
0xfffffff009ec9724: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009ec9728: c8cbfef0  adrp	x8, #0xfffffff007844000
0xfffffff009ec972c: 08bd3991  add	x8, x8, #0xe6f
0xfffffff009ec9730: a9608052  mov	w9, #0x305
0xfffffff009ec9734: e82700a9  stp	x8, x9, [sp]
0xfffffff009ec9738: 00ccfef0  adrp	x0, #0xfffffff00784c000
0xfffffff009ec973c: 00442a91  add	x0, x0, #0xa91
0xfffffff009ec9740: 61d8fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec9744: e0031aaa  mov	x0, x26
0xfffffff009ec9748: 2d947b97  bl	#0xfffffff007dae7fc
0xfffffff009ec974c: e84e40f9  ldr	x8, [x23, #0x98]
0xfffffff009ec9750: 08017cb2  orr	x8, x8, #0x10
0xfffffff009ec9754: e84e00f9  str	x8, [x23, #0x98]
0xfffffff009ec9758: e00313aa  mov	x0, x19
0xfffffff009ec975c: 21008052  mov	w1, #1
0xfffffff009ec9760: e20317aa  mov	x2, x23
0xfffffff009ec9764: e30316aa  mov	x3, x22
0xfffffff009ec9768: 35800094  bl	#0xfffffff009ee983c
0xfffffff009ec976c: a0010034  cbz	w0, #0xfffffff009ec97a0
0xfffffff009ec9770: 083e8452  mov	w8, #0x21f0
0xfffffff009ec9774: 6802088b  add	x8, x19, x8
