; Candidate 7949
; ADRP+ADD at VM 0xfffffff0088897f8 (fileoff 0x18857f8): page=0x1fe960000 add_imm=0xe80

0xfffffff008889778: f3db03a9  stp	x19, x22, [sp, #0x38]
0xfffffff00888977c: 284dffb0  adrp	x8, #0xfffffff00722e000
0xfffffff008889780: 0ad11291  add	x10, x8, #0x4b4
0xfffffff008889784: 28688052  mov	w8, #0x341
0xfffffff008889788: 494cffb0  adrp	x9, #0xfffffff007212000
0xfffffff00888978c: 29c92f91  add	x9, x9, #0xbf2
0xfffffff008889790: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008889794: 284dffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008889798: 087d0391  add	x8, x8, #0xdf
0xfffffff00888979c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088897a0: 88098052  mov	w8, #0x4c
0xfffffff0088897a4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088897a8: f40300f9  str	x20, [sp]
0xfffffff0088897ac: 004bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088897b0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088897b4: e18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088897b8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088897bc: a34eff90  adrp	x3, #0xfffffff00725d000
0xfffffff0088897c0: 63f02591  add	x3, x3, #0x97c
0xfffffff0088897c4: 02008052  mov	w2, #0
0xfffffff0088897c8: 5aa6ea97  bl	#0xfffffff008333130
0xfffffff0088897cc: 407e8012  mov	w0, #-0x3f3
0xfffffff0088897d0: 13000014  b	#0xfffffff00888981c
0xfffffff0088897d4: 76aa0094  bl	#0xfffffff0088b41ac
0xfffffff0088897d8: f40300aa  mov	x20, x0
0xfffffff0088897dc: a0008052  mov	w0, #5
0xfffffff0088897e0: 1cc8ff97  bl	#0xfffffff00887b850
0xfffffff0088897e4: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff0088897e8: f62302a9  stp	x22, x8, [sp, #0x20]
0xfffffff0088897ec: e04f01a9  stp	x0, x19, [sp, #0x10]
0xfffffff0088897f0: 88098052  mov	w8, #0x4c
0xfffffff0088897f4: f42300a9  stp	x20, x8, [sp]
0xfffffff0088897f8: 004bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088897fc: 00003a91  add	x0, x0, #0xe80
0xfffffff008889800: e18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008889804: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008889808: a34eff90  adrp	x3, #0xfffffff00725d000
0xfffffff00888980c: 63e02691  add	x3, x3, #0x9b8
0xfffffff008889810: 02008052  mov	w2, #0
0xfffffff008889814: 47a6ea97  bl	#0xfffffff008333130
0xfffffff008889818: e07e8012  mov	w0, #-0x3f8
0xfffffff00888981c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008889820: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008889824: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008889828: ff030291  add	sp, sp, #0x80
0xfffffff00888982c: ff0f5fd6  retab	
0xfffffff008889830: 7f2303d5  pacibsp	
0xfffffff008889834: ff0302d1  sub	sp, sp, #0x80
0xfffffff008889838: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00888983c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008889840: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008889844: fdc30191  add	x29, sp, #0x70
0xfffffff008889848: f30300aa  mov	x19, x0
0xfffffff00888984c: 082c40f9  ldr	x8, [x0, #0x58]
0xfffffff008889850: a80100b4  cbz	x8, #0xfffffff008889884
0xfffffff008889854: e00313aa  mov	x0, x19
0xfffffff008889858: 39030094  bl	#0xfffffff00888a53c
0xfffffff00888985c: e00313aa  mov	x0, x19
0xfffffff008889860: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008889864: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008889868: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00888986c: ff030291  add	sp, sp, #0x80
0xfffffff008889870: ff2303d5  autibsp	
0xfffffff008889874: d0071eca  eor	x16, x30, x30, lsl #1
