; Candidate 351
; ADRP+ADD at VM 0xfffffff007eb8818 (fileoff 0xeb4818): page=0x1ff198000 add_imm=0xd4c

0xfffffff007eb8798: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff007eb879c: e8830491  add	x8, sp, #0x120
0xfffffff007eb87a0: f62300a9  stp	x22, x8, [sp]
0xfffffff007eb87a4: f5ffff17  b	#0xfffffff007eb8778
0xfffffff007eb87a8: c88cff90  adrp	x8, #0xfffffff007050000
0xfffffff007eb87ac: 08cd3c91  add	x8, x8, #0xf33
0xfffffff007eb87b0: 291a8952  mov	w9, #0x48d1
0xfffffff007eb87b4: e82700a9  stp	x8, x9, [sp]
0xfffffff007eb87b8: e08cffd0  adrp	x0, #0xfffffff007056000
0xfffffff007eb87bc: 008c0291  add	x0, x0, #0xa3
0xfffffff007eb87c0: 536f1794  bl	#0xfffffff00849450c
0xfffffff007eb87c4: a295fa97  bl	#0xfffffff007d5de4c
0xfffffff007eb87c8: 081e8152  mov	w8, #0x8f0
0xfffffff007eb87cc: 698cffd0  adrp	x9, #0xfffffff007046000
0xfffffff007eb87d0: 29d92791  add	x9, x9, #0x9f6
0xfffffff007eb87d4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007eb87d8: f50300a9  stp	x21, x0, [sp]
0xfffffff007eb87dc: 06000014  b	#0xfffffff007eb87f4
0xfffffff007eb87e0: 081e8152  mov	w8, #0x8f0
0xfffffff007eb87e4: 698cffd0  adrp	x9, #0xfffffff007046000
0xfffffff007eb87e8: 29d92791  add	x9, x9, #0x9f6
0xfffffff007eb87ec: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007eb87f0: f30300a9  stp	x19, x0, [sp]
0xfffffff007eb87f4: 608cffd0  adrp	x0, #0xfffffff007046000
0xfffffff007eb87f8: 00e42a91  add	x0, x0, #0xab9
0xfffffff007eb87fc: 446f1794  bl	#0xfffffff00849450c
0xfffffff007eb8800: 082038d5  mrs	x8, ttbr0_el1
0xfffffff007eb8804: 890640f9  ldr	x9, [x20, #8]
0xfffffff007eb8808: ca8cff90  adrp	x10, #0xfffffff007050000
0xfffffff007eb880c: 4a393691  add	x10, x10, #0xd8e
0xfffffff007eb8810: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff007eb8814: ea0300f9  str	x10, [sp]
0xfffffff007eb8818: c08cff90  adrp	x0, #0xfffffff007050000
0xfffffff007eb881c: 00303591  add	x0, x0, #0xd4c
0xfffffff007eb8820: 3b6f1794  bl	#0xfffffff00849450c
0xfffffff007eb8824: a8e20791  add	x8, x21, #0x1f8
0xfffffff007eb8828: 692e8152  mov	w9, #0x973
0xfffffff007eb882c: e91300f9  str	x9, [sp, #0x20]
0xfffffff007eb8830: 698cffd0  adrp	x9, #0xfffffff007046000
0xfffffff007eb8834: 29d92791  add	x9, x9, #0x9f6
0xfffffff007eb8838: 6a008052  mov	w10, #3
0xfffffff007eb883c: 4b8dff90  adrp	x11, #0xfffffff007060000
0xfffffff007eb8840: 6b952791  add	x11, x11, #0x9e5
0xfffffff007eb8844: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff007eb8848: e82f00a9  stp	x8, x11, [sp]
0xfffffff007eb884c: 608cffd0  adrp	x0, #0xfffffff007046000
0xfffffff007eb8850: 00742d91  add	x0, x0, #0xb5d
0xfffffff007eb8854: 2e6f1794  bl	#0xfffffff00849450c
0xfffffff007eb8858: 7f2303d5  pacibsp	
0xfffffff007eb885c: fc6fbba9  stp	x28, x27, [sp, #-0x50]!
0xfffffff007eb8860: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff007eb8864: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff007eb8868: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff007eb886c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff007eb8870: fd030191  add	x29, sp, #0x40
0xfffffff007eb8874: ff0309d1  sub	sp, sp, #0x240
0xfffffff007eb8878: f30302aa  mov	x19, x2
0xfffffff007eb887c: f50301aa  mov	x21, x1
0xfffffff007eb8880: f40300aa  mov	x20, x0
0xfffffff007eb8884: 681801f0  adrp	x8, #0xfffffff00a1c7000
0xfffffff007eb8888: 08010091  add	x8, x8, #0
0xfffffff007eb888c: 080140f9  ldr	x8, [x8]
0xfffffff007eb8890: a8831bf8  stur	x8, [x29, #-0x48]
0xfffffff007eb8894: e8e30091  add	x8, sp, #0x38
