; Candidate 15913
; ADRP+ADD at VM 0xfffffff009dd6f7c (fileoff 0x2dd2f7c): page=0x1fd8c7000 add_imm=0xe1b

0xfffffff009dd6efc: ffc30091  add	sp, sp, #0x30
0xfffffff009dd6f00: ff0f5fd6  retab	
0xfffffff009dd6f04: 88048052  mov	w8, #0x24
0xfffffff009dd6f08: 29c6fef0  adrp	x9, #0xfffffff00769d000
0xfffffff009dd6f0c: 29fd3691  add	x9, x9, #0xdbf
0xfffffff009dd6f10: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009dd6f14: e00b00a9  stp	x0, x2, [sp]
0xfffffff009dd6f18: 20c6fef0  adrp	x0, #0xfffffff00769d000
0xfffffff009dd6f1c: 00403791  add	x0, x0, #0xdd0
0xfffffff009dd6f20: 7bf59a97  bl	#0xfffffff00849450c
0xfffffff009dd6f24: 7f2303d5  pacibsp	
0xfffffff009dd6f28: ff0301d1  sub	sp, sp, #0x40
0xfffffff009dd6f2c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009dd6f30: fdc30091  add	x29, sp, #0x30
0xfffffff009dd6f34: 2800022a  orr	w8, w1, w2
0xfffffff009dd6f38: 1f0540f2  tst	x8, #3
0xfffffff009dd6f3c: 61010054  b.ne	#0xfffffff009dd6f68
0xfffffff009dd6f40: 5f1000f1  cmp	x2, #4
0xfffffff009dd6f44: c3000054  b.lo	#0xfffffff009dd6f5c
0xfffffff009dd6f48: 284440b8  ldr	w8, [x1], #4
0xfffffff009dd6f4c: 084400b8  str	w8, [x0], #4
0xfffffff009dd6f50: 421000d1  sub	x2, x2, #4
0xfffffff009dd6f54: 5f0c00f1  cmp	x2, #3
0xfffffff009dd6f58: 88ffff54  b.hi	#0xfffffff009dd6f48
0xfffffff009dd6f5c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009dd6f60: ff030191  add	sp, sp, #0x40
0xfffffff009dd6f64: ff0f5fd6  retab	
0xfffffff009dd6f68: 48078052  mov	w8, #0x3a
0xfffffff009dd6f6c: 29c6fef0  adrp	x9, #0xfffffff00769d000
0xfffffff009dd6f70: 29fd3691  add	x9, x9, #0xdbf
0xfffffff009dd6f74: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009dd6f78: e10b00a9  stp	x1, x2, [sp]
0xfffffff009dd6f7c: 20c6fef0  adrp	x0, #0xfffffff00769d000
0xfffffff009dd6f80: 006c3891  add	x0, x0, #0xe1b
0xfffffff009dd6f84: 62f59a97  bl	#0xfffffff00849450c
0xfffffff009dd6f88: 7f2303d5  pacibsp	
0xfffffff009dd6f8c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009dd6f90: fd030091  mov	x29, sp
0xfffffff009dd6f94: 21c6fef0  adrp	x1, #0xfffffff00769d000
0xfffffff009dd6f98: 21a03991  add	x1, x1, #0xe68
0xfffffff009dd6f9c: 22fafef0  adrp	x2, #0xfffffff007d1d000
0xfffffff009dd6fa0: 425c43f9  ldr	x2, [x2, #0x6b8]
0xfffffff009dd6fa4: 03498452  mov	w3, #0x2248
0xfffffff009dd6fa8: e4329497  bl	#0xfffffff0082e3b38
0xfffffff009dd6fac: 70fafe90  adrp	x16, #0xfffffff007d22000
0xfffffff009dd6fb0: 10823691  add	x16, x16, #0xda0
0xfffffff009dd6fb4: 10420091  add	x16, x16, #0x10
0xfffffff009dd6fb8: f10300aa  mov	x17, x0
0xfffffff009dd6fbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dd6fc0: 300ac1da  pacda	x16, x17
0xfffffff009dd6fc4: 100000f9  str	x16, [x0]
0xfffffff009dd6fc8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009dd6fcc: ff0f5fd6  retab	
0xfffffff009dd6fd0: 5f2403d5  bti	c
0xfffffff009dd6fd4: c8359417  b	#0xfffffff0082e46f4
0xfffffff009dd6fd8: 7f2303d5  pacibsp	
0xfffffff009dd6fdc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009dd6fe0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009dd6fe4: fd430091  add	x29, sp, #0x10
0xfffffff009dd6fe8: 082e8452  mov	w8, #0x2170
0xfffffff009dd6fec: 1300088b  add	x19, x0, x8
0xfffffff009dd6ff0: 2cdaf297  bl	#0xfffffff009a8d8a0
0xfffffff009dd6ff4: 70fafe90  adrp	x16, #0xfffffff007d22000
0xfffffff009dd6ff8: 10821b91  add	x16, x16, #0x6e0
