; Candidate 10857
; ADRP+ADD at VM 0xfffffff008de9fac (fileoff 0x1de5fac): page=0x1fe5db000 add_imm=0xe15

0xfffffff008de9f2c: 080840b9  ldr	w8, [x0, #8]
0xfffffff008de9f30: 1f450171  cmp	w8, #0x51
0xfffffff008de9f34: 42220054  b.hs	#0xfffffff008dea37c
0xfffffff008de9f38: 1f5f0071  cmp	w24, #0x17
0xfffffff008de9f3c: c8170054  b.hi	#0xfffffff008dea234
0xfffffff008de9f40: 28008052  mov	w8, #1
0xfffffff008de9f44: 0821d81a  lsl	w8, w8, w24
0xfffffff008de9f48: c9ff9e52  mov	w9, #0xf7fe
0xfffffff008de9f4c: e91fa072  movk	w9, #0xff, lsl #16
0xfffffff008de9f50: 1f01096a  tst	w8, w9
0xfffffff008de9f54: 00170054  b.eq	#0xfffffff008dea234
0xfffffff008de9f58: 38830091  add	x24, x25, #0x20
0xfffffff008de9f5c: 1f0317eb  cmp	x24, x23
0xfffffff008de9f60: 08220054  b.hi	#0xfffffff008dea3a0
0xfffffff008de9f64: e10316aa  mov	x1, x22
0xfffffff008de9f68: e20318aa  mov	x2, x24
0xfffffff008de9f6c: 898abd97  bl	#0xfffffff007d4c990
0xfffffff008de9f70: 15008052  mov	w21, #0
0xfffffff008de9f74: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008de9f78: 880200f9  str	x8, [x20]
0xfffffff008de9f7c: 780200f9  str	x24, [x19]
0xfffffff008de9f80: 12000014  b	#0xfffffff008de9fc8
0xfffffff008de9f84: a89c8052  mov	w8, #0x4e5
0xfffffff008de9f88: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9f8c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9f90: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de9f94: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9f98: 08493991  add	x8, x8, #0xe52
0xfffffff008de9f9c: ca2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008de9fa0: 4a410f91  add	x10, x10, #0x3d0
0xfffffff008de9fa4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de9fa8: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de9fac: c02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de9fb0: 00543891  add	x0, x0, #0xe15
0xfffffff008de9fb4: 1bb4d597  bl	#0xfffffff008357020
0xfffffff008de9fb8: 55008012  mov	w21, #-3
0xfffffff008de9fbc: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff008de9fc0: 400000b4  cbz	x0, #0xfffffff008de9fc8
0xfffffff008de9fc4: 01110094  bl	#0xfffffff008dee3c8
0xfffffff008de9fc8: e00315aa  mov	x0, x21
0xfffffff008de9fcc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008de9fd0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008de9fd4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008de9fd8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008de9fdc: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008de9fe0: ff030291  add	sp, sp, #0x80
0xfffffff008de9fe4: ff0f5fd6  retab	
0xfffffff008de9fe8: 9f2403d5  bti	j
0xfffffff008de9fec: 3f230071  cmp	w25, #8
0xfffffff008de9ff0: c0f8ff54  b.eq	#0xfffffff008de9f08
0xfffffff008de9ff4: e8988052  mov	w8, #0x4c7
0xfffffff008de9ff8: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9ffc: 29e92e91  add	x9, x9, #0xbba
0xfffffff008dea000: e81300f9  str	x8, [sp, #0x20]
0xfffffff008dea004: c82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008dea008: 08493991  add	x8, x8, #0xe52
0xfffffff008dea00c: ca2effb0  adrp	x10, #0xfffffff0073c3000
0xfffffff008dea010: 4a290b91  add	x10, x10, #0x2ca
0xfffffff008dea014: e4ffff17  b	#0xfffffff008de9fa4
0xfffffff008dea018: 9f2403d5  bti	j
0xfffffff008dea01c: 3f730071  cmp	w25, #0x1c
0xfffffff008dea020: 40f7ff54  b.eq	#0xfffffff008de9f08
0xfffffff008dea024: 48978052  mov	w8, #0x4ba
0xfffffff008dea028: c92eff90  adrp	x9, #0xfffffff0073c2000
