; Candidate 6471
; ADRP+ADD at VM 0xfffffff00882d3b0 (fileoff 0x18293b0): page=0x1fe9bc000 add_imm=0xe80

0xfffffff00882d330: 28390194  bl	#0xfffffff00887b7d0
0xfffffff00882d334: e0040034  cbz	w0, #0xfffffff00882d3d0
0xfffffff00882d338: 400f8052  mov	w0, #0x7a
0xfffffff00882d33c: 37390194  bl	#0xfffffff00887b818
0xfffffff00882d340: f70300aa  mov	x23, x0
0xfffffff00882d344: 9a1b0294  bl	#0xfffffff0088b41ac
0xfffffff00882d348: f60300aa  mov	x22, x0
0xfffffff00882d34c: 00018052  mov	w0, #8
0xfffffff00882d350: 40390194  bl	#0xfffffff00887b850
0xfffffff00882d354: 97010034  cbz	w23, #0xfffffff00882d384
0xfffffff00882d358: f57f03a9  stp	x21, xzr, [sp, #0x30]
0xfffffff00882d35c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00882d360: a84fffb0  adrp	x8, #0xfffffff007222000
0xfffffff00882d364: 080d1391  add	x8, x8, #0x4c3
0xfffffff00882d368: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882d36c: 480f8052  mov	w8, #0x7a
0xfffffff00882d370: 404fffb0  adrp	x0, #0xfffffff007216000
0xfffffff00882d374: 00ac3d91  add	x0, x0, #0xf6b
0xfffffff00882d378: f62300a9  stp	x22, x8, [sp]
0xfffffff00882d37c: 3928d697  bl	#0xfffffff007db7460
0xfffffff00882d380: 14000014  b	#0xfffffff00882d3d0
0xfffffff00882d384: 8a1b0294  bl	#0xfffffff0088b41ac
0xfffffff00882d388: f60300aa  mov	x22, x0
0xfffffff00882d38c: 00018052  mov	w0, #8
0xfffffff00882d390: 30390194  bl	#0xfffffff00887b850
0xfffffff00882d394: f57f03a9  stp	x21, xzr, [sp, #0x30]
0xfffffff00882d398: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00882d39c: a84fffb0  adrp	x8, #0xfffffff007222000
0xfffffff00882d3a0: 080d1391  add	x8, x8, #0x4c3
0xfffffff00882d3a4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882d3a8: 480f8052  mov	w8, #0x7a
0xfffffff00882d3ac: f62300a9  stp	x22, x8, [sp]
0xfffffff00882d3b0: e04dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00882d3b4: 00003a91  add	x0, x0, #0xe80
0xfffffff00882d3b8: c18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff00882d3bc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882d3c0: e350fff0  adrp	x3, #0xfffffff00724c000
0xfffffff00882d3c4: 63802091  add	x3, x3, #0x820
0xfffffff00882d3c8: 02008052  mov	w2, #0
0xfffffff00882d3cc: 5917ec97  bl	#0xfffffff008333130
0xfffffff00882d3d0: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff00882d3d4: c98efff0  adrp	x9, #0xfffffff007a08000
0xfffffff00882d3d8: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff00882d3dc: 290140f9  ldr	x9, [x9]
0xfffffff00882d3e0: 3f0108eb  cmp	x9, x8
0xfffffff00882d3e4: 81030054  b.ne	#0xfffffff00882d454
0xfffffff00882d3e8: 00008052  mov	w0, #0
0xfffffff00882d3ec: fd7b54a9  ldp	x29, x30, [sp, #0x140]
0xfffffff00882d3f0: f44f53a9  ldp	x20, x19, [sp, #0x130]
0xfffffff00882d3f4: f65752a9  ldp	x22, x21, [sp, #0x120]
0xfffffff00882d3f8: f85f51a9  ldp	x24, x23, [sp, #0x110]
0xfffffff00882d3fc: ff430591  add	sp, sp, #0x150
0xfffffff00882d400: ff0f5fd6  retab	
0xfffffff00882d404: cd000054  b.le	#0xfffffff00882d41c
0xfffffff00882d408: 28008052  mov	w8, #1
0xfffffff00882d40c: 882a00b9  str	w8, [x20, #0x28]
0xfffffff00882d410: 484effb0  adrp	x8, #0xfffffff0071f6000
0xfffffff00882d414: 009dc33d  ldr	q0, [x8, #0xe70]
0xfffffff00882d418: 55ffff17  b	#0xfffffff00882d16c
0xfffffff00882d41c: 883e40b9  ldr	w8, [x20, #0x3c]
0xfffffff00882d420: 1f050071  cmp	w8, #1
0xfffffff00882d424: 60000054  b.eq	#0xfffffff00882d430
0xfffffff00882d428: a8e9ff34  cbz	w8, #0xfffffff00882d15c
0xfffffff00882d42c: 8bffff17  b	#0xfffffff00882d258
