; Candidate 7855
; ADRP+ADD at VM 0xfffffff008883770 (fileoff 0x187f770): page=0x1fe966000 add_imm=0xe80

0xfffffff0088836f0: f52704a9  stp	x21, x9, [sp, #0x40]
0xfffffff0088836f4: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088836f8: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff0088836fc: 08cd0691  add	x8, x8, #0x1b3
0xfffffff008883700: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008883704: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff008883708: 08fd0891  add	x8, x8, #0x23f
0xfffffff00888370c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008883710: 880b8052  mov	w8, #0x5c
0xfffffff008883714: 604cfff0  adrp	x0, #0xfffffff007212000
0xfffffff008883718: 00043091  add	x0, x0, #0xc01
0xfffffff00888371c: f72300a9  stp	x23, x8, [sp]
0xfffffff008883720: 50cfd497  bl	#0xfffffff007db7460
0xfffffff008883724: 1b000014  b	#0xfffffff008883790
0xfffffff008883728: a1c20094  bl	#0xfffffff0088b41ac
0xfffffff00888372c: f70300aa  mov	x23, x0
0xfffffff008883730: e0008052  mov	w0, #7
0xfffffff008883734: 47e0ff97  bl	#0xfffffff00887b850
0xfffffff008883738: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff00888373c: e903162a  mov	w9, w22
0xfffffff008883740: ea0315aa  mov	x10, x21
0xfffffff008883744: ea2704a9  stp	x10, x9, [sp, #0x40]
0xfffffff008883748: e90314aa  mov	x9, x20
0xfffffff00888374c: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008883750: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff008883754: 08cd0691  add	x8, x8, #0x1b3
0xfffffff008883758: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00888375c: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff008883760: 08fd0891  add	x8, x8, #0x23f
0xfffffff008883764: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008883768: 880b8052  mov	w8, #0x5c
0xfffffff00888376c: f72300a9  stp	x23, x8, [sp]
0xfffffff008883770: 204bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008883774: 00003a91  add	x0, x0, #0xe80
0xfffffff008883778: 218cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00888377c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008883780: c34effb0  adrp	x3, #0xfffffff00725c000
0xfffffff008883784: 63980291  add	x3, x3, #0xa6
0xfffffff008883788: 02008052  mov	w2, #0
0xfffffff00888378c: 69beea97  bl	#0xfffffff008333130
0xfffffff008883790: 414cff90  adrp	x1, #0xfffffff00720b000
0xfffffff008883794: 21001e91  add	x1, x1, #0x780
0xfffffff008883798: e00313aa  mov	x0, x19
0xfffffff00888379c: 82008052  mov	w2, #4
0xfffffff0088837a0: e30314aa  mov	x3, x20
0xfffffff0088837a4: e40315aa  mov	x4, x21
0xfffffff0088837a8: e50316aa  mov	x5, x22
0xfffffff0088837ac: 63feff97  bl	#0xfffffff008883138
0xfffffff0088837b0: f70300aa  mov	x23, x0
0xfffffff0088837b4: 60000034  cbz	w0, #0xfffffff0088837c0
0xfffffff0088837b8: ffc20f31  cmn	w23, #0x3f0
0xfffffff0088837bc: 21020054  b.ne	#0xfffffff008883800
0xfffffff0088837c0: 16020034  cbz	w22, #0xfffffff008883800
0xfffffff0088837c4: 414cff90  adrp	x1, #0xfffffff00720b000
0xfffffff0088837c8: 21401e91  add	x1, x1, #0x790
0xfffffff0088837cc: e00313aa  mov	x0, x19
0xfffffff0088837d0: a2008052  mov	w2, #5
0xfffffff0088837d4: e30314aa  mov	x3, x20
0xfffffff0088837d8: e40315aa  mov	x4, x21
0xfffffff0088837dc: 25008052  mov	w5, #1
0xfffffff0088837e0: 56feff97  bl	#0xfffffff008883138
0xfffffff0088837e4: f70300aa  mov	x23, x0
0xfffffff0088837e8: c0000035  cbnz	w0, #0xfffffff008883800
0xfffffff0088837ec: e00313aa  mov	x0, x19
