; Candidate 15053
; ADRP+ADD at VM 0xfffffff009a67ba0 (fileoff 0x2a63ba0): page=0x1fe24e000 add_imm=0xd08

0xfffffff009a67b20: e00000b4  cbz	x0, #0xfffffff009a67b3c
0xfffffff009a67b24: 5d238e97  bl	#0xfffffff007df0898
0xfffffff009a67b28: 685e40f9  ldr	x8, [x19, #0xb8]
0xfffffff009a67b2c: 001540f9  ldr	x0, [x8, #0x28]
0xfffffff009a67b30: 97218e97  bl	#0xfffffff007df018c
0xfffffff009a67b34: 685e40f9  ldr	x8, [x19, #0xb8]
0xfffffff009a67b38: 1f1500f9  str	xzr, [x8, #0x28]
0xfffffff009a67b3c: 000940f9  ldr	x0, [x8, #0x10]
0xfffffff009a67b40: 800000b4  cbz	x0, #0xfffffff009a67b50
0xfffffff009a67b44: dabea397  bl	#0xfffffff0083576ac
0xfffffff009a67b48: 685e40f9  ldr	x8, [x19, #0xb8]
0xfffffff009a67b4c: 1f0900f9  str	xzr, [x8, #0x10]
0xfffffff009a67b50: 000d40f9  ldr	x0, [x8, #0x18]
0xfffffff009a67b54: 800000b4  cbz	x0, #0xfffffff009a67b64
0xfffffff009a67b58: d5bea397  bl	#0xfffffff0083576ac
0xfffffff009a67b5c: 685e40f9  ldr	x8, [x19, #0xb8]
0xfffffff009a67b60: 1f0d00f9  str	xzr, [x8, #0x18]
0xfffffff009a67b64: 001140f9  ldr	x0, [x8, #0x20]
0xfffffff009a67b68: 800100b4  cbz	x0, #0xfffffff009a67b98
0xfffffff009a67b6c: 100040f9  ldr	x16, [x0]
0xfffffff009a67b70: f10300aa  mov	x17, x0
0xfffffff009a67b74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a67b78: 301ac1da  autda	x16, x17
0xfffffff009a67b7c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009a67b80: e90310aa  mov	x9, x16
0xfffffff009a67b84: f10309aa  mov	x17, x9
0xfffffff009a67b88: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009a67b8c: 11093fd7  blraa	x8, x17
0xfffffff009a67b90: 685e40f9  ldr	x8, [x19, #0xb8]
0xfffffff009a67b94: 1f1100f9  str	xzr, [x8, #0x20]
0xfffffff009a67b98: 615e40f9  ldr	x1, [x19, #0xb8]
0xfffffff009a67b9c: 7f5e00f9  str	xzr, [x19, #0xb8]
0xfffffff009a67ba0: 6012ffd0  adrp	x0, #0xfffffff007cb5000
0xfffffff009a67ba4: 00203491  add	x0, x0, #0xd08
0xfffffff009a67ba8: d9baa397  bl	#0xfffffff00835670c
0xfffffff009a67bac: 2112ffd0  adrp	x1, #0xfffffff007cad000
0xfffffff009a67bb0: 21200091  add	x1, x1, #8
0xfffffff009a67bb4: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff009a67bb8: e00313aa  mov	x0, x19
0xfffffff009a67bbc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a67bc0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a67bc4: ff2303d5  autibsp	
0xfffffff009a67bc8: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009a67bcc: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009a67bd4
0xfffffff009a67bd0: 208e38d4  brk	#0xc471
0xfffffff009a67bd4: f10301aa  mov	x17, x1
0xfffffff009a67bd8: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff009a67bdc: 110a1fd7  braa	x16, x17
0xfffffff009a67be0: 7f2303d5  pacibsp	
0xfffffff009a67be4: ff0303d1  sub	sp, sp, #0xc0
0xfffffff009a67be8: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff009a67bec: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff009a67bf0: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff009a67bf4: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff009a67bf8: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff009a67bfc: fdc30291  add	x29, sp, #0xb0
0xfffffff009a67c00: f40306aa  mov	x20, x6
0xfffffff009a67c04: f50305aa  mov	x21, x5
0xfffffff009a67c08: f60304aa  mov	x22, x4
0xfffffff009a67c0c: fa0303aa  mov	x26, x3
0xfffffff009a67c10: f90302aa  mov	x25, x2
0xfffffff009a67c14: f70301aa  mov	x23, x1
0xfffffff009a67c18: f80300aa  mov	x24, x0
0xfffffff009a67c1c: 2812ffb0  adrp	x8, #0xfffffff007cac000
