; Candidate 13279
; ADRP+ADD at VM 0xfffffff009265210 (fileoff 0x2261210): page=0x1fe257000 add_imm=0xcdf

0xfffffff009265190: 4073a772  movk	w0, #0x3b9a, lsl #16
0xfffffff009265194: bbbdb197  bl	#0xfffffff007ed4880
0xfffffff009265198: e80740f9  ldr	x8, [sp, #8]
0xfffffff00926519c: 098600d0  adrp	x9, #0xfffffff00a327000
0xfffffff0092651a0: 286103f9  str	x8, [x9, #0x6c0]
0xfffffff0092651a4: 08fd43d3  lsr	x8, x8, #3
0xfffffff0092651a8: e9f99ed2  mov	x9, #0xf7cf
0xfffffff0092651ac: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff0092651b0: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff0092651b4: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff0092651b8: 087dc99b  umulh	x8, x8, x9
0xfffffff0092651bc: 08fd44d3  lsr	x8, x8, #4
0xfffffff0092651c0: 098600d0  adrp	x9, #0xfffffff00a327000
0xfffffff0092651c4: 286503f9  str	x8, [x9, #0x6c8]
0xfffffff0092651c8: a012fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092651cc: 00643291  add	x0, x0, #0xc99
0xfffffff0092651d0: 018600d0  adrp	x1, #0xfffffff00a327000
0xfffffff0092651d4: 21a01b91  add	x1, x1, #0x6e8
0xfffffff0092651d8: 82008052  mov	w2, #4
0xfffffff0092651dc: 771fc897  bl	#0xfffffff00846cfb8
0xfffffff0092651e0: a012fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092651e4: 00c83291  add	x0, x0, #0xcb2
0xfffffff0092651e8: 018600d0  adrp	x1, #0xfffffff00a327000
0xfffffff0092651ec: 21b01b91  add	x1, x1, #0x6ec
0xfffffff0092651f0: 22008052  mov	w2, #1
0xfffffff0092651f4: 711fc897  bl	#0xfffffff00846cfb8
0xfffffff0092651f8: a012fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092651fc: 001c3391  add	x0, x0, #0xcc7
0xfffffff009265200: c18500d0  adrp	x1, #0xfffffff00a31f000
0xfffffff009265204: 21842991  add	x1, x1, #0xa61
0xfffffff009265208: 22008052  mov	w2, #1
0xfffffff00926520c: 6b1fc897  bl	#0xfffffff00846cfb8
0xfffffff009265210: a012fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009265214: 007c3391  add	x0, x0, #0xcdf
0xfffffff009265218: 018600d0  adrp	x1, #0xfffffff00a327000
0xfffffff00926521c: 21b41b91  add	x1, x1, #0x6ed
0xfffffff009265220: 22008052  mov	w2, #1
0xfffffff009265224: 651fc897  bl	#0xfffffff00846cfb8
0xfffffff009265228: 9619ad97  bl	#0xfffffff007dab880
0xfffffff00926522c: 188600d0  adrp	x24, #0xfffffff00a327000
0xfffffff009265230: 006f03f9  str	x0, [x24, #0x6d8]
0xfffffff009265234: 409800b4  cbz	x0, #0xfffffff00926653c
0xfffffff009265238: 8d19ad97  bl	#0xfffffff007dab86c
0xfffffff00926523c: 3118ad97  bl	#0xfffffff007dab300
0xfffffff009265240: 158600d0  adrp	x21, #0xfffffff00a327000
0xfffffff009265244: a07203f9  str	x0, [x21, #0x6e0]
0xfffffff009265248: 409800b4  cbz	x0, #0xfffffff009266550
0xfffffff00926524c: 3918ad97  bl	#0xfffffff007dab330
0xfffffff009265250: a17243f9  ldr	x1, [x21, #0x6e0]
0xfffffff009265254: a012fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009265258: 00143691  add	x0, x0, #0xd85
0xfffffff00926525c: 4418ad97  bl	#0xfffffff007dab36c
0xfffffff009265260: 178600d0  adrp	x23, #0xfffffff00a327000
0xfffffff009265264: e06a03f9  str	x0, [x23, #0x6d0]
0xfffffff009265268: 8849ffb0  adrp	x8, #0xfffffff007b96000
0xfffffff00926526c: 089546f9  ldr	x8, [x8, #0xd28]
0xfffffff009265270: 010140f9  ldr	x1, [x8]
0xfffffff009265274: e00314aa  mov	x0, x20
0xfffffff009265278: 9ffac197  bl	#0xfffffff0082e3cf4
0xfffffff00926527c: 604600f9  str	x0, [x19, #0x88]
0xfffffff009265280: a09400b4  cbz	x0, #0xfffffff009266514
0xfffffff009265284: 8849ffb0  adrp	x8, #0xfffffff007b96000
0xfffffff009265288: 08c546f9  ldr	x8, [x8, #0xd88]
0xfffffff00926528c: 09010b91  add	x9, x8, #0x2c0
